KeyName,KeyLastWriteTimestamp,BusReportedDescription,Class,ClassGuid,Compid,ContainerId,Description,DriverId,DriverPackageStrongName,DriverName,DriverVerDate,DriverVerVersion,Enumerator,HWID,Inf,InstallState,Manufacturer,MatchingId,Model,ParentId,ProblemCode,Provider,Service,Stackid
acpi/acpi0003/1,2019-05-26 08:30:29,,battery,{72631e54-78a4-11d0-bcf7-00aa00b7b32a},,{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft AC Adapter,0000bff95c433c58c237242bdf1ee7185b962c950c40,cmbatt.inf_amd64_a4f5d0910b3cdca5,cmbatt.sys,06-21-2006,10.0.17763.1,acpi,"acpi\ven_acpi&dev_0003,acpi\acpi0003,*acpi0003",cmbatt.inf,0,Microsoft,acpi\acpi0003,Microsoft AC Adapter,acpi_hal\pnp0c08\0,0,Microsoft,cmbatt,"\driver\cmbatt,\driver\acpi"
acpi/authenticamd_-_amd64_family_23_model_1_-_amd_ryzen_threadripper_1950x_16-core_processor_/_0,2019-05-26 08:30:32,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},"AMD Ryzen Threadripper 1950X 16-Core Processor ",0000c6bb57b7f305f3720e3bd50047bfcbc0c4259a23,cpu.inf_amd64_6c6c72b0b50d29aa,amdppm.sys,04-21-2009,10.0.17763.1,acpi,"acpi\authenticamd_-_amd64_family_23_model_1,*authenticamd_-_amd64_family_23_model_1,acpi\authenticamd_-_amd64_family_23,*authenticamd_-_amd64_family_23,acpi\authenticamd_-_amd64,*authenticamd_-_amd64",cpu.inf,0,Advanced Micro Devices,acpi\authenticamd_-_amd64,AMD Processor,acpi_hal\pnp0c08\0,0,Microsoft,amdppm,"\driver\amdppm,\driver\acpi"
acpi/authenticamd_-_amd64_family_23_model_1_-_amd_ryzen_threadripper_1950x_16-core_processor_/_1,2019-05-26 08:30:32,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},"AMD Ryzen Threadripper 1950X 16-Core Processor ",0000c6bb57b7f305f3720e3bd50047bfcbc0c4259a23,cpu.inf_amd64_6c6c72b0b50d29aa,amdppm.sys,04-21-2009,10.0.17763.1,acpi,"acpi\authenticamd_-_amd64_family_23_model_1,*authenticamd_-_amd64_family_23_model_1,acpi\authenticamd_-_amd64_family_23,*authenticamd_-_amd64_family_23,acpi\authenticamd_-_amd64,*authenticamd_-_amd64",cpu.inf,0,Advanced Micro Devices,acpi\authenticamd_-_amd64,AMD Processor,acpi_hal\pnp0c08\0,0,Microsoft,amdppm,"\driver\amdppm,\driver\acpi"
acpi/fixedbutton/2&daba3ff&0,2019-05-26 08:30:31,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},ACPI Fixed Feature Button,,machine.inf_amd64_8c0befd3f2017423,,06-21-2006,10.0.17763.1,acpi,"acpi\fixedbutton,*fixedbutton",machine.inf,0,(Standard system devices),acpi\fixedbutton,ACPI Fixed Feature Button,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/pnp0001/4&1bd7f811&0,2019-05-26 08:30:31,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},EISA programmable interrupt controller,,machine.inf_amd64_8c0befd3f2017423,,06-21-2006,10.0.17763.1,acpi,"acpi\ven_pnp&dev_0001,acpi\pnp0001,*pnp0001",machine.inf,0,(Standard system devices),*pnp0001,EISA programmable interrupt controller,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0100/4&1bd7f811&0,2019-05-26 08:30:31,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},System timer,,machine.inf_amd64_8c0befd3f2017423,,06-21-2006,10.0.17763.1,acpi,"acpi\ven_pnp&dev_0100,acpi\pnp0100,*pnp0100",machine.inf,0,(Standard system devices),*pnp0100,System timer,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0200/4&1bd7f811&0,2019-05-26 08:30:31,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Direct memory access controller,,machine.inf_amd64_8c0befd3f2017423,,06-21-2006,10.0.17763.1,acpi,"acpi\ven_pnp&dev_0200,acpi\pnp0200,*pnp0200",machine.inf,0,(Standard system devices),*pnp0200,Direct memory access controller,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0303/4&1bd7f811&0,2019-05-26 08:30:29,,keyboard,{4d36e96b-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Standard PS/2 Keyboard,000025e7e4adf546e3a6523e0ca861bc7a255ff2e516,keyboard.inf_amd64_ea49c08464284354,i8042prt.sys,06-21-2006,10.0.17763.348,acpi,"acpi\ven_pnp&dev_0303,acpi\pnp0303,*pnp0303",keyboard.inf,0,(Standard keyboards),*pnp0303,Standard PS/2 Keyboard,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,i8042prt,"\driver\kbdclass,\driver\i8042prt,\driver\acpi"
acpi/pnp0800/4&1bd7f811&0,2019-05-26 08:30:31,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},System speaker,,machine.inf_amd64_8c0befd3f2017423,,06-21-2006,10.0.17763.1,acpi,"acpi\ven_pnp&dev_0800,acpi\pnp0800,*pnp0800",machine.inf,0,(Standard system devices),*pnp0800,System speaker,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0a03/2&daba3ff&0,2019-05-26 08:30:29,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},*pnp0a08,{27db0821-3bf9-f71a-f96f-a53403857690},PCI Bus,00003f1f00dd9c0389b8d070596220a1876b4f266706,pci.inf_amd64_6c10e88497deae2b,pci.sys,06-21-2006,10.0.17763.168,acpi,"acpi\ven_pnp&dev_0a03,acpi\pnp0a03,*pnp0a03",pci.inf,0,(Standard system devices),*pnp0a03,PCI Bus,acpi_hal\pnp0c08\0,0,Microsoft,pci,"\driver\pci,\driver\acpi"
acpi/pnp0a05/4&1bd7f811&0,2019-05-26 08:30:32,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8c0befd3f2017423,,06-21-2006,10.0.17763.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0b00/4&1bd7f811&0,2019-05-26 08:30:29,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},System CMOS/real time clock,,machine.inf_amd64_8c0befd3f2017423,,06-21-2006,10.0.17763.1,acpi,"acpi\ven_pnp&dev_0b00,acpi\pnp0b00,*pnp0b00",machine.inf,0,(Standard system devices),*pnp0b00,System CMOS/real time clock,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
