Hash,Id,Offset,OwnerSid,GroupSid,Control,SaclAceCount,UniqueSaclAceTypes,DaclAceCount,UniqueDaclAceTypes,FileOffset,SourceFile
0089CCA9,2435,1597296,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,5,AccessAllowed,1859440,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
FFC8E2A9,2436,1597616,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,5,AccessAllowed,1859760,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
00A3CCA9,2437,1597936,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,5,AccessAllowed,1860080,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
E5F7D664,2438,1598256,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,5,AccessAllowed,1860400,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
2DF8D663,2439,1598592,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,5,AccessAllowed,1860736,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
98360842,2440,1598928,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,6,AccessAllowed,1861072,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
0C506FF1,2441,1599328,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,5,AccessAllowed,1861472,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
14506FFA,2442,1599664,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,5,AccessAllowed,1861808,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
763F42A7,2443,1600000,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,6,AccessAllowed,1862144,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
0B0F67B8,2444,1600400,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,5,AccessAllowed,1862544,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
4F823697,2445,1600720,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1862864,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
DA7E3677,2446,1600960,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1863104,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
FE52C1CA,2447,1601200,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1863344,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
26BB0288,2448,1601440,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1863584,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
57127738,2449,1601680,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1863824,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
FCFDFD53,2450,1601920,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1864064,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
7EA5D71D,2451,1602160,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1864304,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
3E74187F,2452,1602400,S-1-5-21-2232410529-1445159330-2725690660-1106,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,1864544,D:\dfirmadness\DESKTOP-E01\tout\H\$Secure_$SDS
