ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Unassociated,0006849d7ca405c77744869743e8bb96c30300000904,2019-02-15 03:52:39,0084038fd0baa047e877f122df91358b1fb7bcae,False,c:\program files (x86)\microsoft silverlight\5.1.50907.0\silverlight.configuration.exe,silverlight.configuration.exe,.exe,2017-05-04 05:16:30,microsoft® silverlight,237184,5.1.50907.0,5.1.50907.0,silverlight.conf|2cccc205cedc57bc,pe32_i386,True,5.1.50907.0,5.1.50907.0,0,1033,
Unassociated,0006849d7ca405c77744869743e8bb96c30300000904,2019-02-15 03:52:39,297dcfd836693bae4b523f569392c766e33c64cd,False,c:\program files\microsoft silverlight\5.1.50907.0\silverlight.configuration.exe,silverlight.configuration.exe,.exe,2017-05-04 05:07:23,microsoft® silverlight,304768,5.1.50907.0,5.1.50907.0,silverlight.conf|85b157745862007e,pe64_amd64,True,5.1.50907.0,5.1.50907.0,0,1033,
Unassociated,0006849d7ca405c77744869743e8bb96c30300000904,2019-02-15 03:52:39,28b7038f7b16a708483e8482ff442b2e342a00f3,False,c:\program files\microsoft silverlight\sllauncher.exe,sllauncher.exe,.exe,2017-05-04 05:07:08,microsoft® silverlight,524416,5.1.50907.0,5.1.50907.0,sllauncher.exe|94d73ae72e690de7,pe64_amd64,True,5.1.50907.0,5.1.50907.0,0,1033,
Unassociated,0006849d7ca405c77744869743e8bb96c30300000904,2019-02-15 03:52:39,17ed85246d556b17a87e920148152325a13b5d60,False,c:\program files (x86)\microsoft silverlight\sllauncher.exe,sllauncher.exe,.exe,2017-05-04 05:16:26,microsoft® silverlight,387200,5.1.50907.0,5.1.50907.0,sllauncher.exe|cf1bc1e9e9b7322e,pe32_i386,True,5.1.50907.0,5.1.50907.0,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:02:03,660b76b6fb802417d513adc967c5caf77fc2bac6,True,c:\windows\system32\svchost.exe,svchost.exe,.exe,2056-12-12 08:28:34,microsoft® windows® operating system,51288,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,svchost.exe|3a3b9820ea882eb4,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,00061fa127b9149fc4dd74cf13080b16422900000904,2019-02-15 04:52:19,1ae14cda15bc767efb12cbe52afbf170ce46fd8d,False,c:\users\ieuser\desktop\sync64.exe,sync64.exe,.exe,2016-06-13 02:06:56,sysinternals sync,158360,2.2,2.2,sync64.exe|6b2b01e1abcc6a2a,pe64_amd64,True,2.2.0.0,2.2.0.0,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-02-15 03:52:13,2a594345fbcaad453c72bd0937cbf67fb43a74df,True,c:\windows\system32\taskhostw.exe,taskhostw.exe,.exe,1998-04-20 04:58:28,microsoft® windows® operating system,87904,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,taskhostw.exe|87c6c7cdfdc02bad,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0006399a515753ce6b9b8e99df120506afb100000904,2019-02-15 03:59:41,8163131b1779b8582096f24f33f84b433bd9845b,False,c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.17134.1_none_eedfeda03074e04e\tiworker.exe,tiworker.exe,.exe,2057-06-11 14:51:31,microsoft® windows® operating system,199680,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,tiworker.exe|c8d0aa61d7a2df40,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:02:03,2a3bfed90c680fc78e229091b6786aaf9655aa6b,True,c:\windows\system32\upfc.exe,upfc.exe,.exe,2019-01-17 06:48:56,microsoft® windows® operating system,110632,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,upfc.exe|5e5b940356e40b74,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:04:23,1ed4ae92d235497f62610078d51105c4634afade,True,c:\windows\system32\wermgr.exe,wermgr.exe,.exe,2059-03-28 06:15:12,microsoft® windows® operating system,209312,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,wermgr.exe|ae5df027a4ca83dd,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:04:37,c1827349741d158c87172b996b3fcbe5c3661848,True,c:\windows\system32\winlogon.exe,winlogon.exe,.exe,2054-09-18 10:06:16,microsoft® windows® operating system,677376,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,winlogon.exe|7111cb227d6798fb,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-04-25 20:13:26,d24e9c6079a20d1aed8c1c409c3fc8e1c63628f3,True,c:\windows\system32\wlrmdr.exe,wlrmdr.exe,.exe,2043-02-23 16:32:08,microsoft® windows® operating system,65704,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,wlrmdr.exe|68042d0671a61b35,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2019-02-15 05:03:09,e1da1851e1b1a890123400b131178b03e5a43141,True,c:\program files\windows nt\accessories\wordpad.exe,wordpad.exe,.exe,2055-05-04 12:20:23,microsoft® windows® operating system,4492800,10.0.17134.1 (winbuild.160101.0800),10.0.17134.1,wordpad.exe|7a6e9cb863179cf,pe64_amd64,True,10.0.17134.1,10.0.17134.1,0,1033,
Unassociated,,2019-02-15 14:01:22,,False,,,,,,0,,,,,False,,,0,0,
