Id,Timestamp,UserId,AppId,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,StartTime,EndTime,Flags,Duration
1,2020-09-18 05:58:00,112,206,C112,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 04:58:43,2020-09-18 05:57:00,0,00:58:16.6621572
2,2020-09-18 05:58:00,112,207,C119,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 04:58:43,2020-09-18 05:57:00,0,00:58:16.6621572
3,2020-09-18 05:58:00,112,208,C102,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 04:58:43,2020-09-18 05:57:00,0,00:58:16.6621572
4,2020-09-18 05:58:00,112,209,C115,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 04:58:43,2020-09-18 05:57:00,0,00:58:16.6621572
5,2020-09-18 05:58:00,112,210,C105,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 04:58:43,2020-09-18 05:57:00,0,00:58:16.6621572
6,2020-09-18 05:58:00,112,211,C100,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 04:58:43,2020-09-18 05:52:00,0,00:53:16.6631260
7,2020-09-18 05:58:00,109,211,C100,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1000,,2020-09-18 04:58:43,2020-09-18 05:49:00,0,00:50:16.6624077
8,2020-09-18 05:58:00,109,212,C127,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1000,,2020-09-18 04:58:43,2020-09-18 05:48:00,0,00:49:16.7108194
9,2020-09-18 05:58:00,112,213,C125,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 04:58:43,2020-09-18 05:57:00,0,00:58:16.6621572
10,2020-09-18 05:58:00,109,213,C125,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1000,,2020-09-18 04:58:43,2020-09-18 05:48:00,0,00:49:16.7108194
11,2020-09-18 05:58:00,112,212,C127,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 04:58:43,2020-09-18 05:57:00,0,00:58:16.6621572
12,2020-09-18 05:58:00,109,214,C101,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1000,,2020-09-18 04:58:43,2020-09-18 05:49:00,0,00:50:16.6624077
13,2020-09-18 05:58:00,112,215,U,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 04:58:43,2020-09-18 05:57:00,0,00:58:16.6621572
14,2020-09-18 05:58:00,109,215,U,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1000,,2020-09-18 04:58:43,2020-09-18 05:48:00,0,00:49:16.7108194
15,2020-09-18 05:58:00,112,214,C101,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 04:58:43,2020-09-18 05:57:00,0,00:58:16.6621572
16,2020-09-18 21:42:00,112,206,C112,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 21:41:00,2020-09-18 21:42:00,0,00:00:59.9814089
17,2020-09-18 21:42:00,112,207,C119,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 21:41:00,2020-09-18 21:42:00,0,00:00:59.9814089
18,2020-09-18 21:42:00,112,208,C102,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 21:41:00,2020-09-18 21:42:00,0,00:00:59.9814089
19,2020-09-18 21:42:00,112,215,U,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 05:58:00,2020-09-18 21:42:00,0,15:43:59.9990815
20,2020-09-18 21:42:00,112,209,C115,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 21:41:00,2020-09-18 21:42:00,0,00:00:59.9814089
21,2020-09-18 21:42:00,112,214,C101,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 05:58:00,2020-09-18 21:42:00,0,15:43:59.9990815
22,2020-09-18 21:42:00,112,210,C105,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 21:41:00,2020-09-18 21:42:00,0,00:00:59.9814089
23,2020-09-18 21:42:00,112,213,C125,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 05:58:00,2020-09-18 21:42:00,0,15:43:59.9990815
24,2020-09-18 21:42:00,112,212,C127,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 05:58:00,2020-09-18 21:42:00,0,15:43:59.9990815
25,2020-09-18 21:42:00,112,211,C100,,,UnknownOrUserSid,S-1-5-21-41211245-796119838-3940169921-1001,Admin,2020-09-18 05:58:00,2020-09-18 21:41:00,0,15:43:00.0176726
26,2020-09-18 22:56:00,319,206,C112,,,UnknownOrUserSid,S-1-5-21-2232410529-1445159330-2725690660-1108,mortysmith,2020-09-18 22:47:00,2020-09-18 22:51:00,0,00:03:59.9993582
27,2020-09-18 22:56:00,319,208,C102,,,UnknownOrUserSid,S-1-5-21-2232410529-1445159330-2725690660-1108,mortysmith,2020-09-18 22:47:00,2020-09-18 22:52:00,0,00:05:00.0002131
