KeyName,KeyLastWriteTimestamp,DriverTimeStamp,DriverLastWriteTime,DriverName,DriverInBox,DriverIsKernelMode,DriverSigned,DriverCheckSum,DriverCompany,DriverId,DriverPackageStrongName,DriverType,DriverVersion,ImageSize,Inf,Product,ProductVersion,Service,WdfVersion
c:/windows/system32/drivers/tcpip.sys,2019-05-26 08:30:53,2008-12-29 21:29:39,2019-03-19 13:15:52,tcpip.sys,True,True,True,2949132,Microsoft Corporation,0000170ca85236fea23a4b3524732f030fcab1850c3f,,8651034,10.0.17763.379,2994176,,Microsoft® Windows® Operating System,10.0.17763.1,tcpip,
c:/windows/system32/drivers/tcpipreg.sys,2019-05-26 08:30:53,2005-06-12 07:39:48,2018-09-15 07:28:55,tcpipreg.sys,True,True,True,91024,Microsoft Corporation,0000748815c3d4faf79d2cf3c846c6d43b7090d6ea14,,8650778,10.0.17763.1,81920,,Microsoft® Windows® Operating System,10.0.17763.1,tcpipreg,
c:/windows/system32/drivers/tdx.sys,2019-05-26 08:30:53,2063-06-29 13:17:33,2018-09-15 07:29:13,tdx.sys,True,True,True,167125,Microsoft Corporation,00008341bf01b879bffac9f26033e67d516f0ee74b3a,,8650778,10.0.17763.1,159744,,Microsoft® Windows® Operating System,10.0.17763.1,tdx,
c:/windows/system32/drivers/terminpt.sys,2019-05-26 08:30:53,2052-09-01 05:41:46,2018-09-15 07:28:19,terminpt.sys,True,True,True,45558,Microsoft Corporation,0000a41f3168dfe4ff5de009fe90fae1728d710350a5,,8650778,10.0.17763.1,61440,,Microsoft® Windows® Operating System,10.0.17763.1,terminpt,
c:/windows/system32/drivers/tpm.sys,2019-05-26 08:30:53,2047-01-03 02:25:52,2018-09-15 07:28:19,tpm.sys,True,True,True,278635,Microsoft Corporation,000080e4732257b87f5609144598b0db5ab28ad602ed,,8650778,10.0.17763.1,262144,,Microsoft® Windows® Operating System,10.0.17763.1,tpm,
c:/windows/system32/drivers/tsusbflt.sys,2019-05-26 08:30:54,2038-05-27 02:50:38,2018-09-15 07:28:22,tsusbflt.sys,True,True,True,123763,Microsoft Corporation,0000061bfdce5505116a452cc1c1ced14fa262bb2690,,8650778,10.0.17763.1,90112,,Microsoft® Windows® Operating System,10.0.17763.1,tsusbflt,
c:/windows/system32/drivers/tsusbgd.sys,2019-05-26 08:30:54,2040-10-27 09:18:32,2018-09-15 07:28:17,tsusbgd.sys,True,True,True,97519,Microsoft Corporation,0000c10dff8e82609edca4433351f67f3365d7d10133,,8650778,10.0.17763.1,65536,,Microsoft® Windows® Operating System,10.0.17763.1,tsusbgd,
c:/windows/system32/drivers/tsusbhub.sys,2019-05-26 08:30:54,2009-05-30 01:02:42,2018-09-15 09:09:50,tsusbhub.sys,True,True,True,186540,Microsoft Corporation,00003c283dfe2f8ac5b8a43c2ef8f0d3c6e574109171,,8650778,10.0.17763.1,159744,,Microsoft® Windows® Operating System,10.0.17763.1,tsusbhub,
c:/windows/system32/drivers/tunnel.sys,2019-05-26 08:30:54,2020-02-26 05:19:19,2018-09-15 07:28:56,tunnel.sys,True,True,True,179362,Microsoft Corporation,000008f5bd761e407647769099e4d64198b6e6252eb1,,8650778,10.0.17763.1,159744,,Microsoft® Windows® Operating System,10.0.17763.1,tunnel,
c:/windows/system32/drivers/uaspstor.sys,2019-05-26 08:30:54,2035-11-28 14:27:29,2018-09-15 07:28:18,uaspstor.sys,True,True,True,136562,Microsoft Corporation,0000af453975f9a8b46b178b0ae8e915e735901fb969,,8650778,10.0.17763.1,102400,,Microsoft® Windows® Operating System,10.0.17763.1,uaspstor,
