Timestamp,BatchKeyPath,DriveName,BatchValueName,VolumeLabel
2013-08-22 14:47:14.8685152,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows Search\VolumeInfoCache\C:,C:,Multiple,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\DXM_Runtime,DXM_Runtime,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\IEData,IEData,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack,MobileOptionPack,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\MPlayer2,MPlayer2,Multiple,,,,,,,
2015-12-12 03:28:24.6486404,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\Oracle VM VirtualBox Guest Additions,Oracle VM VirtualBox Guest Additions,Multiple,Oracle VM VirtualBox Guest Additions 5.0.10,5.0.10.0,Oracle Corporation,,,,C:\Program Files\Oracle\VirtualBox Guest Additions\uninst.exe
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\SchedulingAgent,SchedulingAgent,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\WIC,WIC,Multiple,,,,,,,
2013-08-22 15:37:10.7969461,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2013-08-22 15:37:10.7969461,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2013-08-22 15:37:10.7969461,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2013-08-22 15:37:10.7969461,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\DXM_Runtime,DXM_Runtime,Multiple,,,,,,,
2013-08-22 15:37:10.7969461,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2013-08-22 15:37:10.7969461,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2013-08-22 15:37:10.7969461,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2013-08-22 15:37:10.7969461,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
2013-08-22 15:37:10.7969461,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IEData,IEData,Multiple,,,,,,,
2013-08-22 15:37:10.7969461,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack,MobileOptionPack,Multiple,,,,,,,
2013-08-22 15:37:10.7969461,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\MPlayer2,MPlayer2,Multiple,,,,,,,
