Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,ConnectedTime,ConnectStartTime,InterfaceLuid,InterfaceType,L2ProfileFlags,L2ProfileId,ProfileName
36,2018-03-28 09:38:00,,,,UnknownOrUserSid,,,2,1,36497,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
37,2018-03-28 10:39:00,,,,UnknownOrUserSid,,,2,1,40161,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
38,2018-03-28 10:39:00,,,,UnknownOrUserSid,,,2,1,40157,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
39,2018-03-28 11:40:00,,,,UnknownOrUserSid,,,2,1,43821,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
40,2018-03-28 11:40:00,,,,UnknownOrUserSid,,,2,1,43817,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
41,2018-03-28 12:41:00,,,,UnknownOrUserSid,,,2,1,47481,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
42,2018-03-28 12:41:00,,,,UnknownOrUserSid,,,2,1,47477,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
43,2018-03-28 13:42:00,,,,UnknownOrUserSid,,,2,1,51141,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
44,2018-03-28 13:42:00,,,,UnknownOrUserSid,,,2,1,51137,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
45,2018-03-28 14:43:00,,,,UnknownOrUserSid,,,2,1,54801,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
46,2018-03-28 14:43:00,,,,UnknownOrUserSid,,,2,1,54797,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
47,2018-03-28 15:44:00,,,,UnknownOrUserSid,,,2,1,58461,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
48,2018-03-28 15:44:00,,,,UnknownOrUserSid,,,2,1,58457,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
49,2018-03-28 16:44:00,,,,UnknownOrUserSid,,,2,1,62061,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
50,2018-03-28 16:44:00,,,,UnknownOrUserSid,,,2,1,62057,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
51,2018-03-28 17:45:00,,,,UnknownOrUserSid,,,2,1,65721,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
52,2018-03-28 17:45:00,,,,UnknownOrUserSid,,,2,1,65717,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
53,2018-03-28 18:45:00,,,,UnknownOrUserSid,,,2,1,69321,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
54,2018-03-28 18:45:00,,,,UnknownOrUserSid,,,2,1,69317,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
55,2018-03-28 19:46:00,,,,UnknownOrUserSid,,,2,1,72981,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
56,2018-03-28 19:46:00,,,,UnknownOrUserSid,,,2,1,72977,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
57,2018-03-28 20:46:00,,,,UnknownOrUserSid,,,2,1,76581,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
58,2018-03-28 20:46:00,,,,UnknownOrUserSid,,,2,1,76577,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
59,2018-03-28 21:47:00,,,,UnknownOrUserSid,,,2,1,80241,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
60,2018-03-28 21:47:00,,,,UnknownOrUserSid,,,2,1,80237,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
61,2018-03-28 22:48:00,,,,UnknownOrUserSid,,,2,1,83901,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
62,2018-03-28 22:48:00,,,,UnknownOrUserSid,,,2,1,83897,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
63,2018-03-28 23:48:00,,,,UnknownOrUserSid,,,2,1,87501,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
64,2018-03-28 23:48:00,,,,UnknownOrUserSid,,,2,1,87497,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
65,2018-03-29 00:49:00,,,,UnknownOrUserSid,,,2,1,91161,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
66,2018-03-29 00:49:00,,,,UnknownOrUserSid,,,2,1,91157,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
67,2018-03-29 01:50:00,,,,UnknownOrUserSid,,,2,1,94821,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
68,2018-03-29 01:50:00,,,,UnknownOrUserSid,,,2,1,94817,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
69,2018-03-29 02:51:00,,,,UnknownOrUserSid,,,2,1,98481,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
70,2018-03-29 02:51:00,,,,UnknownOrUserSid,,,2,1,98477,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
71,2018-03-29 03:51:00,,,,UnknownOrUserSid,,,2,1,102081,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
72,2018-03-29 03:51:00,,,,UnknownOrUserSid,,,2,1,102077,2018-03-27 23:29:42.4985515,36873771772018688,IF_TYPE_TUNNEL,0,0,
73,2018-03-29 04:52:00,,,,UnknownOrUserSid,,,2,1,105741,2018-03-27 23:29:38.8765515,19985273102270464,IF_TYPE_IEEE80211,0,268435457,Net 2.4
