SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,EntryName,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2018-03-27 23:38:25.1897151,2018-04-06 12:26:16.4547093,2024-08-31 04:06:50.5383653,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2018-03-27 09:32:50.8416875,2018-03-20 05:59:56.3750000,2018-03-27 09:32:50.8416875,1589592,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,"My Computer\C:\@shell32.dll,-21817\Google\Chrome\Application\chrome.exe",0x18FC5,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12.4999301,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--win-jumplist-action=most-visited https://weather.com/
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2018-03-27 23:38:25.1897151,2018-04-06 12:26:16.4547093,2024-08-31 04:06:50.5383653,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2018-03-27 09:32:50.8416875,2018-03-20 05:59:56.3750000,2018-03-27 09:32:50.8416875,1589592,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,"My Computer\C:\@shell32.dll,-21817\Google\Chrome\Application\chrome.exe",0x18FC5,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12.4999301,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--win-jumplist-action=most-visited http://aws.amazon.com/
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2018-03-27 23:38:25.1897151,2018-04-06 12:26:16.4547093,2024-08-31 04:06:50.5383653,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2018-03-27 09:32:50.8416875,2018-03-20 05:59:56.3750000,2018-03-27 09:32:50.8416875,1589592,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,"My Computer\C:\@shell32.dll,-21817\Google\Chrome\Application\chrome.exe",0x18FC5,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12.4999301,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--win-jumplist-action=most-visited http://www.yahoo.com/
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2018-03-27 23:38:25.1897151,2018-04-06 12:26:16.4547093,2024-08-31 04:06:50.5383653,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2018-03-27 09:32:50.8416875,2018-03-20 05:59:56.3750000,2018-03-27 09:32:50.8416875,1589592,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,"My Computer\C:\@shell32.dll,-21817\Google\Chrome\Application\chrome.exe",0x18FC5,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12.4999301,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--win-jumplist-action=most-visited http://www.amazon.com/
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2018-03-27 23:38:25.1897151,2018-04-06 12:26:16.4547093,2024-08-31 04:06:50.5383653,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,Most visited,2018-03-27 09:32:50.8416875,2018-03-20 05:59:56.3750000,2018-03-27 09:32:50.8416875,1589592,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,"My Computer\C:\@shell32.dll,-21817\Google\Chrome\Application\chrome.exe",0x18FC5,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12.4999301,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--win-jumplist-action=most-visited https://mail.google.com/mail/
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2018-03-27 23:38:25.1897151,2018-04-06 12:26:16.4547093,2024-08-31 04:06:50.5383653,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,,2018-03-27 09:32:50.8416875,2018-03-20 05:59:56.3750000,2018-03-27 09:32:50.8416875,1589592,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,"My Computer\C:\@shell32.dll,-21817\Google\Chrome\Application\chrome.exe",0x18FC5,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12.4999301,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--win-jumplist-action=recently-closed https://onedrive.live.com/edit.aspx?cid=b5e4e06f22924dca&page=view&resid=B5E4E06F22924DCA!110&parId=B5E4E06F22924DCA!108&app=OneNote
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2018-03-27 23:38:25.1897151,2018-04-06 12:26:16.4547093,2024-08-31 04:06:50.5383653,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,,2018-03-27 09:32:50.8416875,2018-03-20 05:59:56.3750000,2018-03-27 09:32:50.8416875,1589592,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,"My Computer\C:\@shell32.dll,-21817\Google\Chrome\Application\chrome.exe",0x18FC5,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12.4999301,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--win-jumplist-action=recently-closed https://www.theblaze.com/news/2018/04/05/commentary-how-the-left-bullies-everyone-who-disagrees-with-them-and-what-you-should-do-about-it
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2018-03-27 23:38:25.1897151,2018-04-06 12:26:16.4547093,2024-08-31 04:06:50.5383653,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,,2018-03-27 09:32:50.8416875,2018-03-20 05:59:56.3750000,2018-03-27 09:32:50.8416875,1589592,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,"My Computer\C:\@shell32.dll,-21817\Google\Chrome\Application\chrome.exe",0x18FC5,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12.4999301,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--win-jumplist-action=recently-closed https://www.yahoo.com/news/m/9f8d92f8-3711-3673-9e0a-c4c85520a5fb/ss_the-chances-of-life-on-other.html
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2018-03-27 23:38:25.1897151,2018-04-06 12:26:16.4547093,2024-08-31 04:06:50.5383653,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,,2018-03-27 09:32:50.8416875,2018-03-20 05:59:56.3750000,2018-03-27 09:32:50.8416875,1589592,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,"My Computer\C:\@shell32.dll,-21817\Google\Chrome\Application\chrome.exe",0x18FC5,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12.4999301,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5d696d521de238c3.customDestinations-ms,2018-03-27 23:38:25.1897151,2018-04-06 12:26:16.4547093,2024-08-31 04:06:50.5383653,5d696d521de238c3,Google Chrome 9.0.597.84 / 12.0.742.100 / 13.0.785.215 / 48.0.2564.116,,2018-03-27 09:32:50.8416875,2018-03-20 05:59:56.3750000,2018-03-27 09:32:50.8416875,1589592,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,,"My Computer\C:\@shell32.dll,-21817\Google\Chrome\Application\chrome.exe",0x18FC5,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12.4999301,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--incognito
