SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,HasSps,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-27 09:21:12.5391526,2018-04-06 12:27:08.0269021,2024-08-31 04:06:50.5232306,5f7b5f1e01b83767,Quick Access,False,4,25,3,4,,2018-04-05 08:32:48.7594044,,,C:\Users\jcloudy\Desktop\Planning.docx,12,False,,,,,2018-03-30 02:16:48.6646635,2018-04-04 05:30:41.6351572,2018-04-04 05:30:41.6195302,14060,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Planning.docx,,My Computer\C:\Users\jcloudy\Desktop\Planning.docx,0x21336,0x6,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-27 21:45:39.5020512,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-27 09:21:12.5391526,2018-04-06 12:27:08.0269021,2024-08-31 04:06:50.5232306,5f7b5f1e01b83767,Quick Access,False,4,25,4,16,,2018-04-05 05:51:41.2409822,,,C:\Users\jcloudy\Desktop\UKknifeBan.pdf,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\UKknifeBan.pdf,,My Computer\C:\Users\jcloudy\Desktop\UKknifeBan.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-27 09:21:12.5391526,2018-04-06 12:27:08.0269021,2024-08-31 04:06:50.5232306,5f7b5f1e01b83767,Quick Access,False,4,25,5,15,,2018-04-05 05:48:40.2600828,,,C:\Users\jcloudy\Desktop\SelfDefenseisMurder.pdf,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\SelfDefenseisMurder.pdf,,My Computer\C:\Users\jcloudy\Desktop\SelfDefenseisMurder.pdf,0x0,,,,,PropertyStoreDataBlock,,
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-27 09:21:12.5391526,2018-04-06 12:27:08.0269021,2024-08-31 04:06:50.5232306,5f7b5f1e01b83767,Quick Access,False,4,25,6,14,,2018-04-05 02:41:01.9234141,,,C:\Users\jcloudy\Desktop\Cloudy thoughts (4apr).docx,2,False,,,,,2018-04-05 02:39:29.7469780,2018-04-05 02:39:30.2461032,2018-04-05 02:39:30.2080794,12547,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Cloudy thoughts (4apr).docx,,"My Computer\C:\@shell32.dll,-21813\jcloudy\@shell32.dll,-21769\Cloudy thoughts (4apr).docx",0x21C18,0x7,desktop-pm6c56d,28:e3:47:01:77:77,2018-04-04 06:24:29.4991308,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-27 09:21:12.5391526,2018-04-06 12:27:08.0269021,2024-08-31 04:06:50.5232306,5f7b5f1e01b83767,Quick Access,False,4,25,7,13,,2018-04-04 05:31:23.8713902,,,C:\Users\jcloudy\Desktop\Operation 2nd Hand Smoke.pptx,3,False,,,,,2018-04-04 04:56:19.7859800,2018-04-04 05:11:27.8059408,2018-04-04 05:11:27.7460929,4408968,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Operation 2nd Hand Smoke.pptx,,My Computer\C:\Users\jcloudy\Desktop\Operation 2nd Hand Smoke.pptx,0x2356D,0xE,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09.1839809,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-27 09:21:12.5391526,2018-04-06 12:27:08.0269021,2024-08-31 04:06:50.5232306,5f7b5f1e01b83767,Quick Access,False,4,25,8,5,,2018-04-04 05:11:46.9928388,,,C:\Users\jcloudy\Desktop\AIRPORT INFORMATION.docx,12,False,,,,,2018-03-30 02:29:57.4567268,2018-04-04 04:59:32.8495950,2018-04-04 04:59:32.8245855,172684,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\AIRPORT INFORMATION.docx,,"My Computer\C:\@shell32.dll,-21813\jcloudy\@shell32.dll,-21769\AIRPORT INFORMATION.docx",0x2079F,0x8,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-27 21:45:39.5020561,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-27 09:21:12.5391526,2018-04-06 12:27:08.0269021,2024-08-31 04:06:50.5232306,5f7b5f1e01b83767,Quick Access,False,4,25,9,12,,2018-04-03 06:11:21.4623354,,,C:\Users\jcloudy\Desktop\The Cloudy Manifesto.docx,3,False,,,,,2018-04-02 01:35:27.1504829,2018-04-02 01:35:27.6574600,2018-04-02 01:35:27.6418333,816313,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\The Cloudy Manifesto.docx,,"My Computer\C:\@shell32.dll,-21813\jcloudy\@shell32.dll,-21769\The Cloudy Manifesto.docx",0x21337,0x4,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09.1838853,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-27 09:21:12.5391526,2018-04-06 12:27:08.0269021,2024-08-31 04:06:50.5232306,5f7b5f1e01b83767,Quick Access,False,4,25,10,8,,2018-04-02 01:12:52.0320938,,,C:\Users\jcloudy\Desktop\Sheep.jpg,2,False,,,,,2018-03-30 03:32:40.3550021,2018-03-30 03:32:40.6060536,2018-03-30 03:32:34.2792906,11073,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Sheep.jpg,,My Computer\C:\Users\jcloudy\Desktop\Sheep.jpg,0x22D31,0xB,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09.1838751,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-27 09:21:12.5391526,2018-04-06 12:27:08.0269021,2024-08-31 04:06:50.5232306,5f7b5f1e01b83767,Quick Access,False,4,25,11,6,,2018-04-02 01:12:41.5130641,,,C:\Users\jcloudy\Desktop\HoldMyTidePod.jpg,2,False,,,,,2018-03-30 03:29:20.5793722,2018-03-30 03:29:20.8443968,2018-03-30 03:29:02.2211321,43525,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\HoldMyTidePod.jpg,,My Computer\Desktop\HoldMyTidePod.jpg,0x22CF1,0x7,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09.1838732,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2018-03-27 09:21:12.5391526,2018-04-06 12:27:08.0269021,2024-08-31 04:06:50.5232306,5f7b5f1e01b83767,Quick Access,False,4,25,12,E,,2018-04-02 01:10:19.0787615,,,C:\Users\jcloudy\Desktop\DeathToll.jpg,2,False,,,,,2018-03-31 04:16:22.1390207,2018-03-31 04:16:22.3771082,2018-03-31 04:16:11.8712913,61596,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DeathToll.jpg,,My Computer\C:\Users\jcloudy\Desktop\DeathToll.jpg,0xA55D,0x6,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09.1838697,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
