Path,BatchKeyPath,BatchValueName
C:\Users\mortysmith\AppData\Local\Microsoft\OneDrive\19.043.0304.0013\FileSyncConfig.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\mortysmith\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\mortysmith\AppData\Local\Microsoft\OneDrive\20.143.0716.0003\FileSyncConfig.exe,ROOT\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
