JumpListName,BatchKeyPath,ExecutedOn,BatchValueName
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\notepad.exe,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Search\JumplistData,2020-09-19 03:47:39.8795346,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\notepad.exe
Microsoft.Windows.Photos_8wekyb3d8bbwe!App,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Search\JumplistData,2020-09-19 03:45:54.2705177,Microsoft.Windows.Photos_8wekyb3d8bbwe!App
