Timestamp,BatchKeyPath,DriveName,BatchValueName,VolumeLabel
2020-09-18 05:47:08.8581519,ROOT\Microsoft\Windows Search\VolumeInfoCache\C:,C:,Multiple,
2020-09-19 05:08:58.6250645,ROOT\Microsoft\Windows Search\VolumeInfoCache\E:,E:,Multiple,Incident_drive
