Hash,Id,Offset,OwnerSid,GroupSid,Control,SaclAceCount,UniqueSaclAceTypes,DaclAceCount,UniqueDaclAceTypes,FileOffset,SourceFile
7435570C,830,218176,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,9,AccessAllowed,218176,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
56C0E4AF,831,218528,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,4,AccessAllowed,218528,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
8871D8B0,832,218752,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,10,AccessAllowed,218752,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
D9B7890F,833,219200,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,219200,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
4161AD55,834,219360,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,219360,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
4141AD45,835,219504,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,219504,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
412FAD42,836,219648,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,219648,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
45A4CEB1,837,219792,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,6,AccessAllowed,219792,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
8144200F,838,220000,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,220000,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
060F39A7,839,220160,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,9,AccessAllowed,220160,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
EA4C49D9,840,220464,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,10,AccessAllowed,220464,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
EC8E90C9,841,220768,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,220768,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
32576FBB,842,220928,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,5,AccessAllowed,220928,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
EB5B6D29,843,221168,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,6,AccessDenied|AccessAllowed,221168,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
B29B3F86,844,221392,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,11,AccessAllowed,221392,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
57E618B5,845,221744,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,4,AccessAllowed,221744,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
11C6A062,846,221904,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,7,AccessAllowed,221904,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
F4DDBB46,847,222176,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,222176,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
F546D323,848,222336,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,1,AccessAllowed,222336,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
49FDCA50,849,222432,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,8,AccessAllowed,222432,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
7EE7CAC6,850,222704,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,9,AccessAllowed,222704,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
DCBCCB17,851,222992,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,4,AccessAllowed,222992,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
1E0987B0,852,223168,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,8,AccessAllowed,223168,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
FA4C41DD,853,223440,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,10,AccessAllowed,223440,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
E80A80A4,854,223744,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,10,AccessAllowed,223744,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
91B9718D,855,224080,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,10,AccessAllowed,224080,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
8C8333A9,856,224416,S-1-5-18,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,2,AccessAllowed,224416,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
3C618CE4,857,224560,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,8,AccessAllowed,224560,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
F85DBA12,858,224832,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,224832,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
02A93E95,859,224992,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,10,AccessAllowed,224992,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
A50C7B36,860,225296,S-1-5-32-544,S-1-5-32-544,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,4,AccessAllowed,225296,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
1440853D,861,225472,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,225472,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
CA6496FD,862,225648,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,225648,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
1606B612,863,225808,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,225808,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
1BAF15D0,864,225968,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,10,AccessAllowed,225968,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
A821E89D,865,226304,S-1-5-19,S-1-5-19,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,226304,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
B6B4F543,866,226464,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,9,AccessAllowed,226464,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
7FE3A468,867,226752,S-1-5-32-544,S-1-5-32-544,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,5,AccessDenied|AccessAllowed,226752,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
5A72B907,868,226944,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,10,AccessAllowed,226944,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
5D60B6AC,869,227280,S-1-5-32-544,S-1-5-21-2346275596-721628675-3379419668-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,9,AccessAllowed,227280,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
79F62BBF,870,227568,S-1-5-32-544,S-1-5-32-544,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,4,AccessAllowed,227568,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
65AB006A,871,227760,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,11,AccessAllowed,227760,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
CA216D8A,872,228112,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,10,AccessAllowed,228112,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
8653AEC3,873,228448,S-1-5-32-544,S-1-5-32-544,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,5,AccessAllowed,228448,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
C4785565,874,228656,S-1-5-32-544,S-1-5-21-397955417-626881126-188441444-513,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,4,AccessAllowed,228656,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
7B451FF0,875,228880,S-1-5-19,S-1-5-19,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,6,AccessDenied|AccessAllowed,228880,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
534517AF,876,229120,S-1-5-19,S-1-5-19,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,6,AccessDenied|AccessAllowed,229120,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
92788E96,877,229360,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,2,AccessAllowed,229360,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
DD3B7738,878,229488,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,9,AccessAllowedCallback|AccessAllowed,229488,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
9967A6A5,879,229984,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemProcessTrustLabel,13,AccessAllowed,229984,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
C12FA77E,880,230432,S-1-5-20,S-1-5-20,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,230432,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
30E39326,881,230576,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,12,AccessAllowed,230576,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
C44383A3,882,230960,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,6,AccessAllowed,230960,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
299A50DD,883,231200,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,5,AccessAllowedCallback|AccessAllowed,231200,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
299A38DD,884,231568,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,5,AccessAllowedCallback|AccessAllowed,231568,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\$Secure_$SDS
