Timestamp,BatchKeyPath,DisplayName,BatchValueName,PackageName,InstallDate,Publisher,Language,InstallLocation,InstallSource,Comments
2019-03-19 13:22:17.3837830,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\16FD231CE70295C4098BD19A2E1E7A45,Puppet (64-bit),Multiple,3.8.7,20190319,Puppet Labs,1033,C:\Program Files\Puppet Labs\Puppet\,C:\Users\IEUser\AppData\Local\Temp\chocolatey\puppet\3.8.7\,
2019-03-19 13:24:38.4617310,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\67D6ECF5CD5FBA732B8B22BAC8DE1B4D,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161,Multiple,9.0.30729.6161,20190319,Microsoft Corporation,1033,,c:\0d44ffe1b31dc1b68652a027f5c7\,
2019-03-19 13:24:32.8524618,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\6E815EB96CCE9A53884E7857C57002F0,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161,Multiple,9.0.30729.6161,20190319,Microsoft Corporation,1033,,c:\b1b4a6487d9ed7b94c6e\,
2019-03-19 13:25:10.3841587,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\A1119D3420AE2864FBC3FECD6BA2980B,VMware Tools,Multiple,10.2.5.8068393,20190319,"VMware, Inc.",1033,C:\Program Files\VMware\VMware Tools\,C:\Program Files\Common Files\VMware\InstallerCache\,"Build "
2019-03-19 13:03:52.4310097,ROOT\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\D7314F9862C648A4DB8BE2A5B47BE100,Microsoft Silverlight,Multiple,5.1.50918.0,20190319,Microsoft Corporation,1033,c:\Program Files\Microsoft Silverlight\,c:\5752171d4ebdbaa67c84aad7b2dd2b84\,
