CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\PickerHost.exe,AppCompatCache,2018-09-15 07:28:30.7942155
1,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\NETSTAT.EXE,AppCompatCache,2018-09-15 07:29:14.8761797
2,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,\\?\C:\Users\IEUser\Desktop\creepy\welcome2.txt:revshell.exe,AppCompatCache,2019-05-26 08:33:33.5072794
3,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,\\?\C:\Users\IEUser\Desktop\creepy\welcome.txt:putty.exe,AppCompatCache,2019-05-26 08:33:19.0699003
4,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SysWOW64\notepad.exe,AppCompatCache,2018-09-15 07:29:13.4385587
5,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,\\?\C:\Users\IEUser\Desktop\creepy\COM1.txt:revshell.exe,AppCompatCache,2019-05-26 08:37:34.0544661
6,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,\\?\C:\Users\IEUser\Desktop\creepy\LPT1.txt:putty.exe,AppCompatCache,2019-05-26 08:37:19.3201360
7,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\ipconfig.exe,AppCompatCache,2018-09-15 07:29:14.7824225
8,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\Desktop\creepy\putty.exe,AppCompatCache,2019-05-24 04:39:58.0403110
9,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\Desktop\creepy\rev.exe,AppCompatCache,2019-05-24 04:49:16.8173440
10,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\Application,AppCompatCache,2019-03-19 13:19:08.8481812
11,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,SIGN.MEDIA=19984A Tools\putty.exe,AppCompatCache,2019-05-24 04:39:58.0403110
