Timestamp,BatchKeyPath,DriveName,BatchValueName,VolumeLabel
2018-03-27 12:13:22.5032604,ROOT\Microsoft\Windows Search\VolumeInfoCache\C:,C:,Multiple,
2018-03-27 09:22:22.0649874,ROOT\Microsoft\Windows Search\VolumeInfoCache\D:,D:,Multiple,CloudLog
2018-04-06 12:35:08.7468113,ROOT\Microsoft\Windows Search\VolumeInfoCache\F:,F:,Multiple,Samsung_T5
