Timestamp,BatchKeyPath,KeyName,BatchValueName,SerialNumber,DeviceName,FriendlyName,LocationInformation
2018-03-27 21:45:42.9073289,ROOT\ControlSet001\Enum\USB\ROOT_HUB20\4&1671a21&0,ROOT_HUB20,Multiple,4&1671a21&0,USB Root Hub,,
2018-03-27 21:45:42.8760900,ROOT\ControlSet001\Enum\USB\ROOT_HUB20\4&b21407d&0,ROOT_HUB20,Multiple,4&b21407d&0,USB Root Hub,,
2018-03-27 21:45:43.1416168,ROOT\ControlSet001\Enum\USB\ROOT_HUB30\4&2d689036&0&0,ROOT_HUB30,Multiple,4&2d689036&0&0,USB Root Hub (USB 3.0),,
2018-04-06 12:35:08.6347760,ROOT\ControlSet001\Enum\USB\VID_04E8&PID_61F5\MSFT3012345679FD0B,VID_04E8&PID_61F5,Multiple,MSFT3012345679FD0B,USB Attached SCSI (UAS) Mass Storage Device,,Port_#0006.Hub_#0003
2018-03-27 12:13:16.3653296,ROOT\ControlSet001\Enum\USB\VID_0781&PID_5580\AA010215170355310594,VID_0781&PID_5580,Multiple,AA010215170355310594,USB Mass Storage Device,,Port_#0003.Hub_#0005
2018-03-27 21:45:44.5756656,ROOT\ControlSet001\Enum\USB\VID_0781&PID_5580\AA010603160707470215,VID_0781&PID_5580,Multiple,AA010603160707470215,USB Mass Storage Device,,Port_#0003.Hub_#0005
2018-03-27 21:45:44.2964560,ROOT\ControlSet001\Enum\USB\VID_0C45&PID_643F\6&c0f0d73&0&5,VID_0C45&PID_643F,Multiple,6&c0f0d73&0&5,USB Composite Device,,Port_#0005.Hub_#0004
2018-03-27 21:45:44.5308387,ROOT\ControlSet001\Enum\USB\VID_0C45&PID_643F&MI_00\7&2bca401f&0&0000,VID_0C45&PID_643F&MI_00,Multiple,7&2bca401f&0&0000,USB Video Device,Integrated Webcam,0000.001a.0000.001.005.000.000.000.000
2018-03-27 21:45:44.0776004,ROOT\ControlSet001\Enum\USB\VID_413C&PID_8197\28E347017777,VID_413C&PID_8197,Multiple,28E347017777,Dell Wireless 380 Bluetooth 4.0 Module,,Port_#0004.Hub_#0004
2018-03-27 21:45:43.7459575,ROOT\ControlSet001\Enum\USB\VID_8087&PID_0024\5&182c2717&0&1,VID_8087&PID_0024,Multiple,5&182c2717&0&1,Generic USB Hub,,Port_#0001.Hub_#0001
2018-03-27 21:45:44.0516708,ROOT\ControlSet001\Enum\USB\VID_8087&PID_0024\5&2cd6d949&0&1,VID_8087&PID_0024,Multiple,5&2cd6d949&0&1,Generic USB Hub,,Port_#0001.Hub_#0002
