SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,EntryName,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\9d1f905ce5044aee.customDestinations-ms,2020-09-19 03:39:18.1294185,2020-09-19 03:39:18.1294185,2022-02-21 14:56:10.8771445,9d1f905ce5044aee,Edge Browser,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,0x0,,,,,PropertyStoreDataBlock,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\9d1f905ce5044aee.customDestinations-ms,2020-09-19 03:39:18.1294185,2020-09-19 03:39:18.1294185,2022-02-21 14:56:10.8771445,9d1f905ce5044aee,Edge Browser,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,0x0,,,,,PropertyStoreDataBlock,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\590aee7bdd69b59b.customDestinations-ms,2020-09-19 05:08:37.9688195,2020-09-19 05:08:37.9688195,2022-02-21 14:56:10.8891048,590aee7bdd69b59b,Windows Powershell 5.0 64-bit,,2020-09-18 22:44:11.6880516,2019-12-07 09:12:42.7471994,2020-09-18 22:44:54.2730316,2539,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasIconLocation, IsUnicode, HasExpString, RunAsUser, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\ricksanchez\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell.lnk,,Shared Documents Folder (Users Files)\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell.lnk,0x15763,0x1,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-19 01:24:04.5001778,"EnvironmentVariableDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",
D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\590aee7bdd69b59b.customDestinations-ms,2020-09-19 05:08:37.9688195,2020-09-19 05:08:37.9688195,2022-02-21 14:56:10.8891048,590aee7bdd69b59b,Windows Powershell 5.0 64-bit,,2019-12-07 09:51:23.1714890,2019-12-06 17:05:00.0000000,2020-09-19 03:36:46.9736534,212992,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasIconLocation, IsUnicode, HasExpString, RunAsUser, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe,,My Computer\C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe,0xB849,0x1,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-19 01:24:04.5001779,"EnvironmentVariableDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",
D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\590aee7bdd69b59b.customDestinations-ms,2020-09-19 05:08:37.9688195,2020-09-19 05:08:37.9688195,2022-02-21 14:56:10.8891048,590aee7bdd69b59b,Windows Powershell 5.0 64-bit,,2019-12-07 09:51:23.1714890,2019-12-06 17:05:00.0000000,2020-09-19 03:36:46.9736534,212992,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasIconLocation, IsUnicode, HasExpString, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe,,My Computer\C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe,0xB849,0x1,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-19 01:24:04.5001779,"EnvironmentVariableDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",
