Id,Platform,Name,AdditionalInformation,Expires
f543b986-6e3a-3336-4532-b33969b032cb,host,edge.activity.windows.com,,2020-10-18 23:03:03
bc3bc1c2-41a8-d961-b525-cba023b0c23d,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:03:15
bc3bc1c2-41a8-d961-b525-cba023b0c23d,host,edge.activity.windows.com,,2020-10-18 23:03:15
2bbce392-9374-35c4-13da-25d8bde31828,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:03:25
2bbce392-9374-35c4-13da-25d8bde31828,host,edge.activity.windows.com,,2020-10-18 23:03:25
2bbce392-9374-35c4-13da-25d8bde31828,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:03:25
ba8dbf39-2df7-3386-d94f-f3b704949246,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:03:27
ba8dbf39-2df7-3386-d94f-f3b704949246,host,edge.activity.windows.com,,2020-10-18 23:03:27
3550ed1d-ed5c-db60-a4ad-2f72c5070700,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:03:27
3550ed1d-ed5c-db60-a4ad-2f72c5070700,host,edge.activity.windows.com,,2020-10-18 23:03:27
3550ed1d-ed5c-db60-a4ad-2f72c5070700,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:03:27
a5f2c36a-b3eb-6226-f096-543051ec2264,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:03:38
a5f2c36a-b3eb-6226-f096-543051ec2264,host,edge.activity.windows.com,,2020-10-18 23:03:38
a5f2c36a-b3eb-6226-f096-543051ec2264,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:03:38
8b65168d-5fd4-5025-80d1-f3d747f38330,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:03:41
8b65168d-5fd4-5025-80d1-f3d747f38330,host,edge.activity.windows.com,,2020-10-18 23:03:41
8b65168d-5fd4-5025-80d1-f3d747f38330,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:03:41
2f526752-2806-e72d-9169-73a7be93c997,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:03:40
2f526752-2806-e72d-9169-73a7be93c997,host,edge.activity.windows.com,,2020-10-18 23:03:40
ce22c11a-316d-29bb-aa4f-0e71234a3691,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:03:42
ce22c11a-316d-29bb-aa4f-0e71234a3691,host,edge.activity.windows.com,,2020-10-18 23:03:42
ce22c11a-316d-29bb-aa4f-0e71234a3691,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:03:42
3fd0ed30-43a4-0c34-4b54-119a2d8ef246,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:03:44
3fd0ed30-43a4-0c34-4b54-119a2d8ef246,host,edge.activity.windows.com,,2020-10-18 23:03:44
3fd0ed30-43a4-0c34-4b54-119a2d8ef246,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:03:44
7cd1312f-b89c-069d-12dc-0ca8327e5d7f,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:03:53
7cd1312f-b89c-069d-12dc-0ca8327e5d7f,host,edge.activity.windows.com,,2020-10-18 23:03:53
7cd1312f-b89c-069d-12dc-0ca8327e5d7f,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:03:53
15e2010d-4381-5f4b-f78a-6636346710af,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:04:06
15e2010d-4381-5f4b-f78a-6636346710af,host,edge.activity.windows.com,,2020-10-18 23:04:06
2c000d5c-962a-bff8-9ebc-699b52fa7af7,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:04:15
2c000d5c-962a-bff8-9ebc-699b52fa7af7,host,edge.activity.windows.com,,2020-10-18 23:04:15
2c000d5c-962a-bff8-9ebc-699b52fa7af7,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:04:15
acffbe85-cf01-c909-5f2f-26331bf71688,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:04:21
acffbe85-cf01-c909-5f2f-26331bf71688,host,edge.activity.windows.com,,2020-10-18 23:04:21
5978055b-0c23-91c6-8549-fbfee2df7874,windows_universal,microsoft.microsoftedge_8wekyb3d8bbwe,,2020-10-18 23:04:40
5978055b-0c23-91c6-8549-fbfee2df7874,host,edge.activity.windows.com,,2020-10-18 23:04:40
5978055b-0c23-91c6-8549-fbfee2df7874,packageid,microsoft.microsoftedge_8wekyb3d8bbwe!microsoftedge,,2020-10-18 23:04:40
