Timestamp,BatchKeyPath,DisplayName,BatchValueName,PackageName,InstallDate,Publisher,Language,InstallLocation,InstallSource,Comments
2016-06-21 11:19:02.6288575,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\54425E612931F964A9BDCF30FA00DC16,Python 2.7.11,Multiple,2.7.11150,20160621,Python Software Foundation,1033,,C:\Users\Hunter\Downloads\,
2016-06-21 01:45:12.0275450,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\5A812990327ACD34D85B163756A6E149,Dropbox Update Helper,Multiple,1.3.43.1,20160620,"Dropbox, Inc.",1033,,C:\Program Files (x86)\Dropbox\Update\1.3.43.1\,
2016-06-21 09:34:22.1547069,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\5E200625B5D730744A3EAB65A6DED5A8,Intel(R) Biometric and Context Agent,Multiple,2.0.87.0,20160621,Intel Corporation,1033,,C:\Program Files (x86)\McAfee\Temp\qxz6641\,
2016-06-21 09:22:48.7342303,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\62DBF9290209B993A9A757D1160F9B24,Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005,Multiple,12.0.21005,20160621,Microsoft Corporation,1033,,C:\ProgramData\Package Cache\{929FBD26-9020-399B-9A7A-751D61F0B942}v12.0.21005\packages\vcRuntimeAdditional_amd64\,Caution. Removing this product might prevent some applications from running.
2016-06-21 00:02:23.4942186,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\68AB67CA7DA73301B744CAF070E41400,Adobe Acrobat Reader DC,Multiple,15.016.20045,20160620,Adobe Systems Incorporated,1033,C:\Program Files (x86)\Adobe\Acrobat Reader DC\,C:\ProgramData\Adobe\Setup\{AC76BA86-7AD7-1033-7B44-AC0F074E4100}\,"
			"
2016-06-21 11:02:14.7696785,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\6E815EB96CCE9A53884E7857C57002F0,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161,Multiple,9.0.30729.6161,20160621,Microsoft Corporation,1033,,c:\0575fc3f8097fc3e4d9c0de6615b\,
2016-06-21 09:22:48.3199761,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\6E8D947A316B3EB3F8F540C548BE2AB9,Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005,Multiple,12.0.21005,20160621,Microsoft Corporation,1033,,C:\ProgramData\Package Cache\{A749D8E6-B613-3BE3-8F5F-045C84EBA29B}v12.0.21005\packages\vcRuntimeMinimum_amd64\,Caution. Removing this product might prevent some applications from running.
2016-06-21 08:59:08.4875509,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\74A569CF9384AC046B81814F680F246C,Skype™ 7.25,Multiple,7.25.103,20160621,Skype Technologies S.A.,1033,C:\Program Files (x86)\Skype\,C:\ProgramData\Skype\{FC965A47-4839-40CA-B618-18F486F042C6}\,
2016-06-21 09:34:22.9169235,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\79A14D7320B603C478355801B71E6D47,Intel® RealSense™ SDK 2014 Runtime  (x64): Core,Multiple,3.1.0.25181,20160621,Intel Corporation,1033,C:\Program Files\Common Files\Intel\RSSDK\v3\,C:\Program Files (x86)\McAfee\Temp\qxz6641\,Intel® RealSense™ SDK 2014 Runtime  (x64): Core
2016-06-21 09:34:17.7884412,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\9B505D6E81A176F4B90E3DB715465D18,Intel(R) Biometric and Context Agent Redistributables,Multiple,2.0.87.0,20160621,Intel Corporation,1033,,C:\Program Files (x86)\McAfee\Temp\qxz6641\,
2016-06-21 08:51:04.0719360,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\A089CE062ADB6BC44A720BA745894BAC,Google Update Helper,Multiple,1.3.30.3,20160621,Google Inc.,1033,,C:\Program Files (x86)\Google\Update\1.3.30.3\,
2016-06-21 11:20:07.7318100,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\B7F87771A5BF39A479917DB5FA764389,Python 3.5.1 Launcher (32-bit),Multiple,3.5.150.0,20160621,Python Software Foundation,1033,,C:\ProgramData\Package Cache\{17778F7B-FB5A-4A93-9719-D75BAF673498}v3.5.150.0\,
2016-06-21 01:44:38.9495677,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\DA613907C161C5D4A97EB0A328D22A17,Google Drive,Multiple,1.30.2170.0459,20160620,"Google, Inc.",1033,,C:\Program Files (x86)\Google\Update\Install\{DE1A0D9D-2A74-44EE-85A5-5A942A82E4A1}\,
2016-06-21 11:38:43.8345083,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\F60730A4A66673047777F5728467D401,Java Auto Updater,Multiple,2.8.91.15,20160621,Oracle Corporation,1033,,C:\Users\Hunter\AppData\LocalLow\Oracle\Java\AU\,
