CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\SearchFilterHost.exe,AppCompatCache,2014-03-18 10:05:49.4778545
1,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\SearchProtocolHost.exe,AppCompatCache,2014-03-18 10:05:49.3528538
2,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\LogonUI.exe,AppCompatCache,2013-08-22 11:32:21.7094617
3,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files (x86)\Google\Chrome\Application\chrome.exe,AppCompatCache,2016-06-15 08:27:03.4042968
4,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\ThumbnailExtractionHost.exe,AppCompatCache,2013-08-22 11:01:57.0858492
5,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\svchost.exe,AppCompatCache,2013-08-22 12:45:17.9041279
6,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\rundll32.exe,AppCompatCache,2013-08-22 11:03:41.8766734
7,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dllhost.exe,AppCompatCache,2013-08-22 12:35:25.3750709
8,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files (x86)\TeamViewer\TeamViewer.exe,AppCompatCache,2016-05-12 08:54:55.6669205
9,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files (x86)\TeamViewer\tv_x64.exe,AppCompatCache,2016-05-12 07:51:01.0629070
10,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files (x86)\TeamViewer\tv_w32.exe,AppCompatCache,2016-05-12 07:51:00.2232008
11,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files (x86)\TeamViewer\TeamViewer_Service.exe,AppCompatCache,2016-05-12 08:54:56.3955327
12,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\schtasks.exe,AppCompatCache,2013-08-22 03:24:06.3671614
13,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\regsvr32.exe,AppCompatCache,2013-08-22 11:22:40.9220234
14,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\regsvr32.exe,AppCompatCache,2013-08-22 03:55:58.6328030
15,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Users\Hunter\AppData\Local\Temp\TeamViewer\TeamViewer_.exe,AppCompatCache,2016-05-12 09:00:56.0000000
16,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\consent.exe,AppCompatCache,2013-08-22 12:44:43.2113128
17,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Users\Hunter\Downloads\TeamViewer_Setup-vfa.exe,AppCompatCache,2016-06-21 00:52:33.6166481
18,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\SearchIndexer.exe,AppCompatCache,2014-03-18 10:05:49.5559780
19,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\RuntimeBroker.exe,AppCompatCache,2013-08-22 12:35:41.2492857
20,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\taskhost.exe,AppCompatCache,2014-03-18 10:05:00.4934785
