Timestamp,BatchKeyPath,DriveName,BatchValueName,VolumeLabel
2013-08-22 14:47:14.8685152,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows Search\VolumeInfoCache\C:,C:,Multiple,
2016-06-21 01:53:15.5696963,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows Search\VolumeInfoCache\E:,E:,Multiple,
2016-06-21 09:18:13.1273278,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\7-Zip,7-Zip,Multiple,7-Zip 16.02 (x64),16.02,Igor Pavlov,,,C:\Program Files\7-Zip\,C:\Program Files\7-Zip\Uninstall.exe
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2016-06-21 11:43:05.8556403,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\CCleaner,CCleaner,Multiple,CCleaner,5.19,Piriform,,,C:\Program Files\CCleaner,"""C:\Program Files\CCleaner\uninst.exe"""
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\DXM_Runtime,DXM_Runtime,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\IEData,IEData,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack,MobileOptionPack,Multiple,,,,,,,
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\MPlayer2,MPlayer2,Multiple,,,,,,,
2016-06-20 23:59:29.2178474,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\Office15.PROPLUS,Office15.PROPLUS,Multiple,Microsoft Office Professional Plus 2013,15.0.4569.1506,Microsoft Corporation,,,C:\Program Files\Microsoft Office,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE15\Office Setup Controller\setup.exe"" /uninstall PROPLUS /dll OSETUP.DLL"
2016-06-21 09:47:39.0089790,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\Oracle VM VirtualBox Guest Additions,Oracle VM VirtualBox Guest Additions,Multiple,Oracle VM VirtualBox Guest Additions 5.0.22,5.0.22.0,Oracle Corporation,,,,C:\Program Files\Oracle\VirtualBox Guest Additions\uninst.exe
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\SchedulingAgent,SchedulingAgent,Multiple,,,,,,,
2016-06-21 09:34:13.2657890,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\TrueKey,TrueKey,Multiple,Intel Security True Key,4.2.131.1,Intel Security,,,,C:\Program Files\TrueKey\Mcafee.TrueKey.Uninstaller.Exe
2016-06-21 09:23:09.5518527,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\USBPcap,USBPcap,Multiple,USBPcap 1.1.0.0-g794bf26-3,1.1.0.0-g794bf26-3,,,,,"""C:\Program Files\USBPcap\Uninstall.exe"""
2013-08-22 15:37:08.5313209,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\WIC,WIC,Multiple,,,,,,,
2016-06-21 11:22:31.2492187,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\Uninstall\{26A24AE4-039D-4CA4-87B4-2F86418091F0},{26A24AE4-039D-4CA4-87B4-2F86418091F0},Multiple,Java 8 Update 91 (64-bit),8.0.910.15,Oracle Corporation,20160621,C:\Users\Hunter\AppData\LocalLow\Oracle\Java\jre1.8.0_91_x64\,C:\Program Files\Java\jre1.8.0_91\,MsiExec.exe /X{26A24AE4-039D-4CA4-87B4-2F86418091F0}
