Timestamp,BatchKeyPath,FileName,BatchValueName,Path1,Path2
2013-08-22 15:37:08.4531959,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\pbrush.exe,pbrush.exe,Multiple,%SystemRoot%\System32\mspaint.exe,%SystemRoot%\System32
2016-06-20 23:59:34.1188654,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\powerpnt.exe,powerpnt.exe,Multiple,C:\PROGRA~1\MICROS~1\Office15\POWERPNT.EXE,C:\Program Files\Microsoft Office\Office15\
2013-08-22 15:37:08.4531959,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\PowerShell.exe,PowerShell.exe,Multiple,%SystemRoot%\system32\WindowsPowerShell\v1.0\PowerShell.exe,
2016-06-21 11:19:02.6052464,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\Python.exe,Python.exe,Multiple,C:\Python27\Python.exe,
2013-08-22 15:37:08.4531959,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\setup.exe,setup.exe,Multiple,,
2014-03-18 09:43:20.1975245,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\SnippingTool.exe,SnippingTool.exe,Multiple,%SystemRoot%\system32\SnippingTool.exe,
2013-08-22 15:37:08.4531959,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\table30.exe,table30.exe,Multiple,,
2014-03-18 09:43:20.1975245,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\TabTip.exe,TabTip.exe,Multiple,%CommonProgramFiles%\microsoft shared\ink\TabTip.exe,
2016-06-20 23:59:29.1653407,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\vstoee.dll,vstoee.dll,Multiple,,
2013-08-22 15:37:08.4531959,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\wab.exe,wab.exe,Multiple,%ProgramFiles%\Windows Mail\wab.exe,%ProgramFiles%\Windows Mail
2013-08-22 15:37:08.4531959,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\wabmig.exe,wabmig.exe,Multiple,%ProgramFiles%\Windows Mail\wabmig.exe,
2016-06-20 23:59:34.1414230,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\Winword.exe,Winword.exe,Multiple,C:\PROGRA~1\MICROS~1\Office15\WINWORD.EXE,C:\Program Files\Microsoft Office\Office15\
2016-06-21 09:22:49.7323453,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\Wireshark-gtk.exe,Wireshark-gtk.exe,Multiple,C:\Program Files\Wireshark\Wireshark-gtk.exe,C:\Program Files\Wireshark
2016-06-21 09:22:49.7333249,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\Wireshark.exe,Wireshark.exe,Multiple,C:\Program Files\Wireshark\Wireshark.exe,C:\Program Files\Wireshark
2013-08-22 15:37:08.4531959,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\wmplayer.exe,wmplayer.exe,Multiple,%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe,%ProgramFiles(x86)%\Windows Media Player
2013-08-22 15:37:08.4531959,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\WORDPAD.EXE,WORDPAD.EXE,Multiple,"""%ProgramFiles%\Windows NT\Accessories\WORDPAD.EXE""",
2013-08-22 15:37:08.4531959,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Microsoft\Windows\CurrentVersion\App Paths\WRITE.EXE,WRITE.EXE,Multiple,"""%ProgramFiles%\Windows NT\Accessories\WORDPAD.EXE""",
