Name,Extension,EntryNumber,SequenceNumber,ParentEntryNumber,ParentSequenceNumber,UpdateSequenceNumber,UpdateTimestamp,UpdateReasons,FileAttributes,OffsetToData,SourceFile
ServerManager.log,.log,11686,1,787,1,22284544,2015-09-03 06:52:51.9317773,DataExtend|Close,Archive,2304,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\$Extend\$J
ServerManager.log,.log,11686,1,787,1,22284640,2015-09-03 06:52:51.9317773,DataExtend,Archive,2400,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\$Extend\$J
ServerManager.log,.log,11686,1,787,1,22284736,2015-09-03 06:52:51.9317773,DataExtend|Close,Archive,2496,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\$Extend\$J
ServerManager.log,.log,11686,1,787,1,22284832,2015-09-03 06:52:51.9317773,DataExtend,Archive,2592,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\$Extend\$J
ServerManager.log,.log,11686,1,787,1,22284928,2015-09-03 06:52:51.9317773,DataExtend|Close,Archive,2688,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\$Extend\$J
ServerManager.log,.log,11686,1,787,1,22285024,2015-09-03 06:52:51.9317773,DataExtend,Archive,2784,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\$Extend\$J
ServerManager.log,.log,11686,1,787,1,22285120,2015-09-03 06:52:51.9317773,DataExtend|Close,Archive,2880,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\$Extend\$J
ServerManager.log,.log,11686,1,787,1,22285216,2015-09-03 06:52:51.9317773,DataExtend,Archive,2976,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\$Extend\$J
ServerManager.log,.log,11686,1,787,1,22285312,2015-09-03 06:52:51.9317773,DataExtend|Close,Archive,3072,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\$Extend\$J
ServerManager.log,.log,11686,1,787,1,22285408,2015-09-03 06:52:51.9317773,DataExtend,Archive,3168,M:\Forensics\TrainingImages\AliHadi\Challenge1\tout\M\Forensics\TrainingImages\AliHadi\Challenge1\s4a-challenge4\$Extend\$J
