Hash,Id,Offset,OwnerSid,GroupSid,Control,SaclAceCount,UniqueSaclAceTypes,DaclAceCount,UniqueDaclAceTypes,FileOffset,SourceFile
F9A2F49E,729,130608,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,2,AccessAllowed,392752,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\$Secure_$SDS
A25B671E,730,130720,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,392864,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\$Secure_$SDS
FC92C1E2,731,130864,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,2,AccessAllowed,393008,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\$Secure_$SDS
966F98DA,732,130976,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,393120,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\$Secure_$SDS
CC0E06DA,733,131120,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,393264,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\$Secure_$SDS
047FD1F9,734,131264,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,393408,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\$Secure_$SDS
21DDE287,735,131408,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,5,AccessAllowed,393552,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\$Secure_$SDS
AA569E2B,736,131632,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,4,AccessAllowed,393776,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\$Secure_$SDS
45FB5386,737,131808,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,4,AccessAllowed,393952,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\$Secure_$SDS
B4C3A2CE,738,132016,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclAutoInherited|SeSelfRelative,0,,3,AccessAllowed,394160,M:\Forensics\TrainingImages\AliHadi\Challenge3\tout\E\$Secure_$SDS
