ActivityId,Platform,PackageName,ExpirationTime,SourceFile
4B8AFF7D-A4FC-352E-C04F-ADA337EA18F7,host,,2020-10-19 01:09:58,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
ADBFE900-A86A-28DB-D5A8-496AF119549F,x_exe_path,e:\ftk imager\ftk imager.exe,2020-10-19 01:18:11,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
ADBFE900-A86A-28DB-D5A8-496AF119549F,packageid,e:\ftk imager\ftk imager.exe,2020-10-19 01:18:11,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
ADBFE900-A86A-28DB-D5A8-496AF119549F,host,,2020-10-19 01:18:11,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
FDF705FB-6C1D-A14C-24CB-990B7953C272,windows_win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\snippingtool.exe,2020-10-19 01:10:05,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
FDF705FB-6C1D-A14C-24CB-990B7953C272,windows_win32,{d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27}\snippingtool.exe,2020-10-19 01:10:05,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
FDF705FB-6C1D-A14C-24CB-990B7953C272,packageid,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\snippingtool.exe,2020-10-19 01:10:05,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
FDF705FB-6C1D-A14C-24CB-990B7953C272,host,,2020-10-19 01:10:05,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
4125644C-A55D-AD79-B009-C85C1B0422D6,x_exe_path,e:\ftk imager\ftk imager.exe,2020-10-19 01:13:06,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
4125644C-A55D-AD79-B009-C85C1B0422D6,packageid,e:\ftk imager\ftk imager.exe,2020-10-19 01:13:06,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
4125644C-A55D-AD79-B009-C85C1B0422D6,host,,2020-10-19 01:13:06,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
