JumpListName,BatchKeyPath,ExecutedOn,BatchValueName
{6D809377-6AF0-444B-8957-A3773F02200E}\Windows NT\Accessories\wordpad.exe,ROOT\Software\Microsoft\Windows\CurrentVersion\Search\JumplistData,2019-02-15 05:03:45.6662322,{6D809377-6AF0-444B-8957-A3773F02200E}\Windows NT\Accessories\wordpad.exe
Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,ROOT\Software\Microsoft\Windows\CurrentVersion\Search\JumplistData,2019-02-15 05:04:19.2134744,Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge
SimonTatham.PuTTY,ROOT\Software\Microsoft\Windows\CurrentVersion\Search\JumplistData,2019-02-15 05:34:12.9094598,SimonTatham.PuTTY
