Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
Sense,ROOT\ControlSet001\Services,"@%ProgramFiles%\Windows Defender Advanced Threat Protection\MsSense.exe,-1002",None,"@%ProgramFiles%\Windows Defender Advanced Threat Protection\MsSense.exe,-1001",Manual,Win32OwnProcess,2018-04-12 09:20:04.2816518,,,"""%ProgramFiles%\Windows Defender Advanced Threat Protection\MsSense.exe""",,SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeCreatePagefilePrivilege SeCreatePermanentPrivilege SeDebugPrivilege SeImpersonatePrivilege SeIncreaseBasePriorityPrivilege SeLoadDriverPrivilege SeLockMemoryPrivilege SeProfileSingleProcessPrivilege SeTcbPrivilege SeSecurityPrivilege SeRestorePrivilege SeAssignPrimaryTokenPrivilege SeIncreaseQuotaPrivilege SeBackupPrivilege
SensorDataService,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\SensorDataService.exe,-102",None,"@%SystemRoot%\system32\SensorDataService.exe,-101",Manual,Win32OwnProcess,2018-04-11 23:39:26.3188349,,,%SystemRoot%\System32\SensorDataService.exe,,
SensorService,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\sensorservice.dll,-1001",None,"@%SystemRoot%\System32\sensorservice.dll,-1000",Manual,Win32ShareProcess,2018-04-11 23:39:26.3188349,2018-04-11 23:38:44.5028756,,%SystemRoot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeChangeNotifyPrivilege SeImpersonatePrivilege
SensrSvc,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\sensrsvc.dll,-1001",None,"@%SystemRoot%\System32\sensrsvc.dll,-1000",Manual,Win32ShareProcess,2018-04-12 09:20:05.0580271,2018-04-12 09:20:04.2806726,,%SystemRoot%\system32\svchost.exe -k LocalServiceAndNoImpersonation -p,,SeChangeNotifyPrivilege
SerCx,ROOT\ControlSet001\Services,,None,Serial UART Support Library,Manual,KernelDriver,2018-04-11 23:38:44.5028756,,,system32\drivers\SerCx.sys,,
SerCx2,ROOT\ControlSet001\Services,,None,Serial UART Support Library,Manual,KernelDriver,2018-04-11 23:38:44.5028756,,,system32\drivers\SerCx2.sys,,
Serenum,ROOT\ControlSet001\Services,,None,"@msports.inf,%Serenum.SVCDESC%;Serenum Filter Driver",Manual,KernelDriver,2018-04-11 23:38:10.2187840,,PNP Filter,\SystemRoot\System32\drivers\serenum.sys,,
Serial,ROOT\ControlSet001\Services,,None,"@msports.inf,%Serial.SVCDESC%;Serial port driver",Manual,KernelDriver,2018-04-11 23:38:10.2187840,,Extended base,\SystemRoot\System32\drivers\serial.sys,,
sermouse,ROOT\ControlSet001\Services,,None,"@msmouse.inf,%sermouse.SvcDesc%;Serial Mouse Driver",Manual,KernelDriver,2018-04-11 23:38:15.3129550,,Pointer Port,\SystemRoot\System32\drivers\sermouse.sys,,
SessionEnv,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\SessEnv.dll,-1027",None,"@%SystemRoot%\System32\SessEnv.dll,-1026",Manual,Win32ShareProcess,2018-04-11 23:38:44.5028756,2018-04-11 23:38:44.5028756,,%SystemRoot%\System32\svchost.exe -k netsvcs -p,%SystemRoot%\system32\sessenv.dll,SeBackupPrivilege SeRestorePrivilege SeTakeOwnershipPrivilege SeImpersonatePrivilege SeTcbPrivilege SeAssignPrimaryTokenPrivilege SeManageVolumePrivilege SeCreateSymbolicLinkPrivilege
sfloppy,ROOT\ControlSet001\Services,,None,"@flpydisk.inf,%sfloppy_devdesc%;High-Capacity Floppy Disk Drive",Manual,KernelDriver,2018-04-11 23:38:08.4061370,,,\SystemRoot\System32\drivers\sfloppy.sys,,
SgrmAgent,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\Drivers\SgrmAgent.sys,-1002",None,"@%SystemRoot%\System32\Drivers\SgrmAgent.sys,-1001",Boot,KernelDriver,2018-04-11 23:38:44.5028756,,Filter,system32\drivers\SgrmAgent.sys,,
