Timestamp,BatchKeyPath,DriveName,BatchValueName,VolumeLabel
2018-04-25 20:00:42.2418421,ROOT\Microsoft\Windows Search\VolumeInfoCache\C:,C:,Multiple,
2018-04-11 23:40:35.8870929,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2018-04-11 23:40:35.8870929,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2018-04-11 23:40:35.8870929,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2018-04-12 09:16:13.2621931,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\DXM_Runtime,DXM_Runtime,Multiple,,,,,,,
2018-04-11 23:40:35.8870929,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2018-04-11 23:40:35.8870929,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2018-04-11 23:40:35.8870929,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2018-04-11 23:40:35.8870929,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
2018-04-11 23:40:35.8870929,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IEData,IEData,Multiple,,,,,,,
2018-04-11 23:40:35.8870929,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack,MobileOptionPack,Multiple,,,,,,,
2018-04-12 09:16:13.2621931,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\MPlayer2,MPlayer2,Multiple,,,,,,,
2018-04-25 20:06:41.4186691,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\OpenSSH,OpenSSH,Multiple,OpenSSH for Windows 6.7p1-2 (remove only),,Mark Saeger/Original Author: Michael Johnson,,,,"""C:\Program Files\OpenSSH\uninstall.exe"""
2018-04-11 23:40:35.8870929,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\SchedulingAgent,SchedulingAgent,Multiple,,,,,,,
2018-04-11 23:40:35.8870929,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\WIC,WIC,Multiple,,,,,,,
2019-02-15 03:48:10.8345209,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{43D9111A-EA02-4682-BF3C-EFDCB62A89B0},{43D9111A-EA02-4682-BF3C-EFDCB62A89B0},Multiple,VMware Tools,10.2.5.8068393,"VMware, Inc.",20190214,C:\Program Files\Common Files\VMware\InstallerCache\,C:\Program Files\VMware\VMware Tools\,MsiExec.exe /I{43D9111A-EA02-4682-BF3C-EFDCB62A89B0}
2018-04-25 20:07:48.0111801,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4},{5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4},Multiple,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161,9.0.30729.6161,Microsoft Corporation,20180425,c:\c0a7b417abb8defb8d\,,MsiExec.exe /X{5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4}
2018-04-25 20:03:49.2501537,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00},{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00},Multiple,Microsoft Silverlight,5.1.50907.0,Microsoft Corporation,20180425,c:\98d66f6b8da3a254fd\,c:\Program Files\Microsoft Silverlight\,MsiExec.exe /X{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00}
2018-04-25 20:05:49.6515745,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{C132DF61-207E-4C59-90B8-1DA9E2E1A754},{C132DF61-207E-4C59-90B8-1DA9E2E1A754},Multiple,Puppet (64-bit),3.8.7,Puppet Labs,20180425,C:\Users\IEUser\AppData\Local\Temp\chocolatey\puppet\3.8.7\,C:\Program Files\Puppet Labs\Puppet\,MsiExec.exe /X{C132DF61-207E-4C59-90B8-1DA9E2E1A754}
2018-04-11 23:40:34.9026363,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2018-04-11 23:40:34.9026363,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2018-04-11 23:40:34.9026363,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2018-04-12 09:16:13.1850087,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\DXM_Runtime,DXM_Runtime,Multiple,,,,,,,
2018-04-11 23:40:34.9026363,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2018-04-11 23:40:34.9026363,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2018-04-11 23:40:34.9026363,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2018-04-11 23:40:34.9026363,ROOT\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
