Id,Payload,LastModifiedTime,ExpirationTime,CreatedInCloud,StartTime,EndTime,LastModifiedOnClient,OriginalLastModifiedOnClient,ActivityType,IsLocalOnly,ETag,PackageIdHash,PlatformDeviceId,SourceFile
FA1C8522-94B1-95BA-4F3D-996D52081C85,0x7B22646973706C617954657874223A22436F6D6D616E642050726F6D7074222C2261637469766174696F6E557269223A226D732D7368656C6C61637469766974793A222C22617070446973706C61794E616D65223A22436F6D6D616E642050726F6D7074222C226261636B67726F756E64436F6C6F72223A22626C61636B227D,2019-02-14 23:54:40,2019-03-17 00:54:40,1969-12-31 19:00:00,2019-02-14 23:54:40,1969-12-31 19:00:00,2019-02-14 23:54:40,,5,0,1,x+qOqClmiI+hV7y3O4KqoT3DKoqW35eajHOKyjlQNFw=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
910631B8-9A8D-7B3A-E75A-BFFFF7D97983,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A322C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-14 23:54:42,2019-03-17 00:54:42,1969-12-31 19:00:00,2019-02-14 23:54:40,2019-02-14 23:54:42,2019-02-14 23:54:42,,6,0,2,x+qOqClmiI+hV7y3O4KqoT3DKoqW35eajHOKyjlQNFw=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
E865ABEA-E740-55BA-BA61-A82CD7E08BD7,0x7B22646973706C617954657874223A22766D746F6F6C73642E657865222C2261637469766174696F6E557269223A226D732D7368656C6C61637469766974793A222C22617070446973706C61794E616D65223A22766D746F6F6C73642E657865222C226261636B67726F756E64436F6C6F72223A22626C61636B227D,2019-02-14 23:54:50,2019-03-17 00:54:50,1969-12-31 19:00:00,2019-02-14 23:54:50,1969-12-31 19:00:00,2019-02-14 23:54:50,,5,0,5,IIbpuH0LvG9XxMGzr/ECoBXwSoJG6U4QY2IjlVKVvlA=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
25C651F5-D1F2-A555-ED36-FA3DC9CE43CD,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A322C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-14 23:54:52,2019-03-17 00:54:52,1969-12-31 19:00:00,2019-02-14 23:54:50,2019-02-14 23:54:52,2019-02-14 23:54:52,,6,0,6,IIbpuH0LvG9XxMGzr/ECoBXwSoJG6U4QY2IjlVKVvlA=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
EFED4375-E701-E844-AFFE-DB3A06A1FBB3,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A3333352C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-14 23:57:34,2019-03-17 00:57:34,1969-12-31 19:00:00,2019-02-14 23:55:13,2019-02-15 00:06:08,2019-02-15 00:06:08,,6,0,115,x+qOqClmiI+hV7y3O4KqoT3DKoqW35eajHOKyjlQNFw=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
C036A41B-729A-55A7-66B7-5DC56C410098,0x7B22646973706C617954657874223A2246696C65204578706C6F726572222C2261637469766174696F6E557269223A226D732D7368656C6C61637469766974793A222C22617070446973706C61794E616D65223A2246696C65204578706C6F726572222C226261636B67726F756E64436F6C6F72223A22626C61636B227D,2019-02-15 00:01:24,2019-03-17 01:01:24,1969-12-31 19:00:00,2019-02-15 00:01:24,1969-12-31 19:00:00,2019-02-15 00:01:24,,5,0,21,WmO7oHZWxTMPjRbqWJP0nj4HxdaDGuIwqMujnC6Nb0Q=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
5FE57E82-F804-07C7-D2F5-FC6DEE836A29,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A3132382C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-15 00:01:53,2019-03-17 01:01:53,1969-12-31 19:00:00,2019-02-15 00:01:24,2019-02-15 00:05:45,2019-02-15 00:05:45,,6,0,112,WmO7oHZWxTMPjRbqWJP0nj4HxdaDGuIwqMujnC6Nb0Q=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
632E6C71-2A48-1B61-CD26-9776BF62644F,0x7B22646973706C617954657874223A2250686F746F73222C2261637469766174696F6E557269223A226D732D7368656C6C61637469766974793A222C22617070446973706C61794E616D65223A2250686F746F73222C226261636B67726F756E64436F6C6F72223A22626C61636B227D,2019-02-15 00:01:53,2019-03-17 01:01:53,1969-12-31 19:00:00,2019-02-15 00:01:53,1969-12-31 19:00:00,2019-02-15 00:01:53,,5,0,25,FrXzMC0j6ELxKHkr0HhwVdkMmCgmFku9xV/tsrZ9ejk=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
45079376-D593-4FEB-035A-832E44985E12,0x7B22646973706C617954657874223A22686168612E706E67222C2261637469766174696F6E557269223A226D732D7368656C6C61637469766974793A222C22617070446973706C61794E616D65223A2250686F746F73222C226465736372697074696F6E223A22433A5C5C55736572735C5C4A6F6B65725C5C686168612E706E67222C226261636B67726F756E64436F6C6F72223A22626C61636B222C22636F6E74656E74557269223A2266696C653A25374230373632443237322D433530412D344242302D413338322D3639374443443732394238302537442F4A6F6B65722F686168612E706E67222C227368656C6C436F6E74656E744465736372697074696F6E223A7B2246696C655368656C6C4C696E6B223A224D424141414541464341414141414141414441414141414141593067414141416741414141676E6258713136455464415A306D4D62744F78554841657564705772544D314251434341414141414141414241414141414141414141414141414141414141416B61415541774851422B5451446936366B474569694E434173434D77305A4741387951367746414141414141414141414141414141414141414141414141413442514D41414141414177544F56734A524151567A566D637A42415A416B4141454177372B754954526936544F56734A7541414141736442414141414145414141414141414141414141674F4141414141414135487049415642776341554741794277634141414141427763416747416C424162417747417A41674D413443416B424162417747417341514C414944417841414F414544417A414141415142415142514D41414141414177544F6C424B514167537674575A79424150416B4141454177372B2B6B54466279544F6C424B754141414177316342414141415141414141414141414141414141414141414141417735457A41414B427762417347416C4267634141414155416773414944416B67414141386B544C674349416757596F466D4C7735325A41416751416B4141454177372B2B6B544C6779544F74414B75414141414D776542414141414D41414141414141414141414141414141414141414169494344416F425159416747416842674C414148417542775A414141415941415741414141614177372B4B414142424163414148415942414E414D44416F4267624167484130426759416B484135424163414D48413241674D416F47416F42515A416B44417A425163414148416B426765416748417542514D416344413541414D416F48416C424164414D474141414147416742414141675241414141634141414145414141414148414141417441414141414141414151524141414152414141414D4141414177326F594E615141414141417751367756567A566D637A786C537674575A797846616868575975416E626E424141514141414155414141414B4B414141413144414141774241414177434141416F50574962654A694467646B6D2B722B4D585962637A565041414141594141414144414141676946414141414141414141744E585A6B64575A336C6D627841444141414141416732577777714D795A3651707163574C5352346145704F6432714764445436527334514177514B38575A496F74464D734B6A636D4F55714B6E3169554575475271546E74715233776B65454C4F45414D6B437656476979414141414A414141675749414141514D544231556972495747784C54344D30753850786B6D675A624F6E47414141414241414141413842414141414C414141415442514C414544417441514E413043417941514D413043413141514F416344413341414D414544417741514E416344417441674D416B44413041514E414144413341514D416744413241514C415144413541774D414544413041674D414D44417941414E413043417841414D4141444130414141414141414141514F41414141784D465554467246745255724E4348536E6945517551615034785948414141416F42414141414153414141416B7073636F6A37516F496B69522F574B4C7A4D6B594141414141414141414141414141414141227D7D,2019-02-15 00:01:53,2019-03-17 01:01:53,1969-12-31 19:00:00,2019-02-15 00:01:53,1969-12-31 19:00:00,2019-02-15 00:01:53,,5,0,26,FrXzMC0j6ELxKHkr0HhwVdkMmCgmFku9xV/tsrZ9ejk=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
2E94E9BC-4AB3-0689-21CD-1D27398DC0E1,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A362C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-15 00:01:53,2019-03-17 01:01:53,1969-12-31 19:00:00,2019-02-15 00:01:53,2019-02-15 00:02:02,2019-02-15 00:02:02,,6,0,33,FrXzMC0j6ELxKHkr0HhwVdkMmCgmFku9xV/tsrZ9ejk=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\Joker\AppData\Local\ConnectedDevicesPlatform\L.Joker\ActivitiesCache.db
