KeyName,KeyLastWriteTimestamp,BusReportedDescription,Class,ClassGuid,Compid,ContainerId,Description,DriverId,DriverPackageStrongName,DriverName,DriverVerDate,DriverVerVersion,Enumerator,HWID,Inf,InstallState,Manufacturer,MatchingId,Model,ParentId,ProblemCode,Provider,Service,Stackid
acpi/acpi0003/1,2019-02-15 13:49:30,,battery,{72631e54-78a4-11d0-bcf7-00aa00b7b32a},,{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft AC Adapter,000046565c6143522d38b32c865c71284ddc269ad7ab,cmbatt.inf_amd64_7c0d56fef076def6,cmbatt.sys,06-21-2006,10.0.17134.1,acpi,"acpi\ven_acpi&dev_0003,acpi\acpi0003,*acpi0003",cmbatt.inf,0,Microsoft,acpi\acpi0003,Microsoft AC Adapter,acpi_hal\pnp0c08\0,0,Microsoft,cmbatt,"\driver\cmbatt,\driver\acpi"
acpi/fixedbutton/2&daba3ff&0,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},ACPI Fixed Feature Button,,machine.inf_amd64_2b4d5289c1a24d24,,06-21-2006,10.0.17134.1,acpi,"acpi\fixedbutton,*fixedbutton",machine.inf,0,(Standard system devices),acpi\fixedbutton,ACPI Fixed Feature Button,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/genuineintel_-_intel64_family_6_model_158_-_intel(r)_core(tm)_i7-8700_cpu_@_3.20ghz/_0,2019-02-15 13:49:30,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,000064602830831a24569fefcdf2354882397ac62ffa,cpu.inf_amd64_c4c6f3903edeee4c,intelppm.sys,04-21-2009,10.0.17134.1,acpi,"acpi\genuineintel_-_intel64_family_6_model_158,*genuineintel_-_intel64_family_6_model_158,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/genuineintel_-_intel64_family_6_model_158_-_intel(r)_core(tm)_i7-8700_cpu_@_3.20ghz/_1,2019-02-15 13:49:30,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,000064602830831a24569fefcdf2354882397ac62ffa,cpu.inf_amd64_c4c6f3903edeee4c,intelppm.sys,04-21-2009,10.0.17134.1,acpi,"acpi\genuineintel_-_intel64_family_6_model_158,*genuineintel_-_intel64_family_6_model_158,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/pnp0001/4&1bd7f811&0,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},EISA programmable interrupt controller,,machine.inf_amd64_2b4d5289c1a24d24,,06-21-2006,10.0.17134.1,acpi,"acpi\ven_pnp&dev_0001,acpi\pnp0001,*pnp0001",machine.inf,0,(Standard system devices),*pnp0001,EISA programmable interrupt controller,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0100/4&1bd7f811&0,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},System timer,,machine.inf_amd64_2b4d5289c1a24d24,,06-21-2006,10.0.17134.1,acpi,"acpi\ven_pnp&dev_0100,acpi\pnp0100,*pnp0100",machine.inf,0,(Standard system devices),*pnp0100,System timer,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0200/4&1bd7f811&0,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Direct memory access controller,,machine.inf_amd64_2b4d5289c1a24d24,,06-21-2006,10.0.17134.1,acpi,"acpi\ven_pnp&dev_0200,acpi\pnp0200,*pnp0200",machine.inf,0,(Standard system devices),*pnp0200,Direct memory access controller,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0303/4&1bd7f811&0,2019-02-15 13:49:30,,keyboard,{4d36e96b-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Standard PS/2 Keyboard,000027cb5cd38cabf0d12796a34f1cc8539bdd7bb099,keyboard.inf_amd64_e085085e52ff47cf,i8042prt.sys,06-21-2006,10.0.17134.1,acpi,"acpi\ven_pnp&dev_0303,acpi\pnp0303,*pnp0303",keyboard.inf,0,(Standard keyboards),*pnp0303,Standard PS/2 Keyboard,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,i8042prt,"\driver\kbdclass,\driver\i8042prt,\driver\acpi"
acpi/pnp0800/4&1bd7f811&0,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},System speaker,,machine.inf_amd64_2b4d5289c1a24d24,,06-21-2006,10.0.17134.1,acpi,"acpi\ven_pnp&dev_0800,acpi\pnp0800,*pnp0800",machine.inf,0,(Standard system devices),*pnp0800,System speaker,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0a03/2&daba3ff&0,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},*pnp0a08,{27db0821-3bf9-f71a-f96f-a53403857690},PCI Bus,0000e46c1df4e6eb7cb9129859aa7d3369329787c565,pci.inf_amd64_3d831785e07f2e3b,pci.sys,06-21-2006,10.0.17134.1,acpi,"acpi\ven_pnp&dev_0a03,acpi\pnp0a03,*pnp0a03",pci.inf,0,(Standard system devices),*pnp0a03,PCI Bus,acpi_hal\pnp0c08\0,0,Microsoft,pci,"\driver\pci,\driver\acpi"
acpi/pnp0a05/4&1bd7f811&0,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_2b4d5289c1a24d24,,06-21-2006,10.0.17134.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0b00/4&1bd7f811&0,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},System CMOS/real time clock,,machine.inf_amd64_2b4d5289c1a24d24,,06-21-2006,10.0.17134.1,acpi,"acpi\ven_pnp&dev_0b00,acpi\pnp0b00,*pnp0b00",machine.inf,0,(Standard system devices),*pnp0b00,System CMOS/real time clock,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0c02/1f,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Motherboard resources,,machine.inf_amd64_2b4d5289c1a24d24,,06-21-2006,10.0.17134.1,acpi,"acpi\ven_pnp&dev_0c02,acpi\pnp0c02,*pnp0c02",machine.inf,0,(Standard system devices),*pnp0c02,Motherboard resources,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0c02/4,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Motherboard resources,,machine.inf_amd64_2b4d5289c1a24d24,,06-21-2006,10.0.17134.1,acpi,"acpi\ven_pnp&dev_0c02,acpi\pnp0c02,*pnp0c02",machine.inf,0,(Standard system devices),*pnp0c02,Motherboard resources,acpi\pnp0a03\2&daba3ff&0,0,Microsoft,,\driver\acpi
acpi/vmw0001/7,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},"acpi\vm_gen_counter,vm_gen_counter,*pnp0c02",{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft Hyper-V Generation Counter,0000cd6a8512a39640c9a1c15a572ebf8e9445258b8f,wgencounter.inf_amd64_db5d9ec8ca989e5c,vmgencounter.sys,06-21-2006,10.0.17134.1,acpi,"acpi\ven_vmw&dev_0001,acpi\vmw0001,*vmw0001",wgencounter.inf,0,Microsoft,vm_gen_counter,Microsoft Hyper-V Generation Counter,acpi\pnp0a03\2&daba3ff&0,0,Microsoft,gencounter,"\driver\gencounter,\driver\acpi"
acpi/vmw0003/4&1bd7f811&0,2019-02-15 13:49:30,,mouse,{4d36e96f-e325-11ce-bfc1-08002be10318},*pnp0f13,{27db0821-3bf9-f71a-f96f-a53403857690},VMware Pointing Device,000027cb5cd38cabf0d12796a34f1cc8539bdd7bb099,vmmouse.inf_amd64_31990a165ac530d5,i8042prt.sys,12-18-2015,12.5.7.0,acpi,"acpi\ven_vmw&dev_0003,acpi\vmw0003,*vmw0003",oem9.inf,0,"VMware, Inc.",*vmw0003,VMware Pointing Device,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,"VMware, Inc.",i8042prt,"\driver\mouclass,\driver\vmmouse,\driver\i8042prt,\driver\acpi"
acpi_hal/pnp0c08/0,2019-02-15 13:49:30,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft ACPI-Compliant System,000033fb5df976c9cefee5ab7fdb935bcb79c51dbf51,acpi.inf_amd64_099570ab7666bf0e,acpi.sys,06-21-2006,10.0.17134.1,acpi_hal,"acpi_hal\pnp0c08,*pnp0c08",acpi.inf,0,Microsoft,*pnp0c08,Microsoft ACPI-Compliant System,root\acpi_hal\0000,0,Microsoft,acpi,"\driver\acpi,\driver\acpi_hal"
display/default_monitor/4&427137e&0&uid0,2019-02-15 13:49:30,Generic Monitor,monitor,{4d36e96e-e325-11ce-bfc1-08002be10318},*pnp09ff,{33f74aa6-3200-a595-2468-4bd61579632d},Generic Non-PnP Monitor,00005419458f99e067c3e1e2dd345613631024aa1261,monitor.inf_amd64_b07b493dbde1dc8a,monitor.sys,06-21-2006,10.0.17134.1,display,monitor\default_monitor,monitor.inf,0,(Standard monitor types),monitor\default_monitor,Generic Non-PnP Monitor,pci\ven_15ad&dev_0405&subsys_040515ad&rev_00\3&61aaa01&0&78,0,Microsoft,monitor,"\driver\monitor,\driver\vm3dmp_loader"
hid/vid_0e0f&pid_0003&mi_00/8&367bfb7c&0&0000,2019-02-15 13:49:30,,mouse,{4d36e96f-e325-11ce-bfc1-08002be10318},,{2792b7df-80d9-dbec-34fe-019117d2e093},VMware USB Pointing Device,000013cc3bf5407c9b658a86b2670fd700de3a4bdf12,vmusbmouse.inf_amd64_b47444d422028d98,mouhid.sys,12-18-2015,12.5.7.0,hid,"hid\vid_0e0f&pid_0003&rev_0102&mi_00,hid\vid_0e0f&pid_0003&mi_00,hid\vid_0e0f&up:0001_u:0002,hid_device_system_mouse,hid_device_up:0001_u:0002,hid_device",oem8.inf,0,"VMware, Inc.",hid\vid_0e0f&pid_0003&mi_00,VMware USB Pointing Device,usb\vid_0e0f&pid_0003&mi_00\7&3ae26960&0&0000,0,"VMware, Inc.",mouhid,"\driver\mouclass,\driver\vmusbmouse,\driver\mouhid,\driver\hidusb"
