ProgramId,KeyLastWriteTimestamp,Name,Version,Publisher,InstallDate,OSVersionAtInstallTime,BundleManifestPath,HiddenArp,InboxModernApp,Language,ManifestPath,MsiPackageCode,MsiProductCode,PackageFullName,ProgramInstanceId,RegistryKeyPath,RootDirPath,Type,Source,StoreAppType,UninstallString,InstallDateArpLastModified,InstallDateMsi,InstallDateFromLinkFile,Manufacturer
0000350adfc0a6ad0ec4e9622e095bfffb8100000904,2018-04-06 07:23:11,Microsoft.Windows.ContentDeliveryManager,10.0.16299.15,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\AppXManifest.xml,,,Microsoft.Windows.ContentDeliveryManager_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,Application,AppxPackage,,,,,,
00003ad0073d37d623885973aafcd96740ef00000904,2018-04-06 07:23:11,Microsoft.WindowsMaps,5.1711.10477.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.WindowsMaps_2018.216.2133.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.WindowsMaps_5.1711.10477.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.WindowsMaps_5.1711.10477.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.WindowsMaps_5.1711.10477.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
00003bbec1c1bb568a1f08fe4e79768aa1d100000904,2018-04-06 07:23:11,Windows.PrintDialog,6.2.0.0,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\PrintDialog\AppXManifest.xml,,,Windows.PrintDialog_6.2.0.0_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\PrintDialog,Application,AppxPackage,,,,,,
000040c2d13cb2c05dcea8b72a62d5dc964200000904,2018-04-06 07:23:12,Microsoft.Wallet,2.2.18065.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.Wallet_2.2.18065.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,False,1033,C:\Program Files\WindowsApps\Microsoft.Wallet_2.2.18065.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.Wallet_2.2.18065.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.Wallet_2.2.18065.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
000041e82366025fbe2f363feadb9f14fb2800000904,2018-04-06 07:23:11,Microsoft.Windows.PeopleExperienceHost,10.0.16299.15,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy\AppXManifest.xml,,,Microsoft.Windows.PeopleExperienceHost_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy,Application,AppxPackage,,,,,,
0000468e0bc089969b1b44528ac4c87f326600000008,2018-04-06 07:23:13,NVIDIA Install Application,2.1002.236.2037,NVIDIA Corporation,2018-03-27 00:00:00,10.0.0.16299,,True,False,2048,,,{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}_installer,C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore,Application,Msi,,,,,,
00004ae617db21a798720108b7862a44d30e00000904,2018-04-06 07:23:11,Microsoft.Xbox.TCUI,1.11.29001.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.Xbox.TCUI_1.11.29001.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.Xbox.TCUI_1.11.29001.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.Xbox.TCUI_1.11.29001.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.Xbox.TCUI_1.11.29001.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
00004fb3b881f9671b1493e103473c5f3f6e00000904,2018-04-06 07:23:12,Microsoft.WindowsFeedbackHub,1.1712.811.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_2018.323.50.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,False,1033,C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.1712.811.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.WindowsFeedbackHub_1.1712.811.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.1712.811.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
000053edacfc26d81f9d0e9aa4cc3ade85e000000904,2018-04-06 07:23:10,F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE,10.0.16299.15,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\Microsoft.Windows.AddSuggestedFoldersToLibraryDialog_cw5n1h2txyewy\AppXManifest.xml,,,F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\Microsoft.Windows.AddSuggestedFoldersToLibraryDialog_cw5n1h2txyewy,Application,AppxPackage,,,,,,
0000598cb42e7af4604b386c9397c37990fd00000904,2018-04-06 07:23:12,Microsoft.Print3D,2.0.10611.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.Print3D_2.0.10611.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.Print3D_2.0.10611.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.Print3D_2.0.10611.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.Print3D_2.0.10611.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
