LnkName,BatchKeyPath,Executable,BatchValueName,PinType
Applications,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(unknown),Favorites,(unknown)
Microsoft Edge,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,Favorites,UserPinned
User Pinned,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(unknown),Favorites,(unknown)
TaskBar,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(Directory),Favorites,(Directory)
File Explorer.lnk,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,Microsoft.Windows.Explorer,Favorites,SystemPinned
Applications,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(unknown),Favorites,(unknown)
Microsoft Store,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,Microsoft.WindowsStore_8wekyb3d8bbwe!App,Favorites,SystemPinned
User Pinned,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(unknown),Favorites,(unknown)
TaskBar,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(Directory),Favorites,(Directory)
"SSH, Telnet and Rlogin client.lnk",ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,SimonTatham.PuTTY,Favorites,UserPinned
Applications,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\Taskband,(unknown),Favorites,(unknown)
