CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
39,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\disksnapshot.exe,AppCompatCache,2018-04-11 23:34:24.5394465
40,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\defrag.exe,AppCompatCache,2018-04-11 23:34:23.5237391
41,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\speech_onecore\common\SpeechModelDownload.exe,AppCompatCache,2018-04-11 23:34:15.5210208
42,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\ipconfig.exe,AppCompatCache,2018-04-11 23:34:14.0677725
43,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\VMwareResolutionSet.exe,AppCompatCache,2018-03-22 11:00:26.0000000
44,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\TEMP\830AE796-AFF3-4157-AFDC-A23696556FF8\dismhost.exe,AppCompatCache,2018-04-11 21:04:35.2537985
45,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\wuapihost.exe,AppCompatCache,2018-04-11 23:34:10.6299907
46,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe,AppCompatCache,2018-04-25 20:02:28.4849761
47,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\wsqmcons.exe,AppCompatCache,2018-04-11 23:34:37.6978777
48,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\sc.exe,AppCompatCache,2018-04-11 23:34:12.4738923
49,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\usoclient.exe,AppCompatCache,2018-04-11 23:34:17.0680217
50,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Application,AppCompatCache,2018-04-25 19:59:18.2459774
51,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\SgrmBroker.exe,AppCompatCache,2018-04-11 23:34:04.5201098
52,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\AppHostRegistrationVerifier.exe,AppCompatCache,2018-04-11 23:34:06.3015057
53,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\TPAutoConnect.exe,AppCompatCache,2017-11-30 09:01:46.0000000
54,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\TEMP\08FA3159-BEA1-4954-BD0A-0F76BAF09B15\dismhost.exe,AppCompatCache,2018-04-11 21:04:35.2537985
55,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,AppCompatCache,2018-04-11 23:35:23.7951619
56,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,AppCompatCache,2018-04-11 23:35:16.9040168
57,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe,AppCompatCache,2018-04-11 23:35:24.9983849
58,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\TEMP\vmware-SYSTEM\00003409\setup64.exe,AppCompatCache,2019-02-15 03:47:13.3503677
59,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\TEMP\vmware-SYSTEM\00003409\setup.exe,AppCompatCache,2019-02-15 03:47:11.6470957
60,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe,AppCompatCache,2018-04-11 23:35:19.7479800
61,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe,AppCompatCache,2018-04-11 23:35:24.7796164
62,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\NGenTask.exe,AppCompatCache,2018-04-11 23:35:18.1697369
63,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\vssvc.exe,AppCompatCache,2018-04-11 23:34:40.4168495
64,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\Sysprep\sysprep.exe,AppCompatCache,2018-04-11 23:34:36.3696395
65,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\TEMP\vmware-SYSTEM\VMwareToolsUpgrader.exe,AppCompatCache,2018-03-22 07:11:19.0000000
66,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\sppsvc.exe,AppCompatCache,2018-04-11 23:34:36.4477708
67,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\wlrmdr.exe,AppCompatCache,2018-04-11 23:34:40.5887388
68,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\tasklist.exe,AppCompatCache,2018-04-11 23:34:40.5262338
69,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Temp\sdelete.exe,AppCompatCache,2018-01-07 19:49:28.0000000
70,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\sihclient.exe,AppCompatCache,2018-04-11 23:34:41.4169343
71,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,AppCompatCache,2018-04-11 23:34:40.4481024
72,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\wbem\WmiApSrv.exe,AppCompatCache,2018-04-11 23:34:40.4481024
73,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Temp\ultradefrag-portable-6.1.0.i386\udefrag.exe,AppCompatCache,2015-04-19 12:57:54.5781250
74,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\OpenSSH\bin\rm.exe,AppCompatCache,2015-01-14 02:34:10.0000000
75,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\msdtc.exe,AppCompatCache,2018-04-11 23:34:20.8360140
76,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Common Files\VMware\Drivers\vss\comreg.exe,AppCompatCache,2018-03-22 11:03:58.0000000
77,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe,AppCompatCache,2018-03-22 11:00:28.0000000
78,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\guestproxycerttool.exe,AppCompatCache,2018-03-22 11:00:36.0000000
79,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\syswow64\WOWReg32.exe,AppCompatCache,2018-04-11 23:34:58.4026328
80,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\RemoteCommandProvider.exe,AppCompatCache,2017-11-30 09:34:22.0000000
81,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\InstallProvider.exe,AppCompatCache,2017-11-30 09:34:22.0000000
82,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\ConfigProvider.exe,AppCompatCache,2017-11-30 09:34:22.0000000
83,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\TestInfraProvider.exe,AppCompatCache,2017-11-30 09:34:22.0000000
84,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\ManagementAgentHost.exe,AppCompatCache,2017-11-30 09:23:34.0000000
85,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe,AppCompatCache,2018-03-22 10:39:28.0000000
86,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\vmacthlp.exe,AppCompatCache,2018-03-22 10:56:30.0000000
87,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\TPVCGateway.exe,AppCompatCache,2018-03-22 10:04:38.0000000
88,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\VMware\VMware Tools\TPAutoConnSvc.exe,AppCompatCache,2018-03-22 10:04:42.0000000
89,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\printui.exe,AppCompatCache,2018-04-11 23:34:33.7277053
