ProgramName,ProgramID,VolumeID,VolumeIDLastWriteTimestamp,FileID,FileIDLastWriteTimestamp,SHA1,FullPath,FileExtension,MFTEntryNumber,MFTSequenceNumber,FileSize,FileVersionString,FileVersionNumber,FileDescription,SizeOfImage,PEHeaderHash,PEHeaderChecksum,BinProductVersion,BinFileVersion,LinkerVersion,BinaryType,IsLocal,GuessProgramID,Created,LastModified,LastModifiedStore,LinkDate,LanguageID,ProductName,CompanyName,SwitchBackContext
Unassociated,0003642c38f85d3a219c61e891ddbc809d9a0000ffff,a7f6108c-f8fd-11ea-80b5-806e6f6e6963,2020-09-18 22:37:33.3772111,100001514e,2020-09-18 22:37:33.2525960,0d564796c79e87ccb49af7b8b0a9369363ff2c8c,C:\Program Files\Common Files\VMware\Drivers\vss\comreg.exe,.exe,86350,1,,,,,,,,0,0,0,0,1,0,,,2020-03-30 22:49:38.0158424,,,,,
Unassociated,0003c718d3349af13e75429d9874da2522f70000ffff,a7f6108c-f8fd-11ea-80b5-806e6f6e6963,2020-09-18 22:37:33.3772111,20000152bf,2020-09-18 22:37:33.2056598,f0032dfb7e5d67dd10568e61787a4a3032ff55f5,C:\Windows\System32\vm3dservice.exe,.exe,86719,2,,,,,,,,0,0,0,0,1,0,,,2020-03-30 22:49:51.9488528,,,,,
