Extension,BatchKeyPath,ValueName,BatchValueName,MruPosition,AbsolutePath,OpenedOn,Details
*,CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*,0,0,0,My Computer\C:\xampp\htdocs\DVWA\c99.php,2015-09-03 07:20:37.3692773,"Type: Root folder: GUID, Value: My Computer


Type: Drive letter, Value: C:


Type: Directory, Value: xampp

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: xampp
Created: 8/23/2015 21:41:48 +00:00
Last access: 8/23/2015 21:44:20 +00:00
MFT entry/sequence #: 42729/2 (0xA6E9/0x2)
File system hint: NTFS

--------------------------------------------------
Short name: xampp
Modified: 8/23/2015 21:44:20 +00:00


Type: Directory, Value: htdocs

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: htdocs
Created: 8/23/2015 21:41:48 +00:00
Last access: 9/3/2015 06:59:40 +00:00
MFT entry/sequence #: 42732/2 (0xA6EC/0x2)
File system hint: NTFS

--------------------------------------------------
Short name: htdocs
Modified: 9/3/2015 06:59:40 +00:00


Type: Directory, Value: DVWA

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: DVWA
Created: 8/23/2015 21:52:16 +00:00
Last access: 9/3/2015 07:14:58 +00:00
MFT entry/sequence #: 12859/4 (0x323B/0x4)
File system hint: NTFS

--------------------------------------------------
Short name: DVWA
Modified: 9/3/2015 07:14:58 +00:00


Short name: c99.php

File size: 153,275
Modified On: 6/9/2012 21:57:28.000  +00:00

Type: File, Value: c99.php

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: c99.php
Created: 6/9/2012 21:57:28 +00:00
Last access: 6/9/2012 21:57:28 +00:00
MFT entry/sequence #: 62333/1 (0xF37D/0x1)
File system hint: NTFS

--------------------------------------------------

"
php,CMI-CreateHive{10813AC7-700F-49B3-BD1A-DC2903BA42C9}\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\php,0,0,0,My Computer\C:\xampp\htdocs\DVWA\c99.php,2015-09-03 07:20:37.3692773,"Type: Root folder: GUID, Value: My Computer


Type: Drive letter, Value: C:


Type: Directory, Value: xampp

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: xampp
Created: 8/23/2015 21:41:48 +00:00
Last access: 8/23/2015 21:44:20 +00:00
MFT entry/sequence #: 42729/2 (0xA6E9/0x2)
File system hint: NTFS

--------------------------------------------------
Short name: xampp
Modified: 8/23/2015 21:44:20 +00:00


Type: Directory, Value: htdocs

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: htdocs
Created: 8/23/2015 21:41:48 +00:00
Last access: 9/3/2015 06:59:40 +00:00
MFT entry/sequence #: 42732/2 (0xA6EC/0x2)
File system hint: NTFS

--------------------------------------------------
Short name: htdocs
Modified: 9/3/2015 06:59:40 +00:00


Type: Directory, Value: DVWA

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: DVWA
Created: 8/23/2015 21:52:16 +00:00
Last access: 9/3/2015 07:14:58 +00:00
MFT entry/sequence #: 12859/4 (0x323B/0x4)
File system hint: NTFS

--------------------------------------------------
Short name: DVWA
Modified: 9/3/2015 07:14:58 +00:00


Short name: c99.php

File size: 153,275
Modified On: 6/9/2012 21:57:28.000  +00:00

Type: File, Value: c99.php

Extension blocks found: 1
---------------------- Block 0 (Beef0004)----------------------
Long name: c99.php
Created: 6/9/2012 21:57:28 +00:00
Last access: 6/9/2012 21:57:28 +00:00
MFT entry/sequence #: 62333/1 (0xF37D/0x1)
File system hint: NTFS

--------------------------------------------------

"
