FirstNetwork,BatchKeyPath,NetworkName,BatchValueName,NameType,FirstConnectLOCAL,LastConnectedLOCAL,Managed,DNSSuffix,GatewayMacAddress,ProfileGUID
PSUT.LOCAL,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{8D3D06D2-5492-490B-9B65-32EB108D8970},PSUT.LOCAL,Multiple,Wired,2015-08-23 03:30:10.6980000,2015-09-01 23:01:12.8150000,True,PSUT.LOCAL,CC-3E-5F-2F-B2-3F-00-00,{8D3D06D2-5492-490B-9B65-32EB108D8970}
Network,CMI-CreateHive{15B28BB1-2B08-4072-9184-BB27037D0496}\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{A61E058C-F9B4-4A18-996F-555886CC004E},Network,Multiple,Wired,2015-08-23 23:54:23.7030000,2015-08-23 14:15:07.6880000,False,Home,52-54-00-12-35-02-00-00,{A61E058C-F9B4-4A18-996F-555886CC004E}
