Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
WinDefend,ROOT\ControlSet001\Services,"@%ProgramFiles%\Windows Defender\MpAsDesc.dll,-240",None,"@%ProgramFiles%\Windows Defender\MpAsDesc.dll,-310",Automatic,Win32OwnProcess,2019-05-26 08:27:33.3160248,,,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1902.2-0\MsMpEng.exe""",,SeImpersonatePrivilege SeBackupPrivilege SeRestorePrivilege SeDebugPrivilege SeChangeNotifyPrivilege SeLoadDriverPrivilege SeSecurityPrivilege SeShutdownPrivilege SeIncreaseQuotaPrivilege SeAssignPrimaryTokenPrivilege SeTcbPrivilege SeIncreaseBasePriorityPrivilege SeSystemEnvironmentPrivilege SeTakeOwnershipPrivilege
Windows Workflow Foundation 4.0.0.0,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2019-03-19 13:05:51.3214477,,,,,
WindowsTrustedRT,ROOT\ControlSet001\Services,,None,Windows Trusted Execution Environment Class Extension,Boot,KernelDriver,2019-03-19 20:55:14.6159951,2019-03-19 20:57:13.7743443,Core Security Extensions,system32\drivers\WindowsTrustedRT.sys,,
WindowsTrustedRTProxy,ROOT\ControlSet001\Services,,None,"@WindowsTrustedRTProxy.inf,%WindowsTrustedRTProxy.SVCDESC%;Microsoft Windows Trusted Runtime Secure Service",Boot,KernelDriver,2019-03-19 20:55:14.6159951,2019-03-19 20:55:14.6159951,Core Security Extensions,System32\drivers\WindowsTrustedRTProxy.sys,,
WinHttpAutoProxySvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\winhttp.dll,-101",None,"@%SystemRoot%\system32\winhttp.dll,-100",Manual,Win32ShareProcess,2018-09-15 07:34:18.4742609,2018-09-15 07:34:18.4742609,,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
WinMad,ROOT\ControlSet001\Services,,None,"@mlx4_bus.inf,%WinMad.ServiceDesc%;WinMad Service",Manual,KernelDriver,2018-09-15 07:33:23.0163058,,PNP Filter,\SystemRoot\System32\drivers\winmad.sys,,
Winmgmt,ROOT\ControlSet001\Services,"@%Systemroot%\system32\wbem\wmisvc.dll,-204",None,"@%Systemroot%\system32\wbem\wmisvc.dll,-205",Automatic,Win32ShareProcess,2018-09-15 07:34:18.4742609,2019-05-26 08:49:31.8003093,,%systemroot%\system32\svchost.exe -k netsvcs -p,,
WinNat,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\drivers\winnat.sys,-10002",None,"@%SystemRoot%\system32\drivers\winnat.sys,-10001",Manual,KernelDriver,2018-09-15 07:34:18.4742609,,,system32\drivers\winnat.sys,,
WinQuic,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\drivers\winquic.sys,-2",None,"@%SystemRoot%\system32\drivers\winquic.sys,-1",Manual,KernelDriver,2019-03-19 20:55:32.5532946,2019-03-19 20:55:32.5532946,,system32\drivers\winquic.sys,,
WinRM,ROOT\ControlSet001\Services,"@%Systemroot%\system32\wsmsvc.dll,-102",None,"@%Systemroot%\system32\wsmsvc.dll,-101",Automatic,Win32ShareProcess,2019-03-19 13:21:21.1340506,2018-09-15 07:34:18.4742609,,%SystemRoot%\System32\svchost.exe -k NetworkService -p,,SeAssignPrimaryTokenPrivilege SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
Winsock,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:36:28.0011652,2018-09-15 07:36:34.4861077,,,,
WinSock2,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:34:18.4742609,2019-03-19 21:54:40.9506907,,,,
WINUSB,ROOT\ControlSet001\Services,"@winusb.inf,%WINUSB_SvcDesc%;Generic driver for USB devices",None,"@winusb.inf,%WINUSB_SvcName%;WinUsb Driver",Manual,KernelDriver,2018-09-15 07:33:32.1421029,,,\SystemRoot\System32\drivers\WinUSB.SYS,,
WinVerbs,ROOT\ControlSet001\Services,,None,"@mlx4_bus.inf,%WinVerbs.ServiceDesc%;WinVerbs Service",Manual,KernelDriver,2018-09-15 07:33:23.0163058,,PNP Filter,\SystemRoot\System32\drivers\winverbs.sys,,
wisvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\flightsettings.dll,-104",None,"@%SystemRoot%\system32\flightsettings.dll,-103",Manual,Win32ShareProcess,2018-09-15 07:35:10.6819328,2018-09-15 07:34:18.4742609,,%systemroot%\system32\svchost.exe -k netsvcs -p,,SeImpersonatePrivilege SeTcbPrivilege SeCreateGlobalPrivilege SeSystemEnvironmentPrivilege SeShutdownPrivilege
WlanSvc,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\wlansvc.dll,-258",None,"@%SystemRoot%\System32\wlansvc.dll,-257",Manual,Win32OwnProcess,2018-09-15 07:34:18.4742609,2018-09-15 07:34:18.4742609,TDI,%SystemRoot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeChangeNotifyPrivilege SeImpersonatePrivilege SeAuditPrivilege SeTcbPrivilege SeDebugPrivilege SeLoadDriverPrivilege
wlidsvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\wlidsvc.dll,-101",None,"@%SystemRoot%\system32\wlidsvc.dll,-100",Manual,Win32ShareProcess,2018-09-15 07:35:10.6819328,2018-09-15 07:34:18.4742609,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,,SeCreateGlobalPrivilege SeImpersonatePrivilege SeTcbPrivilege SeAssignPrimaryTokenPrivilege SeIncreaseQuotaPrivilege
WLMS,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\wlms\wlms.exe,-2",None,"@%SystemRoot%\system32\wlms\wlms.exe,-1",Automatic,Win32OwnProcess,2018-09-15 09:10:07.4943157,,,%SystemRoot%\system32\wlms\wlms.exe,,
wlpasvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\lpasvc.dll,-1001",None,"@%SystemRoot%\system32\lpasvc.dll,-1000",Manual,Win32ShareProcess,2018-09-15 07:35:10.6819328,2018-09-15 07:34:18.4742609,TDI,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,,SeAuditPrivilege SeImpersonatePrivilege
WManSvc,ROOT\ControlSet001\Services,"@%systemroot%\system32\Windows.Management.Service.dll,-101",None,"@%systemroot%\system32\Windows.Management.Service.dll,-100",Manual,Win32ShareProcess,2018-09-15 07:34:18.4586352,2018-09-15 07:34:18.4586352,,%systemroot%\system32\svchost.exe -k netsvcs -p,,SeImpersonatePrivilege SeTcbPrivilege SeIncreaseQuotaPrivilege SeAssignPrimaryTokenPrivilege SeBackupPrivilege SeRestorePrivilege SeSystemEnvironmentPrivilege SeTakeOwnershipPrivilege SeSecurityPrivilege SeShutdownPrivilege
WmiAcpi,ROOT\ControlSet001\Services,,None,"@wmiacpi.inf,%WMIMAP.SvcDesc%;Microsoft Windows Management Interface for ACPI",Manual,KernelDriver,2018-09-15 07:33:26.3447198,,Extended Base,\SystemRoot\System32\drivers\wmiacpi.sys,,
WmiApRpl,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:34:18.4586352,,,,,
wmiApSrv,ROOT\ControlSet001\Services,"@%Systemroot%\system32\wbem\wmiapsrv.exe,-111",None,"@%Systemroot%\system32\wbem\wmiapsrv.exe,-110",Manual,Win32OwnProcess,2018-09-15 07:34:18.4586352,,,%systemroot%\system32\wbem\WmiApSrv.exe,,
WMPNetworkSvc,ROOT\ControlSet001\Services,"@%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,-102",None,"@%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe,-101",Manual,Win32OwnProcess,2018-09-15 09:10:07.4943157,,,"""%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe""",,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
Wof,ROOT\ControlSet001\Services,,None,Windows Overlay File System Filter Driver,Boot,FileSystemDriver,2018-09-15 07:34:18.4586352,2018-09-15 07:34:18.4586352,FSFilter Compression,,,
workerdd,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-09-15 07:34:18.4586352,,,,,
