Id,Payload,LastModifiedTime,ExpirationTime,CreatedInCloud,StartTime,EndTime,LastModifiedOnClient,OriginalLastModifiedOnClient,ActivityType,IsLocalOnly,ETag,PackageIdHash,PlatformDeviceId,SourceFile
C5AA2CD4-F107-6103-C1B6-03E2403F7B74,0x7B22646973706C617954657874223A22436F6D6D616E642050726F6D7074222C2261637469766174696F6E557269223A226D732D7368656C6C61637469766974793A222C22617070446973706C61794E616D65223A22436F6D6D616E642050726F6D7074222C226261636B67726F756E64436F6C6F72223A22626C61636B227D,2019-02-14 22:53:14,2019-03-16 23:53:14,1969-12-31 19:00:00,2019-02-14 22:53:14,1969-12-31 19:00:00,2019-02-14 22:53:14,,5,0,17,x+qOqClmiI+hV7y3O4KqoT3DKoqW35eajHOKyjlQNFw=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
08597A15-7F32-B27D-0751-0D25C931C1A7,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A313133312C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-14 23:04:36,2019-03-17 00:04:36,1969-12-31 19:00:00,2019-02-14 22:53:14,2019-02-14 23:27:15,2019-02-14 23:27:15,,6,0,44,x+qOqClmiI+hV7y3O4KqoT3DKoqW35eajHOKyjlQNFw=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
354A02A1-C089-9D1F-14C7-3F16E1BFBD34,0x7B22646973706C617954657874223A2246696C65204578706C6F726572222C2261637469766174696F6E557269223A226D732D7368656C6C61637469766974793A222C22617070446973706C61794E616D65223A2246696C65204578706C6F726572222C226261636B67726F756E64436F6C6F72223A22626C61636B227D,2019-02-14 23:16:39,2019-03-17 00:16:39,1969-12-31 19:00:00,2019-02-14 23:16:39,1969-12-31 19:00:00,2019-02-14 23:16:39,,5,0,24,WmO7oHZWxTMPjRbqWJP0nj4HxdaDGuIwqMujnC6Nb0Q=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
0B99ED11-6044-BF52-3C45-D6F8D22E1E10,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A3532342C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-14 23:22:56,2019-03-17 00:22:56,1969-12-31 19:00:00,2019-02-14 23:16:39,2019-02-14 23:25:27,2019-02-14 23:25:27,,6,0,31,WmO7oHZWxTMPjRbqWJP0nj4HxdaDGuIwqMujnC6Nb0Q=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
73AA3EF0-22A1-F763-7F7D-2BD59A6C26FE,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A31332C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-14 23:23:00,2019-03-17 00:23:00,1969-12-31 19:00:00,2019-02-14 23:22:56,2019-02-14 23:25:36,2019-02-14 23:25:36,,6,0,34,WmO7oHZWxTMPjRbqWJP0nj4HxdaDGuIwqMujnC6Nb0Q=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
D2F64855-EBF8-2543-4AA6-1B7D19E39B01,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A34332C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-14 23:25:55,2019-03-17 00:25:55,1969-12-31 19:00:00,2019-02-14 23:25:38,2019-02-14 23:33:38,2019-02-14 23:33:38,,6,0,84,WmO7oHZWxTMPjRbqWJP0nj4HxdaDGuIwqMujnC6Nb0Q=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
511C53DA-77D1-3C40-FB53-07B83CDFF7A4,0x7B22646973706C617954657874223A226D7364742E657865222C2261637469766174696F6E557269223A226D732D7368656C6C61637469766974793A222C22617070446973706C61794E616D65223A226D7364742E657865222C226261636B67726F756E64436F6C6F72223A22626C61636B227D,2019-02-14 23:25:55,2019-03-17 00:25:55,1969-12-31 19:00:00,2019-02-14 23:25:55,1969-12-31 19:00:00,2019-02-14 23:25:55,,5,0,40,jtP8SYFFtqNbY3O4Q2wrJW5K8V76JsiuLbYgZP49Oyw=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
32431947-8B59-2C58-ADD3-E0497012D7FD,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A322C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-14 23:25:58,2019-03-17 00:25:58,1969-12-31 19:00:00,2019-02-14 23:25:55,2019-02-14 23:25:58,2019-02-14 23:25:58,,6,0,41,jtP8SYFFtqNbY3O4Q2wrJW5K8V76JsiuLbYgZP49Oyw=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
33778CFC-FC6F-4E56-4C26-9FDC64E2A078,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A3236312C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-14 23:31:41,2019-03-17 00:31:41,1969-12-31 19:00:00,2019-02-14 23:27:19,2019-02-14 23:31:40,2019-02-14 23:31:41,,6,0,50,WmO7oHZWxTMPjRbqWJP0nj4HxdaDGuIwqMujnC6Nb0Q=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
77BF0F5D-801F-90AB-CF18-7D469AEDDBE5,0x7B2274797065223A2255736572456E6761676564222C227265706F7274696E67417070223A225368656C6C41637469766974794D6F6E69746F72222C226163746976654475726174696F6E5365636F6E6473223A3130312C227368656C6C436F6E74656E744465736372697074696F6E223A7B224D6572676564476170223A3630307D2C227573657254696D657A6F6E65223A22416D65726963612F4C6F735F416E67656C6573227D,2019-02-14 23:32:10,2019-03-17 00:32:10,1969-12-31 19:00:00,2019-02-14 23:31:41,2019-02-14 23:37:48,2019-02-14 23:37:48,,6,0,218,WmO7oHZWxTMPjRbqWJP0nj4HxdaDGuIwqMujnC6Nb0Q=,wK96RWY9c8/53+CUxuaM0NYc5XiN8ViVxvzZCzc3GYI=,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
