ActivityId,Platform,PackageName,ExpirationTime,SourceFile
33778CFC-FC6F-4E56-4C26-9FDC64E2A078,packageid,microsoft.windows.explorer,2019-03-17 00:31:41,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
33778CFC-FC6F-4E56-4C26-9FDC64E2A078,host,,2019-03-17 00:31:41,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
77BF0F5D-801F-90AB-CF18-7D469AEDDBE5,windows_win32,microsoft.windows.explorer,2019-03-17 00:32:10,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
77BF0F5D-801F-90AB-CF18-7D469AEDDBE5,packageid,microsoft.windows.explorer,2019-03-17 00:32:10,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
77BF0F5D-801F-90AB-CF18-7D469AEDDBE5,host,,2019-03-17 00:32:10,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
B4CDC030-A39A-7C72-0DD2-7C7EACAAFB37,windows_win32,microsoft.windows.explorer,2019-03-17 00:32:53,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
B4CDC030-A39A-7C72-0DD2-7C7EACAAFB37,packageid,microsoft.windows.explorer,2019-03-17 00:32:53,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
B4CDC030-A39A-7C72-0DD2-7C7EACAAFB37,host,,2019-03-17 00:32:53,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
C0B65CC3-4979-B87C-C6A8-AB9A7527E5FF,windows_win32,microsoft.windows.explorer,2019-03-17 00:32:57,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
C0B65CC3-4979-B87C-C6A8-AB9A7527E5FF,packageid,microsoft.windows.explorer,2019-03-17 00:32:57,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
C0B65CC3-4979-B87C-C6A8-AB9A7527E5FF,host,,2019-03-17 00:32:57,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
252AE212-70FA-3753-972C-4223AD99B981,windows_win32,microsoft.windows.explorer,2019-03-17 00:33:09,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
252AE212-70FA-3753-972C-4223AD99B981,packageid,microsoft.windows.explorer,2019-03-17 00:33:09,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
252AE212-70FA-3753-972C-4223AD99B981,host,,2019-03-17 00:33:09,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
1CCF94F3-AC7C-8437-D309-F7ACFE704F86,windows_win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\cmd.exe,2019-03-17 00:33:19,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
1CCF94F3-AC7C-8437-D309-F7ACFE704F86,packageid,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\cmd.exe,2019-03-17 00:33:19,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
1CCF94F3-AC7C-8437-D309-F7ACFE704F86,host,,2019-03-17 00:33:19,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
2422A328-A592-73E6-ADF3-AD7E92FB4B9F,x_exe_path,c:\users\ieuser\downloads\setmace_v1009\setmace_v1009\setmace.exe,2019-03-17 00:33:19,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
2422A328-A592-73E6-ADF3-AD7E92FB4B9F,host,,2019-03-17 00:33:19,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
7E505DD1-D62D-A12E-5CAC-DC32E024943A,windows_win32,microsoft.windows.explorer,2019-03-17 00:34:02,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
7E505DD1-D62D-A12E-5CAC-DC32E024943A,packageid,microsoft.windows.explorer,2019-03-17 00:34:02,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
7E505DD1-D62D-A12E-5CAC-DC32E024943A,host,,2019-03-17 00:34:02,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
92ADF47D-ADAD-9449-D201-48A725E2C3E1,windows_win32,microsoft.skydrive.desktop,2019-03-17 00:34:02,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
92ADF47D-ADAD-9449-D201-48A725E2C3E1,host,,2019-03-17 00:34:02,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
54DA6651-51BF-6D01-6755-6771CF55C188,windows_win32,microsoft.skydrive.desktop,2019-03-17 00:34:04,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
54DA6651-51BF-6D01-6755-6771CF55C188,packageid,microsoft.skydrive.desktop,2019-03-17 00:34:04,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
54DA6651-51BF-6D01-6755-6771CF55C188,host,,2019-03-17 00:34:04,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
A3D5F491-AE8A-301D-A77A-21DA8665EEA5,windows_universal,microsoft.windows.photos_8wekyb3d8bbwe,2019-03-17 00:35:40,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
A3D5F491-AE8A-301D-A77A-21DA8665EEA5,host,,2019-03-17 00:35:40,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
C67EB911-CD81-B13C-6B3F-418438FF4C75,windows_universal,microsoft.windows.photos_8wekyb3d8bbwe,2019-03-17 00:35:40,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
C67EB911-CD81-B13C-6B3F-418438FF4C75,host,,2019-03-17 00:35:40,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
747A0ADF-7783-30DD-F732-F007C97052EC,windows_universal,microsoft.windows.photos_8wekyb3d8bbwe,2019-03-17 00:35:40,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
747A0ADF-7783-30DD-F732-F007C97052EC,packageid,microsoft.windows.photos_8wekyb3d8bbwe!app,2019-03-17 00:35:40,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
747A0ADF-7783-30DD-F732-F007C97052EC,host,,2019-03-17 00:35:40,M:\Forensics\TrainingImages\AliHadi\Challenge5\tout\E\Users\IEUser\AppData\Local\ConnectedDevicesPlatform\L.IEUser\ActivitiesCache.db
