HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{C9E9A340-D1F1-11D0-821E-444553540600},(default),RegSz,Internet Explorer Core Fonts,,,,True,False,2018-03-27 09:55:48.4485779,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{de5aed00-a4bf-11d1-9948-00c04f98bbc9},(default),RegSz,HTML Help,,,,True,False,2018-03-27 09:55:48.4485779,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{E92B03AB-B707-11d2-9CBD-0000F87A369E},(default),RegSz,Active Directory Service Interface,,,,True,False,2017-09-29 13:47:12.6976598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{2C7339CF-2B09-4501-B3F3-F3508C9228ED},ShellComponent,RegSz,themeui.dll,,,,True,False,2017-09-29 13:47:12.7132855,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{89820200-ECBD-11cf-8B85-00AA005B4340},ShellComponent,RegSz,shell32.dll,,,,True,False,2018-03-27 09:55:48.4485779,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\>{22d6f312-b0f6-11d0-94ab-0080c74c7e95},StubPath,RegExpandSz,%SystemRoot%\system32\unregmp2.exe /ShowWMP,,,,True,False,2017-09-29 14:41:52.5334020,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{2C7339CF-2B09-4501-B3F3-F3508C9228ED},StubPath,RegSz,/UserInstall,,,,True,False,2017-09-29 13:47:12.7132855,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{6BF52A52-394A-11d3-B153-00C04F79FAA6},StubPath,RegExpandSz,%SystemRoot%\system32\unregmp2.exe /FirstLogon,,,,True,False,2017-09-29 14:41:52.5323997,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{89820200-ECBD-11cf-8B85-00AA005B4340},StubPath,RegSz,U,,,,True,False,2018-03-27 09:55:48.4485779,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{89820200-ECBD-11cf-8B85-00AA005B4383},StubPath,RegSz,C:\Windows\System32\ie4uinit.exe -UserConfig,,,,True,False,2018-03-27 09:56:40.0565116,
