BatchKeyPath,BatchValueName,ProgramName,RunCounter,FocusCount,FocusTime,LastExecuted
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Trgfgnegrq_8jrxlo3q8oojr!Ncc,Microsoft.Getstarted_8wekyb3d8bbwe!App,14,21,"0d, 0h, 07m, 00s",2018-03-27 09:18:14.9001018
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,156,502,"0d, 19h, 06m, 24s",
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfSrrqonpxUho_8jrxlo3q8oojr!Ncc,Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App,13,19,"0d, 0h, 06m, 15s",2018-03-27 09:18:14.9001018
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfZncf_8jrxlo3q8oojr!Ncc,Microsoft.WindowsMaps_8wekyb3d8bbwe!App,12,17,"0d, 0h, 05m, 30s",2018-03-27 09:18:14.9001018
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Crbcyr_8jrxlo3q8oojr!k4p7n3o7ql2188l46q4ln362l19np5n5805r5k,Microsoft.People_8wekyb3d8bbwe!x4c7a3b7dy2188y46d4ya362y19ac5a5805e5x,11,15,"0d, 0h, 04m, 45s",2018-03-27 09:18:14.9001018
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.ZvpebfbsgFgvpxlAbgrf_8jrxlo3q8oojr!Ncc,Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App,10,13,"0d, 0h, 04m, 00s",2018-03-27 09:18:14.9001018
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\FavccvatGbby.rkr,{System32}\SnippingTool.exe,9,11,"0d, 0h, 03m, 15s",2018-03-27 09:18:14.9001018
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.JvaqbjfPnyphyngbe_8jrxlo3q8oojr!Ncc,Microsoft.WindowsCalculator_8wekyb3d8bbwe!App,9,10,"0d, 0h, 03m, 24s",2018-03-31 19:50:05.8980000
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\zfcnvag.rkr,{System32}\mspaint.exe,7,7,"0d, 0h, 01m, 45s",2018-03-27 09:18:14.9001018
