HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID InprocServer32,ASEP,ROOT\Classes\WOW6432Node\CLSID\{bd3739e8-3cf5-45fb-9cc3-28163c2e9ffd}\InProcServer32,(default),RegExpandSz,%SystemRoot%\System32\usercpl.dll,,,,True,False,2017-09-29 13:47:25.0579643,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID InprocServer32,ASEP,ROOT\Classes\WOW6432Node\CLSID\{BD472F60-27FA-11cf-B8B4-444553540000}\InProcServer32,(default),RegExpandSz,%SystemRoot%\system32\zipfldr.dll,,,,True,False,2017-09-29 13:47:25.0579643,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID InprocServer32,ASEP,ROOT\Classes\WOW6432Node\CLSID\{BD4F77B3-70B0-4464-83A5-785F205B823B}\InprocServer32,(default),RegExpandSz,%CommonProgramFiles%\Microsoft Shared\Ink\InkObj.dll,,,,True,False,2017-09-29 13:47:25.0579643,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID InprocServer32,ASEP,ROOT\Classes\WOW6432Node\CLSID\{bd69ecaa-ae5c-40d0-b968-7848f3778f56}\InProcServer32,(default),RegExpandSz,%SystemRoot%\system32\netcorehc.dll,,,,True,False,2017-09-29 13:47:25.0579643,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID InprocServer32,ASEP,ROOT\Classes\WOW6432Node\CLSID\{BD6EDFCA-2890-482F-B233-8D7339A1CF8D}\InProcServer32,(default),RegExpandSz,%SystemRoot%\system32\windowscodecs.dll,,,,True,False,2017-09-29 13:47:25.0579643,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID InprocServer32,ASEP,ROOT\Classes\WOW6432Node\CLSID\{BD7A2E7B-21CB-41b2-A086-B309680C6B7E}\InprocServer32,(default),RegExpandSz,%systemroot%\system32\mssvp.dll,,,,True,False,2017-09-29 13:47:25.0423381,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID InprocServer32,ASEP,ROOT\Classes\WOW6432Node\CLSID\{BD7BDFFF-FCF5-439C-ABE7-01D244849BFB}\InprocServer32,(default),RegSz,C:\Windows\SysWOW64\Srh.dll,,,,True,False,2018-03-27 13:10:40.2665031,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID InprocServer32,ASEP,ROOT\Classes\WOW6432Node\CLSID\{BD84B380-8CA2-1069-AB1D-08000948F534}\InProcServer32,(default),RegExpandSz,%SystemRoot%\system32\fontext.dll,,,,True,False,2017-09-29 13:47:25.0423381,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID InprocServer32,ASEP,ROOT\Classes\WOW6432Node\CLSID\{BD84B381-8CA2-1069-AB1D-08000948F534}\InProcServer32,(default),RegExpandSz,%SystemRoot%\system32\panmap.dll,,,,True,False,2017-09-29 13:47:25.0423381,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID InprocServer32,ASEP,ROOT\Classes\WOW6432Node\CLSID\{BD96C556-65A3-11D0-983A-00C04FC29E33}\InprocServer32,(default),RegSz,C:\Program Files (x86)\Common Files\System\msadc\msadco.dll,,,,True,False,2018-03-27 13:10:40.2665031,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID InprocServer32,ASEP,ROOT\Classes\WOW6432Node\CLSID\{BD96C556-65A3-11D0-983A-00C04FC29E36}\InprocServer32,(default),RegSz,C:\Program Files (x86)\Common Files\System\msadc\msadco.dll,,,,True,False,2018-03-27 13:10:40.2665031,
