BatchKeyPath,BatchValueName,KeyName,AppId,AppPath,LastAccessed,LaunchCount,RecentDocs
ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{8A41581A-FCED-45C4-B692-AE514F38AB31},Multiple,{8A41581A-FCED-45C4-B692-AE514F38AB31},{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft Office\Root\Office16\EXCEL.EXE,,2018-04-06 12:27:04.7830000,1,
ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{8A588395-F28A-4093-B314-70636C340495},Multiple,{8A588395-F28A-4093-B314-70636C340495},Microsoft.Office.POWERPNT.EXE.15,C:\Program Files (x86)\Microsoft Office\root\Office16\POWERPNT.EXE,2018-04-04 05:00:26.5480000,2,Operation 2nd Hand Smoke/C:\Users\jcloudy\Desktop\Operation 2nd Hand Smoke.pptx: 4/4/2018 05:00:30 +00:00
ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{8DB9BB0B-1F89-457C-B500-52CF1FEB6D32},Multiple,{8DB9BB0B-1F89-457C-B500-52CF1FEB6D32},Microsoft.SkyDrive.Desktop,C:\Users\jcloudy\AppData\Local\Microsoft\OneDrive\OneDrive.exe,2018-03-27 09:51:00.8380000,1,
ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{9AC3E8F1-464F-4E8C-B1F6-2E48D2E84BAB},Multiple,{9AC3E8F1-464F-4E8C-B1F6-2E48D2E84BAB},Dropbox.Desktop.Client,C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,2018-04-02 01:43:38.6150000,2,
ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{A5F12BA3-3F91-407A-860E-7FCB404F420B},Multiple,{A5F12BA3-3F91-407A-860E-7FCB404F420B},F:\CFRS 780 Lone Wolf Scenario\FTK_Imager_4_2_0\FTK Imager\FTK Imager.exe,,2018-04-06 12:40:38.7760000,1,
ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{AC814061-D59E-421F-ACE5-4CAFFFF0F36C},Multiple,{AC814061-D59E-421F-ACE5-4CAFFFF0F36C},Microsoft.Windows.Explorer,::{52205FD8-5DFB-447D-801A-D0B52F2E83E1},2018-04-06 12:39:44.9330000,26,
ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{BDA5B92C-2CC4-400D-9D0B-7F44732EC48F},Multiple,{BDA5B92C-2CC4-400D-9D0B-7F44732EC48F},F:\Programs\Imager_Lite_3.1.1\FTK Imager.exe,,2018-04-06 12:41:20.7640000,1,
ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{C7DC6925-E6DC-444A-B59C-0CEA71102211},Multiple,{C7DC6925-E6DC-444A-B59C-0CEA71102211},Microsoft.Office.WINWORD.EXE.15,C:\Program Files (x86)\Microsoft Office\root\Office16\WINWORD.EXE,2018-04-05 02:32:31.0690000,2,"AIRPORT INFORMATION/C:\Users\jcloudy\Desktop\AIRPORT INFORMATION.docx: 4/4/2018 05:11:46 +00:00,Planning/C:\Users\jcloudy\Desktop\Planning.docx: 4/5/2018 08:32:48 +00:00,Cloudy thoughts (4apr)/C:\Users\jcloudy\Desktop\Cloudy thoughts (4apr).docx: 4/5/2018 02:41:01 +00:00,The Cloudy Manifesto/C:\Users\jcloudy\Desktop\The Cloudy Manifesto.docx: 4/3/2018 06:11:21 +00:00"
ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{C99789AE-E9AB-49BB-A6D6-262893E344FE},Multiple,{C99789AE-E9AB-49BB-A6D6-262893E344FE},Microsoft.WindowsStore_8wekyb3d8bbwe!App,,2018-04-05 01:52:32.5510000,6,
ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{FD6E5262-ADA2-4496-B126-EC11986951DB},Multiple,{FD6E5262-ADA2-4496-B126-EC11986951DB},Microsoft.Office.OneNote_8wekyb3d8bbwe!microsoft.onenoteim,,2018-04-06 08:26:06.5750000,3,
