HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\Boot file system,(default),RegSz,Driver Group,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\BrokerInfrastructure,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\CoreMessagingRegistrar,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\CryptSvc,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\DcomLaunch,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\DeviceInstall,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\dxgkrnl.sys,(default),RegSz,Driver,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\EFS,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\EventLog,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\File system,(default),RegSz,Driver Group,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\Filter,(default),RegSz,Driver Group,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\FsDepends.sys,(default),RegSz,Driver,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\HelpSvc,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\iai2c.sys,(default),RegSz,Driver,,,,True,False,2017-09-29 13:46:04.7079092,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\KeyIso,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\LSM,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\Netlogon,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\NTDS,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\PCI Configuration,(default),RegSz,Driver Group,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\PlugPlay,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\PNP Filter,(default),RegSz,Driver Group,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\Power,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\Primary disk,(default),RegSz,Driver Group,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\ProfSvc,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\RpcEptMapper,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\RpcSs,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\sacsvr,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\SCSI Class,(default),RegSz,Driver Group,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\SerCx2.sys,(default),RegSz,Driver,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\sermouse.sys,(default),RegSz,Driver,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\SpbCx.sys,(default),RegSz,Driver,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\StateRepository,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\SWPRV,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\System Bus Extender,(default),RegSz,Driver Group,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\SystemEventsBroker,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\TabletInputService,(default),RegSz,Service,,,,True,False,2017-09-29 13:47:04.2282721,
