BatchKeyPath,BatchValueName,Name,Description,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
ROOT\ControlSet001\Services,None,TsUsbGD,,"@tsgenericusbdriver.inf,%TsUsbGD.DeviceDesc.Generic%;Remote Desktop Generic USB Device",Manual,KernelDriver,2017-09-29 13:46:21.6936502,2017-09-29 13:46:21.6936502,Extended Base,\SystemRoot\System32\drivers\TsUsbGD.sys,,
ROOT\ControlSet001\Services,None,tsusbhub,"@%SystemRoot%\system32\drivers\tsusbhub.sys,-2","@%SystemRoot%\system32\drivers\tsusbhub.sys,-1",Manual,KernelDriver,2017-09-29 14:43:19.5370786,2017-09-29 14:43:15.6970753,Extended Base,system32\drivers\tsusbhub.sys,,
ROOT\ControlSet001\Services,None,tunnel,,"@nettun.inf,%TUNNEL.Service.DisplayName%;Microsoft Tunnel Miniport Adapter Driver",Manual,KernelDriver,2018-03-27 23:29:42.4117867,,NDIS,\SystemRoot\System32\drivers\tunnel.sys,,
ROOT\ControlSet001\Services,None,tzautoupdate,"@%SystemRoot%\system32\tzautoupdate.dll,-201","@%SystemRoot%\system32\tzautoupdate.dll,-200",Disabled,Win32ShareProcess,2017-09-29 13:47:44.6688147,2017-09-29 13:47:03.7907388,,%SystemRoot%\system32\svchost.exe -k LocalService -p,,SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeSystemTimePrivilege SeTimeZonePrivilege
ROOT\ControlSet001\Services,None,UASPStor,,"@uaspstor.inf,%UASPortName%;USB Attached SCSI (UAS) Driver",Manual,KernelDriver,2018-04-06 12:35:08.6357778,2018-03-27 12:11:29.6638330,,\SystemRoot\System32\drivers\uaspstor.sys,,
ROOT\ControlSet001\Services,None,UcmCx0101,,USB Connector Manager KMDF Class Extension,Manual,KernelDriver,2017-09-29 13:47:44.6688147,,System Bus Extender,System32\Drivers\UcmCx.sys,,
ROOT\ControlSet001\Services,None,UcmTcpciCx0101,,UCM-TCPCI KMDF Class Extension,Manual,KernelDriver,2017-09-29 13:47:44.6688147,,System Bus Extender,System32\Drivers\UcmTcpciCx.sys,,
ROOT\ControlSet001\Services,None,UcmUcsi,,"@UcmUcsi.inf,%UcmUcsi.ServiceName%;USB Connector Manager UCSI Client",Manual,KernelDriver,2018-03-27 09:55:48.4485779,,,\SystemRoot\System32\drivers\UcmUcsi.sys,,
ROOT\ControlSet001\Services,None,Ucx01000,,USB Host Support Library,Manual,KernelDriver,2018-03-27 12:11:28.9940351,2018-03-27 12:13:13.5254330,Boot Bus Extender,system32\drivers\ucx01000.sys,,
ROOT\ControlSet001\Services,None,UdeCx,,USB Device Emulation Support Library,Manual,KernelDriver,2017-09-29 13:47:44.6688147,,,system32\drivers\udecx.sys,,
ROOT\ControlSet001\Services,None,udfs,"Reads/Writes UDF 1.02,1.5,2.0x,2.5 disc formats, usually found on C/DVD discs. (Core) (All pieces)",udfs,Disabled,FileSystemDriver,2017-09-29 13:47:44.6688147,,Boot File System,system32\DRIVERS\udfs.sys,,
ROOT\ControlSet001\Services,None,UEFI,,"@uefi.inf,%UEFI.SvcDesc%;Microsoft UEFI Driver",Manual,KernelDriver,2017-09-29 13:46:19.0528138,,,\SystemRoot\System32\drivers\UEFI.sys,,
ROOT\ControlSet001\Services,None,UevAgentDriver,"@%systemroot%\system32\drivers\UevAgentDriver.sys,-102","@%systemroot%\system32\drivers\UevAgentDriver.sys,-101",Disabled,FileSystemDriver,2017-09-29 14:43:19.5370786,,FSFilter Top,\SystemRoot\system32\drivers\UevAgentDriver.sys,,
ROOT\ControlSet001\Services,None,UevAgentService,"@%systemroot%\system32\AgentService.exe,-101","@%systemroot%\system32\AgentService.exe,-102",Disabled,Win32OwnProcess,2017-09-29 14:43:19.5370786,,ProfSvc_Group,%systemroot%\system32\AgentService.exe,,SeTcbPrivilege SeCreateGlobalPrivilege SeAssignPrimaryTokenPrivilege
ROOT\ControlSet001\Services,None,Ufx01000,,USB Function Class Extension,Manual,KernelDriver,2017-09-29 13:47:44.6688147,,System Bus Extender,system32\drivers\ufx01000.sys,,
ROOT\ControlSet001\Services,None,UfxChipidea,,"@ufxchipidea.inf,%UfxChipidea.ServiceName%;USB Chipidea Controller",Manual,KernelDriver,2017-09-29 13:46:23.5688007,,Base,\SystemRoot\System32\drivers\UfxChipidea.sys,,
ROOT\ControlSet001\Services,None,ufxsynopsys,,"@ufxsynopsys.inf,%ufxsynopsys.ServiceName%;USB Synopsys Controller",Manual,KernelDriver,2017-09-29 13:46:23.6156805,,Base,\SystemRoot\System32\drivers\ufxsynopsys.sys,,
ROOT\ControlSet001\Services,None,UGatherer,,,Disabled,Adapter,2017-09-29 13:47:03.7907388,,,,,
ROOT\ControlSet001\Services,None,UGTHRSVC,,,Disabled,Adapter,2017-09-29 13:47:03.7907388,,,,,
ROOT\ControlSet001\Services,None,UI0Detect,"@%SystemRoot%\system32\ui0detect.exe,-102","@%SystemRoot%\system32\ui0detect.exe,-101",Manual,"Win32OwnProcess, InteractiveProcess",2017-09-29 13:47:44.6688147,,,%SystemRoot%\system32\UI0Detect.exe,,SeTcbPrivilege SeAssignPrimaryTokenPrivilege SeIncreaseQuotaPrivilege SeDebugPrivilege
ROOT\ControlSet001\Services,None,umbus,,"@umbus.inf,%umbus.SVCDESC%;UMBus Enumerator Driver",Manual,KernelDriver,2018-03-27 21:45:39.6196611,2018-03-27 12:11:30.7763247,Extended Base,\SystemRoot\System32\drivers\umbus.sys,,
