Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
NetBIOS,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@netnb.inf,%NetBIOS_Desc%;NetBIOS Interface",None,"@netnb.inf,%NetBIOS_Desc%;NetBIOS Interface",System,FileSystemDriver,2013-08-22 14:45:51.3378365,2016-06-21 08:30:06.7430823,NetBIOSGroup,system32\DRIVERS\netbios.sys,,
NetBT,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\drivers\netbt.sys,-1",None,"@%SystemRoot%\system32\drivers\netbt.sys,-2",System,KernelDriver,2013-08-22 14:45:30.3534627,2013-08-22 14:45:30.3534627,PNP_TDI,System32\DRIVERS\netbt.sys,,
Netlogon,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\System32\netlogon.dll,-103",None,"@%SystemRoot%\System32\netlogon.dll,-102",Manual,Win32ShareProcess,2013-08-22 15:37:10.2656908,2013-08-22 15:37:09.8281909,MS_WindowsRemoteValidation,%systemroot%\system32\lsass.exe,,
Netman,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\netman.dll,-110",None,"@%SystemRoot%\system32\netman.dll,-109",Manual,Win32ShareProcess,2013-08-22 15:37:10.2656908,2013-08-22 15:37:09.7969409,,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted,,SeImpersonatePrivilege SeChangeNotifyPrivilege SeLoadDriverPrivilege
netprofm,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\netprofmsvc.dll,-203",None,"@%SystemRoot%\system32\netprofmsvc.dll,-202",Manual,Win32ShareProcess,2013-08-22 15:37:10.2813158,2013-08-22 15:37:09.8125661,,%SystemRoot%\System32\svchost.exe -k LocalService,,SeImpersonatePrivilege SeChangeNotifyPrivilege
NetTcpPortSharing,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%systemroot%\Microsoft.NET\Framework64\v4.0.30319\ServiceModelInstallRC.dll,-8200",None,"@%systemroot%\Microsoft.NET\Framework64\v4.0.30319\ServiceModelInstallRC.dll,-8201",Disabled,Win32ShareProcess,2013-08-22 15:37:10.2969410,,,%systemroot%\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe,,SeCreateGlobalPrivilege
netvsc,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Manual,KernelDriver,2014-03-18 10:19:11.7126395,2013-08-22 14:46:17.7909622,Extended Base,\SystemRoot\system32\DRIVERS\netvsc63.sys,,
NlaSvc,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\System32\nlasvc.dll,-2",None,"@%SystemRoot%\System32\nlasvc.dll,-1",Automatic,Win32ShareProcess,2013-08-22 15:37:10.2656908,2013-08-22 15:37:09.8281909,,%SystemRoot%\System32\svchost.exe -k NetworkService,,SeCreateGlobalPrivilege SeImpersonatePrivilege SeAuditPrivilege
NPF,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,NetGroup Packet Filter Driver,Automatic,KernelDriver,2016-06-21 09:23:01.9588317,,,system32\drivers\npf.sys,,
Npfs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,System,FileSystemDriver,2013-08-22 13:25:43.4890351,,File system,,,
npsvctrig,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@npsvctrig.inf,%NPSVCTRIG.SvcDisplayName%;Named pipe service trigger provider",System,KernelDriver,2013-08-22 14:48:39.1653587,,,\SystemRoot\System32\drivers\npsvctrig.sys,,
nsi,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\nsisvc.dll,-201",None,"@%SystemRoot%\system32\nsisvc.dll,-200",Automatic,Win32ShareProcess,2013-08-22 13:25:43.5202917,2013-08-22 13:25:43.4890351,,%systemroot%\system32\svchost.exe -k LocalService,,SeCreateGlobalPrivilege SeImpersonatePrivilege
nsiproxy,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\drivers\nsiproxy.sys,-1",None,"@%SystemRoot%\system32\drivers\nsiproxy.sys,-2",System,KernelDriver,2013-08-22 13:25:43.5202917,,,system32\drivers\nsiproxy.sys,,
NTDS,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.7656910,,,,,
Ntfs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Manual,FileSystemDriver,2013-08-22 13:25:43.5202917,,Boot File System,,,
Null,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,System,KernelDriver,2013-08-22 13:25:43.4890351,,Base,,,
nvraid,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Boot,KernelDriver,2016-06-21 08:14:37.8961764,2013-08-22 15:33:18.8281945,System Bus Extender,System32\drivers\nvraid.sys,,
nvstor,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Boot,KernelDriver,2016-06-21 08:14:37.8961764,2013-08-22 15:33:18.7813182,SCSI Miniport,System32\drivers\nvstor.sys,,
nv_agp,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@machine.inf,%agpnvidia_svcdesc%;NVIDIA nForce AGP Bus Filter",Boot,KernelDriver,2016-06-21 08:14:37.8961764,,PnP Filter,System32\drivers\nv_agp.sys,,
ose64,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,Saves installation files used for updates and repairs and is required for the downloading of Setup updates and Watson error reports.,None,Office 64 Source Engine,Manual,Win32OwnProcess,2016-06-20 23:56:04.5997856,,,"""C:\Program Files\Common Files\Microsoft Shared\Source Engine\OSE.EXE""",,
Outlook,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2016-06-20 23:59:34.0770406,,,,,
p2pimsvc,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\pnrpsvc.dll,-8005",None,"@%SystemRoot%\system32\pnrpsvc.dll,-8004",Manual,Win32ShareProcess,2013-08-22 15:37:10.2813158,2013-08-22 15:37:09.8125661,,%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
p2psvc,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\p2psvc.dll,-8007",None,"@%SystemRoot%\system32\p2psvc.dll,-8006",Manual,Win32ShareProcess,2013-08-22 15:37:10.2813158,2013-08-22 15:37:09.8281909,,%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
PACKETDRIVER,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2016-06-21 09:23:01.9588317,,,,,
Parport,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@msports.inf,%Parport.SVCDESC%;Parallel port driver",Manual,KernelDriver,2013-08-22 15:33:24.1563203,,Parallel arbitrator,\SystemRoot\System32\drivers\parport.sys,,
partmgr,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\drivers\partmgr.sys,-101",None,"@%SystemRoot%\system32\drivers\partmgr.sys,-100",Boot,KernelDriver,2016-06-21 11:40:41.6530567,2013-08-22 13:25:43.5046677,Boot Bus Extender,System32\drivers\partmgr.sys,,
PcaSvc,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\pcasvc.dll,-2",None,"@%SystemRoot%\system32\pcasvc.dll,-1",Automatic,Win32ShareProcess,2013-08-22 15:37:10.2969410,2013-08-22 15:37:09.8125661,,%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted,,SeDebugPrivilege
pci,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@machine.inf,%pci_svcdesc%;PCI Bus Driver",Boot,KernelDriver,2016-06-21 11:40:41.5748230,,Boot Bus Extender,System32\drivers\pci.sys,,
pciide,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Boot,KernelDriver,2016-06-21 08:14:37.8961764,,System Bus Extender,System32\drivers\pciide.sys,,
pcmcia,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Boot,KernelDriver,2016-06-21 08:14:37.8961764,,System Bus Extender,System32\drivers\pcmcia.sys,,
pcw,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,Performance Counters for Windows Driver,Boot,KernelDriver,2013-08-22 15:37:10.2656908,,Base,System32\drivers\pcw.sys,,
pdc,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\drivers\pdc.sys,-101",None,"@%SystemRoot%\system32\drivers\pdc.sys,-100",Boot,KernelDriver,2013-08-22 15:37:10.2813158,,Boot Bus Extender,system32\drivers\pdc.sys,,
PEAUTH,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,PEAUTH,Automatic,KernelDriver,2013-08-22 14:45:55.8394521,2013-08-22 14:45:55.8394521,,system32\drivers\peauth.sys,,
PeerDistSvc,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\peerdistsvc.dll,-9001",None,"@%SystemRoot%\system32\peerdistsvc.dll,-9000",Manual,Win32ShareProcess,2014-03-18 09:43:20.2756512,,,%SystemRoot%\System32\svchost.exe -k PeerDist,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege SeAuditPrivilege
PerfDisk,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.7813154,,,,,
PerfHost,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%systemroot%\SysWow64\perfhost.exe,-1",None,"@%systemroot%\sysWow64\perfhost.exe,-2",Manual,Win32OwnProcess,2013-08-22 15:37:10.2813158,,,%SystemRoot%\SysWow64\perfhost.exe,,SeImpersonatePrivilege
PerfNet,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.7656910,,,,,
PerfOS,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.7969409,,,,,
PerfProc,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.8281909,,,,,
pla,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%systemroot%\system32\pla.dll,-501",None,"@%systemroot%\system32\pla.dll,-500",Manual,Win32ShareProcess,2013-08-22 15:37:10.2813158,2013-08-22 15:37:09.8281909,,%SystemRoot%\System32\svchost.exe -k LocalServiceNoNetwork,,SeImpersonatePrivilege
PlugPlay,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\umpnpmgr.dll,-101",None,"@%SystemRoot%\system32\umpnpmgr.dll,-200",Manual,Win32ShareProcess,2013-08-22 15:37:10.2813158,2013-08-22 15:37:09.7656910,PlugPlay,%SystemRoot%\system32\svchost.exe -k DcomLaunch,,
PNRPAutoReg,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\pnrpauto.dll,-8003",None,"@%SystemRoot%\system32\pnrpauto.dll,-8002",Manual,Win32ShareProcess,2013-08-22 15:37:10.2969410,,,%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
PNRPsvc,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\pnrpsvc.dll,-8001",None,"@%SystemRoot%\system32\pnrpsvc.dll,-8000",Manual,Win32ShareProcess,2013-08-22 15:37:10.2813158,,,%SystemRoot%\System32\svchost.exe -k LocalServicePeerNet,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
PolicyAgent,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\polstore.dll,-5011",None,"@%SystemRoot%\System32\polstore.dll,-5010",Manual,Win32ShareProcess,2013-08-22 15:37:10.2813158,2013-08-22 15:37:09.8125661,,%SystemRoot%\system32\svchost.exe -k NetworkServiceNetworkRestricted,,SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
PortProxy,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2013-08-22 15:37:09.7500657,,,,,
Power,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%SystemRoot%\system32\umpo.dll,-101",None,"@%SystemRoot%\system32\umpo.dll,-100",Automatic,Win32ShareProcess,2013-08-22 15:37:10.2813158,2013-08-22 15:37:09.8281909,Plugplay,%SystemRoot%\system32\svchost.exe -k DcomLaunch,,SeTcbPrivilege SeSecurityPrivilege SeAssignPrimaryTokenPrivilege SeTakeOwnershipPrivilege SeLoadDriverPrivilege SeBackupPrivilege SeRestorePrivilege SeImpersonatePrivilege SeAuditPrivilege SeChangeNotifyPrivilege SeUndockPrivilege SeDebugPrivilege
PrintNotify,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@C:\Windows\system32\spool\drivers\x64\3\PrintConfig.dll,-2",None,"@C:\Windows\system32\spool\drivers\x64\3\PrintConfig.dll,-1",Manual,"Win32ShareProcess, InteractiveProcess",2014-03-18 09:55:00.4153516,2014-03-18 09:55:00.4153516,,%SystemRoot%\system32\svchost.exe -k print,,
Processor,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,"@cpu.inf,%Processor.SvcDesc%;Processor Driver",Manual,KernelDriver,2013-08-22 15:33:18.2031940,,Extended Base,\SystemRoot\System32\drivers\processr.sys,,
PROCMON23,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,,None,,Disabled,Adapter,2016-06-21 11:54:52.5911875,,,,,
ProfSvc,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Services,"@%systemroot%\system32\profsvc.dll,-301",None,"@%systemroot%\system32\profsvc.dll,-300",Automatic,Win32ShareProcess,2013-08-22 15:37:10.2813158,2013-08-22 15:37:09.8281909,profsvc_group,%systemroot%\system32\svchost.exe -k netsvcs,,SeBackupPrivilege SeRestorePrivilege SeTakeOwnershipPrivilege SeDebugPrivilege SeImpersonatePrivilege SeAssignPrimaryTokenPrivilege
