Executable,BatchKeyPath,MRUPosition,BatchValueName,OpenedOn
{27146BA0-2CA1-4F53-8A14-77E030313883},CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,0,2,2016-06-21 13:14:59.9528971
{194CF65E-D1C9-43C7-B77D-8178B4A047D6},CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,1,1,
chrome.exe,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,2,0,
