KeyName,BatchKeyPath,DisplayName,BatchValueName,InstallTime,PackageRootFolder
1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\1527c705-839a-4832-9118-54d4Bd6a0c89_cw5n1h2txyewy,@{1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.16299.15_neutral_neutral_cw5n1h2txyewy?ms-resource://FilePicker/Resources/AppxManifest_DisplayName},Multiple,2018-03-27 05:20:02.3211608,C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy
c5e2524a-ea46-4f67-841f-6a9465d9d515_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\c5e2524a-ea46-4f67-841f-6a9465d9d515_cw5n1h2txyewy,@{c5e2524a-ea46-4f67-841f-6a9465d9d515_10.0.16299.15_neutral_neutral_cw5n1h2txyewy?ms-resource://FileExplorer/Resources/AppxManifest_DisplayName},Multiple,2018-03-27 05:20:02.3211608,C:\Windows\SystemApps\Microsoft.Windows.FileExplorer_cw5n1h2txyewy
E2A4F912-2574-4A75-9BB0-0D023378592B_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\E2A4F912-2574-4A75-9BB0-0D023378592B_cw5n1h2txyewy,@{E2A4F912-2574-4A75-9BB0-0D023378592B_10.0.16299.15_neutral_neutral_cw5n1h2txyewy?ms-resource://AppResolverUX/Resources/AppxManifest_DisplayName},Multiple,2018-03-27 05:20:02.3211608,C:\Windows\SystemApps\Microsoft.Windows.AppResolverUX_cw5n1h2txyewy
F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_cw5n1h2txyewy,@{F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.16299.15_neutral_neutral_cw5n1h2txyewy?ms-resource://F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE/Resources/AppxManifest_DisplayName},Multiple,2018-03-27 05:20:02.3211608,C:\Windows\SystemApps\Microsoft.Windows.AddSuggestedFoldersToLibraryDialog_cw5n1h2txyewy
InputApp_1000.16299.251.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\InputApp_cw5n1h2txyewy,Shell Input Application,Multiple,2018-03-27 05:57:19.0602061,C:\Windows\SystemApps\InputApp_cw5n1h2txyewy
Microsoft.AAD.BrokerPlugin_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,@{Microsoft.AAD.BrokerPlugin_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName},Multiple,2018-03-27 05:19:59.6335664,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy
Microsoft.AccountsControl_10.0.16299.15_neutral__cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.AccountsControl_cw5n1h2txyewy,@{Microsoft.AccountsControl_10.0.16299.15_neutral__cw5n1h2txyewy?ms-resource://Microsoft.AccountsControl/Resources/DisplayName},Multiple,2018-03-27 05:20:02.3211608,C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy
Microsoft.Advertising.Xaml_10.1803.2.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Advertising.Xaml_8wekyb3d8bbwe,Microsoft Advertising SDK for XAML,Multiple,2018-04-01 18:46:14.7770712,C:\Program Files\WindowsApps\Microsoft.Advertising.Xaml_10.1803.2.0_x64__8wekyb3d8bbwe
Microsoft.Advertising.Xaml_10.1803.2.0_x86__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Advertising.Xaml_8wekyb3d8bbwe,Microsoft Advertising SDK for XAML,Multiple,2018-04-01 18:46:15.6245508,C:\Program Files\WindowsApps\Microsoft.Advertising.Xaml_10.1803.2.0_x86__8wekyb3d8bbwe
Microsoft.BingWeather_4.23.10923.0_neutral_split.scale-100_8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BingWeather_8wekyb3d8bbwe,,Multiple,2018-04-04 00:33:45.2648659,
Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BingWeather_8wekyb3d8bbwe,@{Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.BingWeather/Resources/ApplicationTitleWithBranding},Multiple,2018-04-04 00:33:45.2402170,C:\Program Files\WindowsApps\Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe
Microsoft.BioEnrollment_10.0.16299.15_neutral__cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BioEnrollment_cw5n1h2txyewy,@{Microsoft.BioEnrollment_10.0.16299.15_neutral__cw5n1h2txyewy?ms-resource://Microsoft.BioEnrollment/Resources/AppDisplayName},Multiple,2018-03-27 05:20:02.3211608,C:\Windows\SystemApps\Microsoft.BioEnrollment_cw5n1h2txyewy
Microsoft.CredDialogHost_10.0.16299.15_neutral__cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.CredDialogHost_cw5n1h2txyewy,@{Microsoft.CredDialogHost_10.0.16299.15_neutral__cw5n1h2txyewy?ms-resource://Microsoft.CredDialogHost/Resources/AppDisplayName},Multiple,2018-03-27 05:20:02.3211608,C:\Windows\SystemApps\microsoft.creddialoghost_cw5n1h2txyewy
