DeviceName,BatchKeyPath,DeviceData,BatchValueName
\DosDevices\C:,,DMIO:ID:!“	¯©DØsÁKž¯,
\??\Volume{5c3108bb-31c0-11e8-9b10-806e6f6e6963},,\??\SCSI#CdRom&Ven_PLDS&Prod_DVD-ROM_DU-8D5LH#4&241bacd1&0&010000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},
\??\Volume{5c3108bf-31c0-11e8-9b10-806e6f6e6963},,_??_USBSTOR#Disk&Ven_SanDisk&Prod_Extreme&Rev_0001#AA010215170355310594&0#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},
\DosDevices\D:,,_??_USBSTOR#Disk&Ven_SanDisk&Prod_Extreme&Rev_0001#AA010603160707470215&0#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},
\DosDevices\E:,,\??\SCSI#CdRom&Ven_PLDS&Prod_DVD-ROM_DU-8D5LH#4&241bacd1&0&010000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b},
\??\Volume{3869c27a-31b8-11e8-9b12-ecf4bb487fed},,_??_USBSTOR#Disk&Ven_SanDisk&Prod_Extreme&Rev_0001#AA010603160707470215&0#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},
