KeyName,BatchKeyPath,AppId,BatchValueName,AppPath,LastAccessed,LaunchCount,RecentDocs
{030645E2-A80A-44C9-9B33-223DC9D9BBBE},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{030645E2-A80A-44C9-9B33-223DC9D9BBBE},Chrome,Multiple,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2018-03-27 09:58:23.5470000,1,"Getting started with OneDrive/C:\Users\jcloudy\OneDrive\Getting started with OneDrive.pdf: 3/27/2018 09:51:18 +00:00,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment/C:\Users\jcloudy\Desktop\Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html: 3/30/2018 04:29:48 +00:00,Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'/C:\Users\jcloudy\Desktop\Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html: 3/30/2018 04:32:25 +00:00"
{1CB683F7-8074-4611-876A-5D77ADC34D33},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{1CB683F7-8074-4611-876A-5D77ADC34D33},Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,Multiple,,2018-03-27 09:28:51.2670000,1,Getting started with OneDrive/C:\Users\jcloudy\OneDrive\Getting started with OneDrive.pdf: 3/27/2018 09:51:12 +00:00
{226CBBB7-1811-4986-9916-350273B09308},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{226CBBB7-1811-4986-9916-350273B09308},windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,Multiple,,2018-03-27 09:30:01.2290000,1,
{2B21E0DF-08C2-419D-9396-5F9EF53326E1},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{2B21E0DF-08C2-419D-9396-5F9EF53326E1},{6D809377-6AF0-444B-8957-A3773F02200E}\S3 Browser\s3browser-win32.exe,Multiple,C:\Program Files\S3 Browser\s3browser-win32.exe,2018-04-04 05:31:06.8640000,2,
{36A14BA5-6787-445E-820A-8F36BA4FEA29},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{36A14BA5-6787-445E-820A-8F36BA4FEA29},Microsoft.WindowsCalculator_8wekyb3d8bbwe!App,Multiple,,2018-03-31 19:50:05.8980000,9,
{3E0D0A96-506C-4EDA-B3E8-96621E0E848C},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{3E0D0A96-506C-4EDA-B3E8-96621E0E848C},{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\NOTEPAD.EXE,Multiple,C:\Windows\system32\notepad.exe,2018-03-27 09:23:14.9090000,7,key/D:\key.txt: 3/27/2018 09:23:14 +00:00
{4AD31F8B-D9D4-4545-9140-DF713D653CF2},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{4AD31F8B-D9D4-4545-9140-DF713D653CF2},{6D809377-6AF0-444B-8957-A3773F02200E}\Box\Box Sync\BoxSync.exe,Multiple,C:\Program Files\Box\Box Sync\BoxSync.exe,2018-03-28 00:50:59.9810000,1,
{53CC6B82-B019-4281-BFCE-9340F57D8B84},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{53CC6B82-B019-4281-BFCE-9340F57D8B84},D:\AKMonitor\AKMonitor.exe,Multiple,,2018-03-27 09:33:20.8390000,3,
{882543DC-E427-495A-B25B-9CDB4B52E5BD},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{882543DC-E427-495A-B25B-9CDB4B52E5BD},Microsoft.AutoGenerated.{4F320C6D-566B-A328-A366-1EC51BD74B62},Multiple,C:\Program Files\Google\Drive\googledrivesync.exe,2018-03-31 20:09:21.5820000,3,
{8A588395-F28A-4093-B314-70636C340495},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{8A588395-F28A-4093-B314-70636C340495},Microsoft.Office.POWERPNT.EXE.15,Multiple,C:\Program Files (x86)\Microsoft Office\root\Office16\POWERPNT.EXE,2018-04-04 05:00:26.5480000,2,Operation 2nd Hand Smoke/C:\Users\jcloudy\Desktop\Operation 2nd Hand Smoke.pptx: 4/4/2018 05:00:30 +00:00
{8DB9BB0B-1F89-457C-B500-52CF1FEB6D32},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{8DB9BB0B-1F89-457C-B500-52CF1FEB6D32},Microsoft.SkyDrive.Desktop,Multiple,C:\Users\jcloudy\AppData\Local\Microsoft\OneDrive\OneDrive.exe,2018-03-27 09:51:00.8380000,1,
{9AC3E8F1-464F-4E8C-B1F6-2E48D2E84BAB},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{9AC3E8F1-464F-4E8C-B1F6-2E48D2E84BAB},Dropbox.Desktop.Client,Multiple,C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,2018-04-02 01:43:38.6150000,2,
{AC814061-D59E-421F-ACE5-4CAFFFF0F36C},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{AC814061-D59E-421F-ACE5-4CAFFFF0F36C},Microsoft.Windows.Explorer,Multiple,::{52205FD8-5DFB-447D-801A-D0B52F2E83E1},2018-04-04 05:32:26.2270000,24,
{C7DC6925-E6DC-444A-B59C-0CEA71102211},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{C7DC6925-E6DC-444A-B59C-0CEA71102211},Microsoft.Office.WINWORD.EXE.15,Multiple,C:\Program Files (x86)\Microsoft Office\root\Office16\WINWORD.EXE,2018-03-30 02:15:47.9000000,1,"AIRPORT INFORMATION/C:\Users\jcloudy\Desktop\AIRPORT INFORMATION.docx: 4/4/2018 05:11:46 +00:00,Planning/C:\Users\jcloudy\Desktop\Planning.docx: 4/4/2018 05:30:41 +00:00,The Cloudy Manifesto/C:\Users\jcloudy\Desktop\The Cloudy Manifesto.docx: 4/3/2018 06:11:21 +00:00"
{C99789AE-E9AB-49BB-A6D6-262893E344FE},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{C99789AE-E9AB-49BB-A6D6-262893E344FE},Microsoft.WindowsStore_8wekyb3d8bbwe!App,Multiple,,2018-03-28 00:15:49.9200000,5,
{FD6E5262-ADA2-4496-B126-EC11986951DB},ROOT\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{FD6E5262-ADA2-4496-B126-EC11986951DB},Microsoft.Office.OneNote_8wekyb3d8bbwe!microsoft.onenoteim,Multiple,,2018-03-27 09:49:22.2110000,1,
