CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\MusNotificationUX.exe,AppCompatCache,2018-03-01 05:53:41.3556379
1,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\jcloudy\AppData\Local\Microsoft\OneDrive\18.025.0204.0009\FileCoAuth.exe,AppCompatCache,2018-03-27 09:22:00.5217429
2,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\defrag.exe,AppCompatCache,2017-09-29 13:41:44.6088379
3,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\NGenTask.exe,AppCompatCache,2017-09-29 13:43:06.8185861
4,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe,AppCompatCache,2017-09-29 13:43:16.8506413
5,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	07e2466530840000	000a00003fab0000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	,AppCompatCache,
6,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2018.18021.12420.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2018-03-27 10:49:08.3183694
7,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	07e2466530840000	000a000042680000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	,AppCompatCache,
8,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.XboxApp_39.39.21002.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2018-03-27 10:47:39.6966652
9,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	00270027520a0000	000a00003ad70000	8664	Microsoft.XboxApp	8wekyb3d8bbwe	,AppCompatCache,
10,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.WindowsStore_11802.1001.11.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2018-03-27 09:54:54.9617143
11,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.SkypeApp_12.1811.248.0_x64__kzf8qxf38zg5c\Application,AppCompatCache,2018-03-27 10:47:25.2261324
12,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000c071300f80000	000a00003fab0000	8664	Microsoft.SkypeApp	kzf8qxf38zg5c	,AppCompatCache,
13,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	07e1045d000a0000	000a00003ad70000	8664	Microsoft.WindowsCamera	8wekyb3d8bbwe	,AppCompatCache,
14,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.WindowsAlarms_10.1803.614.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2018-03-27 10:47:18.9645063
15,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000a070b02660000	000a00003fab0000	8664	Microsoft.WindowsAlarms	8wekyb3d8bbwe	,AppCompatCache,
16,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	001123a650510000	000a00003f3e0000	8664	Microsoft.Office.OneNote	8wekyb3d8bbwe	,AppCompatCache,
17,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000a070b02650000	000a00003f810000	8664	Microsoft.WindowsSoundRecorder	8wekyb3d8bbwe	,AppCompatCache,
18,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000a070b02c70000	000a00003fab0000	8664	Microsoft.WindowsCalculator	8wekyb3d8bbwe	,AppCompatCache,
19,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000c002732cb0000	000a00003f730000	8664	Microsoft.XboxIdentityProvider	8wekyb3d8bbwe	,AppCompatCache,
20,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0004070b3e9b0000	000a000042b70000	8664	Microsoft.MSPaint	8wekyb3d8bbwe	,AppCompatCache,
21,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0002000029730000	000a00003f8d0000	8664	Microsoft.Print3D	8wekyb3d8bbwe	,AppCompatCache,
22,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0002000100110000	000a000042af0000	8664	Microsoft.MicrosoftStickyNotes	8wekyb3d8bbwe	,AppCompatCache,
23,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	00010000325e0000	000a00003fa60000	8664	Microsoft.DesktopAppInstaller	8wekyb3d8bbwe	,AppCompatCache,
24,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.9029.22105.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2018-03-27 09:55:16.9005187
