Version,BatchKeyPath,KeyName,BatchValueName,Path,CreatedOn,LastStart,LastStop,TaskState,LastActionResult,Source,Description,SecurityDescriptor,Author
3,,{1AC6AC41-1738-4927-B753-9C8950F7EAC8},,\Microsoft\Windows\Maps\MapsUpdateTask,2018-03-27 12:11:55.6327185,,,0,0,,"$(@%SystemRoot%\system32\mapsupdatetask.dll,-602)",D:(A;;0x111FFFFF;;;SY)(A;;0x111FFFFF;;;BA)(A;;0x111FFFFF;;;S-1-5-80-3028837079-3186095147-955107200-3701964851-1150726376)(A;;FRFX;;;NS)(A;;FRFX;;;AU),"$(@%SystemRoot%\system32\mapsupdatetask.dll,-600)"
3,,{1E292176-992E-47B7-A51F-8272CD6AC2EF},,\Microsoft\Windows\Maintenance\WinSAT,2018-03-27 12:11:55.6795959,,,0,0,"$(@%systemroot%\system32\winsatapi.dll,-113)","$(@%systemroot%\system32\winsatapi.dll,-114)",D:(A;;GA;;;BA)(A;;GA;;;SY)(A;;FRFX;;;LS),"$(@%systemroot%\system32\winsatapi.dll,-112)"
3,,{22CE4332-A8D7-4E5F-A8B1-CDF64CD796D8},,\Microsoft\Windows\DeviceDirectoryClient\RegisterDeviceSettingChange,2018-03-27 12:11:55.6952223,2018-03-27 09:16:04.6348345,2018-03-27 09:16:04.7443637,0,0,,,D:P(A;;FA;;;SY)(A;;FRFX;;;BA),
3,,{2314E520-E0D7-4B46-8EB4-7FEAA89B859C},,\Microsoft\Windows\CertificateServicesClient\UserTask-Roam,2018-03-27 12:11:55.7420997,,,0,0,"$(@%SystemRoot%\system32\dimsjob.dll,-100)","$(@%SystemRoot%\system32\dimsjob.dll,-102)",D:P(A;;FA;;;BA)(A;;FA;;;SY)(A;;FRFW;;;IU),"$(@%SystemRoot%\system32\dimsjob.dll,-101)"
3,,{24027046-B56F-4E19-9487-1C8F984C270B},,\Microsoft\Windows\Servicing\StartComponentCleanup,2018-03-25 12:11:55.7784368,,,0,0,,,,
3,,{2458CDC3-81AC-403D-B979-410C1FE88132},,\OneDrive Standalone Update Task v2,2018-03-27 09:21:44.2090638,,,0,0,,,,Microsoft Corporation
3,,{2646432D-A31A-41EC-88D5-495FF767E1ED},,\Microsoft\Windows\Time Zone\SynchronizeTimeZone,2018-03-25 12:11:55.7933318,,,0,0,,"$(@%SystemRoot%\system32\tzsyncres.dll,-102)",,"$(@%SystemRoot%\system32\tzsyncres.dll,-101)"
3,,{26810429-E00E-44DC-8EB3-0F924A856085},,\Microsoft\Windows\Shell\FamilySafetyMonitor,2018-03-27 12:11:55.8275926,,,0,0,"$(@%SystemRoot%\System32\wpcmon.exe,-32013)","$(@%SystemRoot%\System32\wpcmon.exe,-32015)",D:(A;;FA;;;BA)(A;;FA;;;SY)(A;;FRFX;;;BU),"$(@%SystemRoot%\System32\wpcmon.exe,-32014)"
3,,{27063F07-F01A-4F6E-8A90-DF0D9F497D77},,\Microsoft\Windows\DeviceDirectoryClient\RegisterDeviceLocationRightsChange,2018-03-27 12:11:55.8432182,,,0,0,,,D:P(A;;FA;;;SY)(A;;FRFX;;;BA),
3,,{2C35545B-99BC-4DFE-9FF4-F097A6F31597},,\nWizard_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},2018-03-27 09:21:39.3303641,,,0,0,,NVIDIA NView Wizard,,NVIDIA Corporation
