KeyName,BatchKeyPath,DisplayName,BatchValueName,InstallTime,PackageRootFolder
Microsoft.MicrosoftEdge_41.16299.15.0_neutral__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.MicrosoftEdge_8wekyb3d8bbwe,@{Microsoft.MicrosoftEdge_41.16299.15.0_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.MicrosoftEdge/Resources/AppName},Multiple,2018-03-27 05:20:01.7273908,C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe
Microsoft.MicrosoftOfficeHub_17.8414.5925.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3524119,
Microsoft.MicrosoftSolitaireCollection_3.17.8162.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3524119,
Microsoft.MicrosoftStickyNotes_1.8.2.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3524119,
Microsoft.MSPaint_2.1709.4027.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.MSPaint_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3524119,
Microsoft.NET.Native.Framework.1.3_1.3.24201.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Framework.1.3_8wekyb3d8bbwe,Microsoft .Net Native Framework Package 1.3,Multiple,2018-03-27 05:20:03.5555787,C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.1.3_1.3.24201.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Framework.1.3_1.3.24201.0_x86__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Framework.1.3_8wekyb3d8bbwe,Microsoft .Net Native Framework Package 1.3,Multiple,2018-03-27 05:20:03.5555787,C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.1.3_1.3.24201.0_x86__8wekyb3d8bbwe
Microsoft.NET.Native.Framework.1.6_1.6.24903.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Framework.1.6_8wekyb3d8bbwe,Microsoft .Net Native Framework Package 1.6,Multiple,2018-03-27 05:20:02.8993129,C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.1.6_1.6.24903.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Framework.1.6_1.6.24903.0_x86__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Framework.1.6_8wekyb3d8bbwe,Microsoft .Net Native Framework Package 1.6,Multiple,2018-03-27 05:20:02.8993129,C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.1.6_1.6.24903.0_x86__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.1.3_1.3.23901.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Runtime.1.3_8wekyb3d8bbwe,Microsoft .Net Native Runtime Package 1.3,Multiple,2018-03-27 05:20:04.5243629,C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.3_1.3.23901.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.1.3_1.3.23901.0_x86__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Runtime.1.3_8wekyb3d8bbwe,Microsoft .Net Native Runtime Package 1.3,Multiple,2018-03-27 05:20:04.5243629,C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.3_1.3.23901.0_x86__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Runtime.1.4_8wekyb3d8bbwe,Microsoft .Net Native Runtime Package 1.4,Multiple,2018-03-27 05:20:03.5555787,C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x86__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Runtime.1.4_8wekyb3d8bbwe,Microsoft .Net Native Runtime Package 1.4,Multiple,2018-03-27 05:20:03.5712050,C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.4_1.4.24201.0_x86__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.1.6_1.6.24903.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Runtime.1.6_8wekyb3d8bbwe,Microsoft .Net Native Runtime Package 1.6,Multiple,2018-03-27 05:20:02.9149316,C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.6_1.6.24903.0_x64__8wekyb3d8bbwe
Microsoft.NET.Native.Runtime.1.6_1.6.24903.0_x86__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.NET.Native.Runtime.1.6_8wekyb3d8bbwe,Microsoft .Net Native Runtime Package 1.6,Multiple,2018-03-27 05:20:02.9149316,C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.1.6_1.6.24903.0_x86__8wekyb3d8bbwe
Microsoft.Office.OneNote_17.8366.57611.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Office.OneNote_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3524119,
Microsoft.OneConnect_3.1708.2224.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.OneConnect_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3524119,
Microsoft.People_10.2.2351.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.People_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3680379,
Microsoft.PPIProjection_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.PPIProjection_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Print3D_1.0.2422.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Print3D_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3680379,
Microsoft.SkypeApp_11.18.596.0_x64__kzf8qxf38zg5c,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.SkypeApp_kzf8qxf38zg5c,,Multiple,2018-03-27 05:20:02.3680379,
Microsoft.StorePurchaseApp_11706.1707.7010.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.StorePurchaseApp_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3680379,
Microsoft.VCLibs.140.00_14.0.24605.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.VCLibs.140.00_8wekyb3d8bbwe,Microsoft Visual C++ 2015 UWP Runtime Package,Multiple,2018-03-27 05:20:02.8680546,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.24605.0_x64__8wekyb3d8bbwe
Microsoft.VCLibs.140.00_14.0.24605.0_x86__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.VCLibs.140.00_8wekyb3d8bbwe,Microsoft Visual C++ 2015 UWP Runtime Package,Multiple,2018-03-27 05:20:02.8836805,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.24605.0_x86__8wekyb3d8bbwe
Microsoft.Wallet_1.0.16328.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Wallet_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3680379,
Microsoft.Windows.Apprep.ChxApp_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.Apprep.ChxApp_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Windows.AssignedAccessLockApp_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.AssignedAccessLockApp_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Windows.CloudExperienceHost_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,@{Microsoft.Windows.CloudExperienceHost_10.0.16299.15_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription},Multiple,2018-03-27 05:19:59.9929543,C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy
Microsoft.Windows.ContentDeliveryManager_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,@{Microsoft.Windows.ContentDeliveryManager_10.0.16299.15_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ContentDeliveryManager/resources/AppDisplayName},Multiple,2018-03-27 05:20:02.0399014,C:\Windows\SystemApps\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy
Microsoft.Windows.Cortana_1.9.6.16299_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.Cortana_cw5n1h2txyewy,@{Microsoft.Windows.Cortana_1.9.6.16299_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Cortana/resources/PackageDisplayName},Multiple,2018-03-27 05:20:01.5867601,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy
Microsoft.Windows.HolographicFirstRun_10.0.16299.125_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.HolographicFirstRun_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Windows.OOBENetworkCaptivePortal_10.0.16299.15_neutral__cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.OOBENetworkCaptivePortal_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Windows.OOBENetworkConnectionFlow_10.0.16299.15_neutral__cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Windows.ParentalControls_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.ParentalControls_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Windows.PeopleExperienceHost_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Windows.Photos_2017.37071.16410.0_neutral_split.scale-100_8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.Photos_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:03.5399546,
Microsoft.Windows.Photos_2017.37071.16410.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.Photos_8wekyb3d8bbwe,@{Microsoft.Windows.Photos_2017.37071.16410.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Windows.Photos/Resources/AppStoreName},Multiple,2018-03-27 05:20:03.5399546,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2017.37071.16410.0_x64__8wekyb3d8bbwe
Microsoft.Windows.PinningConfirmationDialog_1000.16299.15.0_neutral__cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.PinningConfirmationDialog_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Windows.SecHealthUI_10.0.16299.15_neutral__cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.SecHealthUI_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Windows.SecondaryTileExperience_10.0.0.0_neutral__cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.SecondaryTileExperience_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Windows.SecureAssessmentBrowser_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3367864,
Microsoft.Windows.ShellExperienceHost_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,@{Microsoft.Windows.ShellExperienceHost_10.0.16299.15_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ShellExperienceHost/resources/PkgDisplayName},Multiple,2018-03-27 05:20:01.3680025,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy
Microsoft.WindowsAlarms_10.1706.2401.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.WindowsAlarms_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3680379,
Microsoft.WindowsCalculator_10.1706.2406.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.WindowsCalculator_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3680379,
Microsoft.WindowsCamera_2017.727.20.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.WindowsCamera_8wekyb3d8bbwe,@{Microsoft.WindowsCamera_2017.727.20.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsCamera/Resources/AppStoreName},Multiple,2018-03-27 05:20:02.8524294,C:\Program Files\WindowsApps\Microsoft.WindowsCamera_2017.727.20.0_x64__8wekyb3d8bbwe
microsoft.windowscommunicationsapps_17.8241.41275.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\microsoft.windowscommunicationsapps_8wekyb3d8bbwe,@{microsoft.windowscommunicationsapps_17.8241.41275.0_x64__8wekyb3d8bbwe?ms-resource://microsoft.windowscommunicationsapps/hxoutlookintl/AppManifest_OutlookDesktop_DisplayName},Multiple,2018-03-27 05:20:04.2431039,C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8241.41275.0_x64__8wekyb3d8bbwe
Microsoft.WindowsFeedbackHub_1.1705.2121.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3680379,
Microsoft.WindowsMaps_5.1706.2261.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.WindowsMaps_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3680379,
Microsoft.WindowsSoundRecorder_10.1706.1561.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3680379,
Microsoft.WindowsStore_11706.1002.9.0_neutral_split.scale-100_8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.WindowsStore_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:04.1180995,
Microsoft.WindowsStore_11706.1002.9.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.WindowsStore_8wekyb3d8bbwe,@{Microsoft.WindowsStore_11706.1002.9.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsStore/Resources/StoreTitle},Multiple,2018-03-27 05:20:04.1180995,C:\Program Files\WindowsApps\Microsoft.WindowsStore_11706.1002.9.0_x64__8wekyb3d8bbwe
Microsoft.Xbox.TCUI_1.8.24001.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.Xbox.TCUI_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3680379,
Microsoft.XboxApp_31.32.16002.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.XboxApp_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3680379,
