ValueName,BatchKeyPath,LastOpened,BatchValueName,LastClosed,FileName
Item 1,ROOT\Software\Microsoft\Office\16.0\Excel\User MRU\LiveId_2709CD201D69E509465D3C60D830CE2490A74738D87E3C8A95FEFEA94316F09F\File MRU,2018-04-06 12:27:08.3590000,Item 1,,C:\Users\jcloudy\Downloads\rootkey.csv
Item 1,ROOT\Software\Microsoft\Office\16.0\Excel\User MRU\LiveId_2709CD201D69E509465D3C60D830CE2490A74738D87E3C8A95FEFEA94316F09F\File MRU,2018-04-06 12:27:08.3590000,Item 1,,C:\Users\jcloudy\Downloads\rootkey.csv
