Executable,BatchKeyPath,MRUPosition,BatchValueName,OpenedOn
s3browser-win32.exe,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,0,2,2018-04-04 05:31:23.8245128
{6160A410-4353-47F2-9B44-7F36443D459A},ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,1,3,
{DA23B47D-BAAE-4EF0-B792-10DB5C547073},ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,2,1,
chrome.exe,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\CIDSizeMRU,3,0,
