Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
UMPass,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Microsoft UMPass Driver,Disabled,KernelDriver,2015-08-24 06:51:54.4687500,,Extended Base,\SystemRoot\system32\drivers\umpass.sys,,
UmRdpService,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%SystemRoot%\system32\umrdp.dll,-1001",None,"@%SystemRoot%\system32\umrdp.dll,-1000",Manual,Win32ShareProcess,2008-01-19 11:37:29.8091430,2008-01-19 11:37:29.8091430,,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted,,SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege SeIncreaseQuotaPrivilege SeCreatePermanentPrivilege SeLoadDriverPrivilege SeDebugPrivilege
upnphost,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,"@%systemroot%\system32\upnphost.dll,-214",None,"@%systemroot%\system32\upnphost.dll,-213",Disabled,Win32ShareProcess,2008-01-19 11:37:47.4996564,2008-01-19 11:37:29.8091430,,%SystemRoot%\system32\svchost.exe -k LocalService,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
usb,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,Adapter,2008-01-19 11:37:29.8091430,,,,,
usbccgp,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Microsoft USB Generic Parent Driver,Disabled,KernelDriver,2015-08-24 06:51:52.6406250,,Base,\SystemRoot\system32\drivers\usbccgp.sys,,
usbcir,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,eHome Infrared Receiver (USBCIR),Disabled,KernelDriver,2015-08-24 06:51:52.5156250,,Extended Base,\SystemRoot\system32\drivers\usbcir.sys,,
usbehci,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Microsoft USB 2.0 Enhanced Host Controller Miniport Driver,Manual,KernelDriver,2015-08-24 08:13:00.6562500,,Base,system32\DRIVERS\usbehci.sys,,
usbhub,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,USB2 Enabled Hub,Manual,KernelDriver,2015-09-13 04:18:04.7812500,,Base,system32\DRIVERS\usbhub.sys,,
usbohci,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Microsoft USB Open Host Controller Miniport Driver,Manual,KernelDriver,2015-09-13 04:18:01.5937500,,Base,system32\DRIVERS\usbohci.sys,,
usbprint,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Microsoft USB PRINTER Class,Disabled,KernelDriver,2015-08-24 06:51:54.4062500,,extended base,\SystemRoot\system32\drivers\usbprint.sys,,
USBSTOR,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,USB Mass Storage Driver,Disabled,KernelDriver,2015-08-24 06:51:52.6718750,,,\SystemRoot\system32\drivers\usbstor.sys,,
usbuhci,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Microsoft USB Universal Host Controller Miniport Driver,Disabled,KernelDriver,2015-08-24 06:51:54.2187500,,Base,system32\DRIVERS\usbuhci.sys,,
