ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,0e4ea4b06d5c812f9d2d029d0a7bc4329f18be95,False,c:\program files\vmware\vmware tools\vmware vgauth\vgauthservice.exe,VGAuthService.exe,.exe,2019-12-27 07:15:53.0000000,vmware guest authentication,162520,11.0.5.52475,1.0.0 build-15374796,vgauthservice.ex|2eefeb8d422b68c0,pe64_amd64,True,11.0.5.52475,15.0.0.52475,5856416,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,86f9ca6f5dc3820750388856fe9bf1b5191e895d,False,c:\program files\common files\vmware\drivers\video_wddm\vista\vm3dmp-debug.sys,vm3dmp-debug.sys,.sys,2019-10-25 10:28:29.0000000,vmware svga 3d,420368,8.16.07.0005,8.16.07.0005 - build-14943755,vm3dmp-debug.sys|bacfc47b18778ec3,pe64_amd64,True,8.16.7.5,8.16.7.5,5913920,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,c25c49d196f2dd4d1f959bdf2751e86f4c6397ae,False,c:\program files\common files\vmware\drivers\video_wddm\vista\vm3dmp-stats.sys,vm3dmp-stats.sys,.sys,2019-10-25 10:28:34.0000000,vmware svga 3d,337424,8.16.07.0005,8.16.07.0005 - build-14943755,vm3dmp-stats.sys|158e8a6891cdeb92,pe64_amd64,True,8.16.7.5,8.16.7.5,5914912,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,d50cd75328706eccdf27e4f1d71892219816e66e,False,c:\program files\common files\vmware\drivers\video_wddm\vista\vm3dmp.sys,vm3dmp.sys,.sys,2019-10-25 10:28:24.0000000,vmware svga 3d,307728,8.16.07.0005,8.16.07.0005 - build-14943755,vm3dmp.sys|d88a9f6a84a51584,pe64_amd64,True,8.16.7.5,8.16.7.5,5913456,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,8354f5bae2cf05fbe5457ccda1997a45dc3e3ad1,False,c:\program files\common files\vmware\drivers\video_wddm\vista\vm3dmp_loader.sys,vm3dmp_loader.sys,.sys,2019-10-25 10:28:23.0000000,vmware svga 3d,44560,8.16.07.0005,8.16.07.0005 - build-14943755,vm3dmp_loader.sy|ed68852c35b098d,pe64_amd64,True,8.16.7.5,8.16.7.5,5914400,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,f0032dfb7e5d67dd10568e61787a4a3032ff55f5,False,c:\program files\common files\vmware\drivers\video_wddm\vista\vm3dservice.exe,vm3dservice.exe,.exe,2019-10-25 10:05:07.0000000,,553488,,,vm3dservice.exe|88a81db65b40f162,pe64_amd64,True,,,5915392,0,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,c69d26bd3d7541d91c69d0594502d7668f79f275,False,c:\program files\common files\vmware\drivers\vmci\device\win8\vmci.sys,vmci.sys,.sys,2019-07-16 05:03:34.0000000,vmware pci vmci bus device,116752,9.8.16.0,9.8.16.0 build-14168184,vmci.sys|f408a04ddf0faeee,pe64_amd64,True,9.8.16.0,9.8.16.0,5900872,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,ab104f2cf99f496a1ad8917dba00970580e807df,False,c:\program files\common files\vmware\drivers\hgfs\win8\vmhgfs.sys,vmhgfs.sys,.sys,2019-07-26 04:02:51.0000000,vmware hgfs file system driver,181264,11.0.40.0,11.0.40.0 build-14243573,vmhgfs.sys|254b303960a2309f,pe64_amd64,True,11.0.40.0,11.0.40.0,5887360,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,da6367ade665a4fe4dae0ea37d889018b5091584,False,c:\program files\common files\vmware\drivers\memctl\win8\vmmemctl.sys,vmmemctl.sys,.sys,2019-10-19 09:37:52.0000000,vmware server memory controller,42512,7.5.5.0,7.5.5.0 build-14903665,vmmemctl.sys|d11050c689c884cb,pe64_amd64,True,7.5.5.0,7.5.5.0,5890840,1033,
VMware Tools,0000e2ce9887c6c3734778b91e2495348be900000904,2020-09-19 01:32:13.8875366,d139fd24378c9dd8b946e64d8bf4a6f72de4d914,False,c:\program files\common files\vmware\drivers\mouse\win8\vmmouse.sys,vmmouse.sys,.sys,2019-07-16 06:56:27.0000000,vmware pointing ps/2 device driver,34112,12.5.10.0,12.5.10.0 build-14169150,vmmouse.sys|7763190e5045db7c,pe64_amd64,True,12.5.10.0,12.5.10.0,5892928,1033,
