KeyName,KeyLastWriteTimestamp,BusReportedDescription,Class,ClassGuid,Compid,ContainerId,Description,DriverId,DriverPackageStrongName,DriverName,DriverVerDate,DriverVerVersion,Enumerator,HWID,Inf,InstallState,Manufacturer,MatchingId,Model,ParentId,ProblemCode,Provider,Service,Stackid
acpi/pnp0a03/2&daba3ff&0,2020-09-19 01:31:23.2295941,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},*pnp0a08,{27db0821-3bf9-f71a-f96f-a53403857690},PCI Bus,000065b67712e7e3237bdae45ea3abb2d13055b05966,pci.inf_amd64_df4d0beac04d4c4f,pci.sys,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a03,acpi\pnp0a03,*pnp0a03",pci.inf,0,(Standard system devices),*pnp0a03,PCI Bus,acpi_hal\pnp0c08\0,0,Microsoft,pci,"\driver\pci,\driver\acpi"
acpi/pnp0a05/10,2020-09-19 01:31:23.0262663,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/pnp0a05/11,2020-09-19 01:31:23.0262663,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/pnp0a05/12,2020-09-19 01:31:23.0262663,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/pnp0a05/13,2020-09-19 01:31:23.0262663,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/pnp0a05/14,2020-09-19 01:31:23.0418538,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/pnp0a05/15,2020-09-19 01:31:23.0418538,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/pnp0a05/16,2020-09-19 01:31:23.0574753,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/pnp0a05/17,2020-09-19 01:31:23.0887903,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/pnp0a05/18,2020-09-19 01:31:23.0887903,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\10,0,Microsoft,,\driver\acpi
acpi/pnp0a05/19,2020-09-19 01:31:23.0887903,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\10,0,Microsoft,,\driver\acpi
acpi/pnp0a05/1a,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\10,0,Microsoft,,\driver\acpi
acpi/pnp0a05/1b,2020-09-19 01:31:23.1198564,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Generic Bus,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0a05,acpi\pnp0a05,*pnp0a05",machine.inf,0,(Standard system devices),*pnp0a05,Generic Bus,acpi\pnp0a05\10,0,Microsoft,,\driver\acpi
