JumpListName,BatchKeyPath,ExecutedOn,BatchValueName
Microsoft.Office.EXCEL.EXE.15,ROOT\Software\Microsoft\Windows\CurrentVersion\Search\JumplistData,2018-04-06 12:27:08.4040921,Microsoft.Office.EXCEL.EXE.15
windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,ROOT\Software\Microsoft\Windows\CurrentVersion\Search\JumplistData,2018-04-06 12:46:39.1077674,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel
