Timestamp,BatchKeyPath,DriverDesc,BatchValueName,DriverDate,DriverVersion,ProviderName,DeviceInstanceid
2015-12-12 02:19:07.2381466,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0000,Intel(R) PRO/1000 MT Desktop Adapter,Multiple,3-23-2010,8.4.13.0,Microsoft,PCI\VEN_8086&DEV_100E&SUBSYS_001E8086&REV_02\3&267A616A&2&18
2013-08-22 14:46:19.2909621,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0001,Microsoft Kernel Debug Network Adapter,Multiple,6-21-2006,6.3.9600.16384,Microsoft,ROOT\KDNIC\0000
2015-12-12 02:56:45.2556334,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002,Microsoft ISATAP Adapter,Multiple,6-21-2006,6.3.9600.16384,Microsoft,SWD\IP_TUNNEL_VBUS\ISATAP_0
