Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,BackgroundBytesRead,BackgroundBytesWritten,BackgroundContextSwitches,BackgroundCycleTime,BackgroundNumberOfFlushes,BackgroundNumReadOperations,BackgroundNumWriteOperations,FaceTime,ForegroundBytesRead,ForegroundBytesWritten,ForegroundContextSwitches,ForegroundCycleTime,ForegroundNumberOfFlushes,ForegroundNumReadOperations,ForegroundNumWriteOperations
383,2018-03-27 10:59:00,\Device\HarddiskVolume4\Program Files\DellTPad\ApMsgFwd.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,723,0,0,0,0,0,0,0,34941260000,12288,0,28280,1939295563,0,1,0
384,2018-03-27 10:59:00,\Device\HarddiskVolume4\Program Files\DellTPad\hidfind.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,724,0,0,0,0,0,0,0,34341410000,32768,0,291,69341884,0,1,0
385,2018-03-27 10:59:00,\Device\HarddiskVolume4\Program Files\DellTPad\ApntEx.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,725,0,0,0,0,0,0,0,35541410000,0,0,10391,3682414301,0,0,0
386,2018-03-27 10:59:00,\Device\HarddiskVolume4\Windows\System32\conhost.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,269,0,0,0,0,0,0,0,35541410000,55296,0,340,97562881,0,4,0
387,2018-03-27 10:59:00,\Device\HarddiskVolume4\Windows\System32\igfxEM.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,1032,0,0,0,0,0,0,0,36141560000,216064,40960,1200,465520065,0,10,7
388,2018-03-27 10:59:00,\Device\HarddiskVolume4\Windows\System32\igfxTray.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,1031,0,0,0,0,0,0,0,35541410000,81920,28672,979,689529473,0,3,4
389,2018-03-27 10:59:00,\Device\HarddiskVolume4\Windows\System32\igfxHK.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,1033,0,0,0,0,0,0,0,35541410000,0,0,673,350960413,0,0,0
390,2018-03-27 10:59:00,\Device\HarddiskVolume4\Windows\System32\smartscreen.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,646,0,0,0,0,0,0,0,30860630000,6807040,0,1881,354777501,0,305,0
391,2018-03-27 10:59:00,\Device\HarddiskVolume4\Windows\System32\rundll32.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,611,0,0,0,0,0,0,0,29660780000,4096,0,372,226703202,0,1,0
392,2018-03-27 10:59:00,\Device\HarddiskVolume4\Windows\System32\SettingSyncHost.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,720,0,0,0,0,0,0,0,37432500000,6439936,200704,14565,8682828423,0,251,29
393,2018-03-27 10:59:00,\Device\HarddiskVolume4\Windows\System32\RuntimeBroker.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,647,0,0,0,0,0,0,0,37432500000,3531776,4096,27190,4690985558,0,109,1
394,2018-03-27 10:59:00,\Device\HarddiskVolume4\Windows\System32\mobsync.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,953,0,0,0,0,0,0,0,351870000,150528,0,241,97492347,0,3,0
395,2018-03-27 10:59:00,Microsoft.Windows.ContentDeliveryManager_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,642,6290432,135168,4045,1256257127,0,48,33,0,0,0,0,0,0,0,0
396,2018-03-27 10:59:00,\Device\HarddiskVolume5\AKMonitor\AKMonitor.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,1038,0,0,0,0,0,0,0,37080630000,5373952,1417216,80282,96779770915,0,288,343
397,2018-03-27 10:59:00,\Device\HarddiskVolume4\Program Files\Windows Defender\MSASCuiL.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,721,0,0,0,0,0,0,0,35280630000,133120,0,711,108966030,0,2,0
398,2018-03-27 10:59:00,\Device\HarddiskVolume4\Users\jcloudy\AppData\Local\Microsoft\OneDrive\OneDrive.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,726,0,0,0,0,0,0,0,37080630000,36329172,2019328,7963,5522662493,60,1727,472
399,2018-03-27 10:59:00,\Device\HarddiskVolume4\Windows\System32\dllhost.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,602,0,0,0,0,0,0,0,35789540000,1850880,815104,875,287141974,0,42,62
400,2018-03-27 10:59:00,svc.svchost.s1.uc7f056.host45_1.0.0.0_neutral__1234567890abc,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,1058,0,0,0,0,0,0,0,5243759211,12976640,581632,3109,1045133700,10,461,37
401,2018-03-27 10:59:00,\Device\HarddiskVolume4\Program Files (x86)\Google\Chrome\Application\chrome.exe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,738,0,0,0,0,0,0,0,214501150000,350308864,19050496,159226,80598977456,260,2034,1763
402,2018-03-27 10:59:00,Microsoft.LockApp_10.0.16299.15_neutral__cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,1059,0,0,0,0,0,0,0,5098936045,4192768,36864,8388,2110264064,0,211,9
403,2018-03-27 10:59:00,Microsoft.MicrosoftOfficeHub_17.8830.7600.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,750,12105216,360448,4768,1413676069,0,502,54,0,0,0,0,0,0,0,0
