timestamp,detections,path,Event ID,Record ID,Computer,Service Name,Service File Name,Service Type,Service Start Type,Service Account
2018-03-27T09:17:17.220420+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,228,WIN-1M3263ACE5D,Airplane Mode Switch,\SystemRoot\System32\drivers\DellRbtn.sys,kernel mode driver,demand start,
2018-03-27T09:17:25.220702+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,235,WIN-1M3263ACE5D,Alps Touch Pad Filter Driver for Windows x64,\SystemRoot\system32\DRIVERS\Apfiltr.sys,kernel mode driver,demand start,
2018-03-27T09:20:40.864029+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,257,WIN-1M3263ACE5D,nvlddmkm,\SystemRoot\System32\DriverStore\FileRepository\nvdm.inf_amd64_72f356f138a86324\nvlddmkm.sys,kernel mode driver,demand start,
2018-03-27T09:22:38.338096+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,285,WIN-1M3263ACE5D,Intel(R) Management Engine Interface ,\SystemRoot\System32\drivers\TeeDriverW8x64.sys,kernel mode driver,demand start,
2018-03-27T09:22:47.639685+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,291,WIN-1M3263ACE5D,Bluetooth RAM Firmware Download USB Filter,\SystemRoot\system32\drivers\bcbtums.sys,kernel mode driver,demand start,
2018-03-27T09:22:47.749063+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,295,WIN-1M3263ACE5D,btwampfl,\SystemRoot\system32\DRIVERS\btwampfl.sys,kernel mode driver,demand start,
2018-03-27T09:22:47.764688+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,297,WIN-1M3263ACE5D,Bluetooth Radio USB Driver,\SystemRoot\system32\DRIVERS\BTHUSB.sys,kernel mode driver,demand start,
2018-03-27T09:22:47.764688+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,299,WIN-1M3263ACE5D,Bluetooth Port Driver,\SystemRoot\system32\DRIVERS\BTHport.sys,kernel mode driver,demand start,
2018-03-27T09:22:49.048641+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,309,WIN-1M3263ACE5D,Bluetooth Device (RFCOMM Protocol TDI),\SystemRoot\System32\drivers\rfcomm.sys,kernel mode driver,demand start,
2018-03-27T09:22:49.251773+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,310,WIN-1M3263ACE5D,Bluetooth Enumerator Service,\SystemRoot\System32\drivers\BthEnum.sys,kernel mode driver,demand start,
2018-03-27T09:22:49.720539+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,314,WIN-1M3263ACE5D,Microsoft Bluetooth Protocol Support Driver,\SystemRoot\system32\DRIVERS\bthl2cap.sys,kernel mode driver,demand start,
2018-03-27T09:22:49.986174+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,317,WIN-1M3263ACE5D,Bluetooth Low Energy Driver,\SystemRoot\system32\DRIVERS\Microsoft.Bluetooth.Legacy.LEEnumerator.sys,kernel mode driver,demand start,
2018-03-27T09:22:50.158056+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,320,WIN-1M3263ACE5D,Bluetooth Device (Personal Area Network),\SystemRoot\System32\drivers\bthpan.sys,kernel mode driver,demand start,
2018-03-27T09:23:49.109606+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,324,WIN-1M3263ACE5D,igfx,\SystemRoot\system32\DRIVERS\igdkmd64.sys,kernel mode driver,demand start,
2018-03-27T09:23:53.750459+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,332,WIN-1M3263ACE5D,IWD Bus Enumerator,\SystemRoot\System32\drivers\iwdbus.sys,kernel mode driver,demand start,
2018-03-27T09:23:54.075165+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,334,WIN-1M3263ACE5D,Intel WiDi Audio Device,\SystemRoot\system32\drivers\intelaud.sys,kernel mode driver,demand start,
2018-03-27T09:23:57.133660+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,613,WIN-1M3263ACE5D,STMicroelectronics Accelerometer Service,\SystemRoot\system32\DRIVERS\ST_Accel.sys,kernel mode driver,demand start,
2018-03-27T10:45:34.858058+00:00,Suspicious Paths Service Installation,C:\temp\2024LoneWolf\tout\D\Windows\System32\winevt\logs\System.evtx,7045,1207,DESKTOP-PM6C56D,Service for NVIDIA High Definition Audio Driver,\SystemRoot\system32\drivers\nvhda64v.sys,kernel mode driver,demand start,
